Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Faiz Kamal,Aylwin T. Mathew,Malcolm Ponnayan,Petru Rozoveanu,Salma Zahid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Scarborough Centre/Scarborough-Centre"," 72","Toronto",46,2,75,14,161,1,299,462
35094,"Scarborough Centre/Scarborough-Centre"," 73","Toronto",Merged with No./Fusionné avec le n°72,,,,,,,464
35094,"Scarborough Centre/Scarborough-Centre"," 74","Toronto",Merged with No./Fusionné avec le n°75,,,,,,,369
35094,"Scarborough Centre/Scarborough-Centre"," 75","Toronto",31,2,85,8,96,0,222,473
35094,"Scarborough Centre/Scarborough-Centre"," 76","Toronto",Merged with No./Fusionné avec le n°77,,,,,,,347
35094,"Scarborough Centre/Scarborough-Centre"," 77","Toronto",30,0,69,6,114,0,219,360
35094,"Scarborough Centre/Scarborough-Centre"," 78","Toronto",18,1,22,3,76,1,121,403
35094,"Scarborough Centre/Scarborough-Centre"," 79","Toronto",22,0,46,5,89,0,162,451
35094,"Scarborough Centre/Scarborough-Centre"," 80","Toronto",18,0,57,9,68,1,153,446
35094,"Scarborough Centre/Scarborough-Centre"," 81","Toronto",15,0,40,8,78,1,142,465
35094,"Scarborough Centre/Scarborough-Centre"," 82","Toronto",27,0,26,8,97,2,160,572
35094,"Scarborough Centre/Scarborough-Centre"," 83","Toronto",18,2,48,5,61,0,134,512
35094,"Scarborough Centre/Scarborough-Centre"," 84","Toronto",11,1,20,5,58,2,97,345
35094,"Scarborough Centre/Scarborough-Centre"," 85","Toronto",19,2,45,7,59,1,133,368
35094,"Scarborough Centre/Scarborough-Centre"," 86","Toronto",46,3,66,10,129,0,254,697
35094,"Scarborough Centre/Scarborough-Centre"," 87","Toronto",33,3,18,7,56,2,119,484
35094,"Scarborough Centre/Scarborough-Centre"," 88","Toronto",18,1,25,5,93,1,143,325
35094,"Scarborough Centre/Scarborough-Centre"," 89","Toronto",27,0,36,6,113,0,182,536
35094,"Scarborough Centre/Scarborough-Centre"," 90","Toronto",Merged with No./Fusionné avec le n°95,,,,,,,368
35094,"Scarborough Centre/Scarborough-Centre"," 91","Toronto",30,1,34,5,101,3,174,546
35094,"Scarborough Centre/Scarborough-Centre"," 92","Toronto",27,0,38,9,107,0,181,523
35094,"Scarborough Centre/Scarborough-Centre"," 93","Toronto",23,0,38,3,87,0,151,503
35094,"Scarborough Centre/Scarborough-Centre"," 94","Toronto",21,0,30,2,98,3,154,530
35094,"Scarborough Centre/Scarborough-Centre"," 95","Toronto",28,6,39,1,141,6,221,474
35094,"Scarborough Centre/Scarborough-Centre"," 96","Toronto",36,3,65,17,127,0,248,455
35094,"Scarborough Centre/Scarborough-Centre"," 97","Toronto",Merged with No./Fusionné avec le n°96,,,,,,,453
35094,"Scarborough Centre/Scarborough-Centre"," 98","Toronto",Merged with No./Fusionné avec le n°99,,,,,,,507
35094,"Scarborough Centre/Scarborough-Centre"," 99","Toronto",44,3,120,15,203,6,391,514
35094,"Scarborough Centre/Scarborough-Centre"," 100","Toronto",Merged with No./Fusionné avec le n°101,,,,,,,501
35094,"Scarborough Centre/Scarborough-Centre"," 101","Toronto",65,0,88,12,224,6,395,530
35094,"Scarborough Centre/Scarborough-Centre"," 102","Toronto",61,5,88,13,166,2,335,492
35094,"Scarborough Centre/Scarborough-Centre"," 103","Toronto",Merged with No./Fusionné avec le n°102,,,,,,,406
35094,"Scarborough Centre/Scarborough-Centre"," 104","Toronto",27,0,45,6,95,0,173,386
35094,"Scarborough Centre/Scarborough-Centre"," 105","Toronto",Merged with No./Fusionné avec le n°104,,,,,,,378
35094,"Scarborough Centre/Scarborough-Centre"," 106","Toronto",Merged with No./Fusionné avec le n°107,,,,,,,351
35094,"Scarborough Centre/Scarborough-Centre"," 107","Toronto",24,1,48,7,107,1,188,383
35094,"Scarborough Centre/Scarborough-Centre"," 108","Toronto",Merged with No./Fusionné avec le n°118,,,,,,,486
35094,"Scarborough Centre/Scarborough-Centre"," 109","Toronto",48,1,43,6,206,2,306,542
35094,"Scarborough Centre/Scarborough-Centre"," 110","Toronto",29,1,24,6,103,1,164,512
35094,"Scarborough Centre/Scarborough-Centre"," 111","Toronto",39,3,42,4,121,2,211,534
35094,"Scarborough Centre/Scarborough-Centre"," 112","Toronto",17,0,32,4,78,1,132,378
35094,"Scarborough Centre/Scarborough-Centre"," 113","Toronto",28,2,49,5,88,2,174,519
35094,"Scarborough Centre/Scarborough-Centre"," 114","Toronto",33,1,57,5,124,0,220,397
35094,"Scarborough Centre/Scarborough-Centre"," 115","Toronto",Merged with No./Fusionné avec le n°114,,,,,,,377
35094,"Scarborough Centre/Scarborough-Centre"," 116","Toronto",Merged with No./Fusionné avec le n°117,,,,,,,364
35094,"Scarborough Centre/Scarborough-Centre"," 117","Toronto",40,0,52,3,122,2,219,387
35094,"Scarborough Centre/Scarborough-Centre"," 118","Toronto",43,2,36,11,168,2,262,500
35094,"Scarborough Centre/Scarborough-Centre"," 119A","Toronto",Merged with No./Fusionné avec le n°120,,,,,,,345
35094,"Scarborough Centre/Scarborough-Centre"," 119B","Mobile poll/Bureau itinérant",8,5,13,1,46,0,73,151
35094,"Scarborough Centre/Scarborough-Centre"," 120","Toronto",41,1,84,8,132,6,272,480
35094,"Scarborough Centre/Scarborough-Centre"," 121","Toronto",Merged with No./Fusionné avec le n°123,,,,,,,383
35094,"Scarborough Centre/Scarborough-Centre"," 122","Toronto",Merged with No./Fusionné avec le n°123,,,,,,,336
35094,"Scarborough Centre/Scarborough-Centre"," 123","Toronto",58,2,98,20,179,6,363,408
35094,"Scarborough Centre/Scarborough-Centre"," 124","Toronto",36,2,38,8,152,1,237,413
35094,"Scarborough Centre/Scarborough-Centre"," 125","Toronto",Merged with No./Fusionné avec le n°126,,,,,,,335
35094,"Scarborough Centre/Scarborough-Centre"," 126","Toronto",37,3,54,14,163,4,275,349
35094,"Scarborough Centre/Scarborough-Centre"," 127","Toronto",Merged with No./Fusionné avec le n°126,,,,,,,325
35094,"Scarborough Centre/Scarborough-Centre"," 128","Toronto",Merged with No./Fusionné avec le n°129,,,,,,,412
35094,"Scarborough Centre/Scarborough-Centre"," 129","Toronto",61,5,70,21,181,0,338,623
35094,"Scarborough Centre/Scarborough-Centre"," 130","Toronto",44,0,48,7,118,2,219,435
35094,"Scarborough Centre/Scarborough-Centre"," 131","Toronto",Merged with No./Fusionné avec le n°130,,,,,,,346
35094,"Scarborough Centre/Scarborough-Centre"," 132","Toronto",Merged with No./Fusionné avec le n°133,,,,,,,410
35094,"Scarborough Centre/Scarborough-Centre"," 133","Toronto",25,0,65,6,143,5,244,427
35094,"Scarborough Centre/Scarborough-Centre"," 134","Toronto",Merged with No./Fusionné avec le n°135,,,,,,,345
35094,"Scarborough Centre/Scarborough-Centre"," 135","Toronto",53,0,102,15,175,1,346,402
35094,"Scarborough Centre/Scarborough-Centre"," 136","Toronto",Merged with No./Fusionné avec le n°135,,,,,,,387
35094,"Scarborough Centre/Scarborough-Centre"," 137","Toronto",49,1,111,10,208,6,385,444
35094,"Scarborough Centre/Scarborough-Centre"," 138","Toronto",Merged with No./Fusionné avec le n°137,,,,,,,354
35094,"Scarborough Centre/Scarborough-Centre"," 139","Toronto",Merged with No./Fusionné avec le n°137,,,,,,,377
35094,"Scarborough Centre/Scarborough-Centre"," 140","Toronto",Merged with No./Fusionné avec le n°141,,,,,,,370
35094,"Scarborough Centre/Scarborough-Centre"," 141","Toronto",31,0,56,13,109,5,214,398
35094,"Scarborough Centre/Scarborough-Centre"," 142","Toronto",38,2,68,11,159,2,280,430
35094,"Scarborough Centre/Scarborough-Centre"," 143","Toronto",Merged with No./Fusionné avec le n°142,,,,,,,369
35094,"Scarborough Centre/Scarborough-Centre"," 144","Toronto",Merged with No./Fusionné avec le n°145,,,,,,,420
35094,"Scarborough Centre/Scarborough-Centre"," 145","Toronto",44,3,70,19,132,7,275,513
35094,"Scarborough Centre/Scarborough-Centre"," 400","Toronto",26,1,78,2,118,2,227,378
35094,"Scarborough Centre/Scarborough-Centre"," 401","Toronto",13,1,26,2,77,2,121,273
35094,"Scarborough Centre/Scarborough-Centre"," 402","Toronto",22,3,46,7,79,1,158,325
35094,"Scarborough Centre/Scarborough-Centre"," 403","Toronto",42,2,66,14,202,5,331,558
35094,"Scarborough Centre/Scarborough-Centre"," 404","Toronto",30,1,43,11,121,0,206,405
35094,"Scarborough Centre/Scarborough-Centre"," 405","Toronto",4,1,10,8,70,2,95,229
35094,"Scarborough Centre/Scarborough-Centre"," 406","Toronto",22,3,30,8,63,2,128,235
35094,"Scarborough Centre/Scarborough-Centre"," 407","Toronto",Merged with No./Fusionné avec le n°9,,,,,,,203
35094,"Scarborough Centre/Scarborough-Centre"," 408","Toronto",16,1,43,3,108,1,172,264
35094,"Scarborough Centre/Scarborough-Centre"," 409","Toronto",17,0,40,3,107,1,168,296
35094,"Scarborough Centre/Scarborough-Centre"," 410","Mobile poll/Bureau itinérant",12,4,11,1,44,0,72,158
35094,"Scarborough Centre/Scarborough-Centre"," 411","Toronto",30,5,71,4,155,1,266,439
35094,"Scarborough Centre/Scarborough-Centre"," 412","Toronto",29,2,40,8,137,3,219,421
35094,"Scarborough Centre/Scarborough-Centre"," 413","Mobile poll/Bureau itinérant",1,1,13,0,19,0,34,59
35094,"Scarborough Centre/Scarborough-Centre"," 414","Mobile poll/Bureau itinérant",11,4,17,1,68,0,101,196
35094,"Scarborough Centre/Scarborough-Centre"," 415","Mobile poll/Bureau itinérant",6,1,8,0,18,0,33,99
35094,"Scarborough Centre/Scarborough-Centre"," 416","Toronto",22,0,20,3,134,1,180,463
35094,"Scarborough Centre/Scarborough-Centre"," 417","Toronto",Merged with No./Fusionné avec le n°416,,,,,,,390
35094,"Scarborough Centre/Scarborough-Centre"," 418","Toronto",11,1,13,1,50,3,79,323
35094,"Scarborough Centre/Scarborough-Centre"," 419","Toronto",Merged with No./Fusionné avec le n°89,,,,,,,216
35094,"Scarborough Centre/Scarborough-Centre"," 420","Toronto",Merged with No./Fusionné avec le n°91,,,,,,,275
35094,"Scarborough Centre/Scarborough-Centre"," 421","Toronto",Merged with No./Fusionné avec le n°92,,,,,,,222
35094,"Scarborough Centre/Scarborough-Centre"," 422","Toronto",25,1,47,8,84,2,167,353
35094,"Scarborough Centre/Scarborough-Centre"," 423","Toronto",Merged with No./Fusionné avec le n°124,,,,,,,351
35094,"Scarborough Centre/Scarborough-Centre"," 424","Toronto",Merged with No./Fusionné avec le n°93,,,,,,,269
35094,"Scarborough Centre/Scarborough-Centre"," 425","Toronto",Merged with No./Fusionné avec le n°95,,,,,,,235
