Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Naval Bajaj,Gail Bannister-Clarke,Maninder Sidhu,Manjeet Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brampton East/Brampton-Est"," 1","Brampton",40,22,61,8,0,131,312
35009,"Brampton East/Brampton-Est"," 2","Brampton",53,28,106,8,5,200,470
35009,"Brampton East/Brampton-Est"," 3","Brampton",45,34,86,4,0,169,419
35009,"Brampton East/Brampton-Est"," 4A","Brampton",25,19,72,3,1,120,304
35009,"Brampton East/Brampton-Est"," 4B","Brampton",37,17,82,5,1,142,308
35009,"Brampton East/Brampton-Est"," 5","Brampton",21,3,21,0,0,45,118
35009,"Brampton East/Brampton-Est"," 6","Brampton",28,37,109,5,1,180,499
35009,"Brampton East/Brampton-Est"," 7","Brampton",47,37,80,4,0,168,481
35009,"Brampton East/Brampton-Est"," 8","Brampton",64,22,69,8,0,163,381
35009,"Brampton East/Brampton-Est"," 9","Brampton",67,22,97,7,1,194,530
35009,"Brampton East/Brampton-Est"," 10","Brampton",67,15,86,3,0,171,436
35009,"Brampton East/Brampton-Est"," 11","Brampton",40,26,133,5,0,204,479
35009,"Brampton East/Brampton-Est"," 12","Brampton",65,26,89,4,0,184,523
35009,"Brampton East/Brampton-Est"," 13","Brampton",54,22,117,1,2,196,558
35009,"Brampton East/Brampton-Est"," 14A","Brampton",34,34,87,4,2,161,302
35009,"Brampton East/Brampton-Est"," 14B","Brampton",44,17,69,1,1,132,338
35009,"Brampton East/Brampton-Est"," 15A","Brampton",48,33,114,1,1,197,363
35009,"Brampton East/Brampton-Est"," 15B","Brampton",29,18,73,0,1,121,354
35009,"Brampton East/Brampton-Est"," 16A","Brampton",24,41,99,2,4,170,376
35009,"Brampton East/Brampton-Est"," 16B","Brampton",45,17,86,2,1,151,348
35009,"Brampton East/Brampton-Est"," 17A","Brampton",40,16,85,0,4,145,343
35009,"Brampton East/Brampton-Est"," 17B","Brampton",26,15,68,0,0,109,317
35009,"Brampton East/Brampton-Est"," 18A","Brampton",59,22,84,4,2,171,408
35009,"Brampton East/Brampton-Est"," 18B","Brampton",55,13,95,5,0,168,389
35009,"Brampton East/Brampton-Est"," 19A","Brampton",35,32,108,3,0,178,446
35009,"Brampton East/Brampton-Est"," 19B","Brampton",56,27,93,6,3,185,511
35009,"Brampton East/Brampton-Est"," 20A","Brampton",36,20,91,6,0,153,370
35009,"Brampton East/Brampton-Est"," 20B","Brampton",47,16,83,1,3,150,359
35009,"Brampton East/Brampton-Est"," 21","Brampton",52,22,95,1,1,171,509
35009,"Brampton East/Brampton-Est"," 22","Brampton",73,22,84,1,0,180,491
35009,"Brampton East/Brampton-Est"," 23","Brampton",39,23,103,5,3,173,441
35009,"Brampton East/Brampton-Est"," 24","Brampton",50,31,108,2,0,191,513
35009,"Brampton East/Brampton-Est"," 25","Brampton",27,17,82,4,1,131,436
35009,"Brampton East/Brampton-Est"," 26","Brampton",62,31,116,3,6,218,543
35009,"Brampton East/Brampton-Est"," 27","Brampton",37,5,81,5,2,130,378
35009,"Brampton East/Brampton-Est"," 28","Brampton",56,37,94,4,0,191,423
35009,"Brampton East/Brampton-Est"," 29","Brampton",59,24,75,1,0,159,440
35009,"Brampton East/Brampton-Est"," 30","Brampton",65,33,85,6,1,190,448
35009,"Brampton East/Brampton-Est"," 31","Brampton",40,35,102,7,0,184,423
35009,"Brampton East/Brampton-Est"," 32","Brampton",54,28,99,4,4,189,538
35009,"Brampton East/Brampton-Est"," 33","Brampton",40,30,99,2,4,175,324
35009,"Brampton East/Brampton-Est"," 34","Brampton",58,28,83,3,0,172,348
35009,"Brampton East/Brampton-Est"," 35","Brampton",67,40,128,1,0,236,495
35009,"Brampton East/Brampton-Est"," 36","Brampton",89,40,130,6,2,267,498
35009,"Brampton East/Brampton-Est"," 37","Brampton",52,39,153,2,1,247,452
35009,"Brampton East/Brampton-Est"," 38","Brampton",29,13,101,3,5,151,326
35009,"Brampton East/Brampton-Est"," 39","Brampton",71,31,97,15,2,216,534
35009,"Brampton East/Brampton-Est"," 40","Brampton",47,27,123,1,2,200,527
35009,"Brampton East/Brampton-Est"," 41","Brampton",55,22,141,5,0,223,480
35009,"Brampton East/Brampton-Est"," 42","Brampton",45,30,108,6,1,190,489
35009,"Brampton East/Brampton-Est"," 43","Brampton",45,32,103,9,0,189,436
35009,"Brampton East/Brampton-Est"," 44","Brampton",36,14,117,6,0,173,448
35009,"Brampton East/Brampton-Est"," 45A","Brampton",38,20,83,1,0,142,325
35009,"Brampton East/Brampton-Est"," 45B","Brampton",32,22,68,6,0,128,323
35009,"Brampton East/Brampton-Est"," 46","Brampton",33,24,77,1,6,141,369
35009,"Brampton East/Brampton-Est"," 47","Brampton",64,36,145,6,1,252,558
35009,"Brampton East/Brampton-Est"," 48","Brampton",34,20,111,3,1,169,542
35009,"Brampton East/Brampton-Est"," 49A","Brampton",35,22,71,5,0,133,329
35009,"Brampton East/Brampton-Est"," 49B","Brampton",47,24,78,2,1,152,371
35009,"Brampton East/Brampton-Est"," 50","Brampton",57,22,118,1,8,206,582
35009,"Brampton East/Brampton-Est"," 51","Brampton",39,49,114,9,4,215,559
35009,"Brampton East/Brampton-Est"," 52","Brampton",11,12,61,3,1,88,333
35009,"Brampton East/Brampton-Est"," 53","Brampton",30,8,73,4,2,117,372
35009,"Brampton East/Brampton-Est"," 54","Brampton",33,11,58,4,0,106,343
