Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elvira Caputolan,Adil Khan,Michael Minas,Rob Oliphant,Syeda Riaz,Yvonne Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Don Valley West/Don Valley-Ouest"," 59","Toronto",3,0,4,109,11,103,0,230,619
35021,"Don Valley West/Don Valley-Ouest"," 60","Toronto",1,0,3,40,5,110,0,159,454
35021,"Don Valley West/Don Valley-Ouest"," 61","Toronto",10,0,4,114,35,84,0,247,456
35021,"Don Valley West/Don Valley-Ouest"," 62","Toronto",5,0,8,130,20,112,1,276,448
35021,"Don Valley West/Don Valley-Ouest"," 63","Toronto",Merged with No./Fusionné avec le n°61,,,,,,,,349
35021,"Don Valley West/Don Valley-Ouest"," 64","Toronto",Merged with No./Fusionné avec le n°62,,,,,,,,381
35021,"Don Valley West/Don Valley-Ouest"," 65","Toronto",8,0,3,112,13,144,0,280,391
35021,"Don Valley West/Don Valley-Ouest"," 66","Toronto",Merged with No./Fusionné avec le n°65,,,,,,,,428
35021,"Don Valley West/Don Valley-Ouest"," 67","Toronto",7,1,6,179,29,129,2,353,391
35021,"Don Valley West/Don Valley-Ouest"," 68","Toronto",9,1,7,126,30,79,2,254,451
35021,"Don Valley West/Don Valley-Ouest"," 69","Toronto",Merged with No./Fusionné avec le n°68,,,,,,,,392
35021,"Don Valley West/Don Valley-Ouest"," 70","Toronto",9,0,4,156,17,139,1,326,479
35021,"Don Valley West/Don Valley-Ouest"," 71","Toronto",Merged with No./Fusionné avec le n°70,,,,,,,,453
35021,"Don Valley West/Don Valley-Ouest"," 72","Toronto",2,0,8,57,18,45,0,130,371
35021,"Don Valley West/Don Valley-Ouest"," 73","Toronto",6,0,8,102,29,42,1,188,519
35021,"Don Valley West/Don Valley-Ouest"," 74","Toronto",5,0,5,189,16,131,0,346,475
35021,"Don Valley West/Don Valley-Ouest"," 75","Toronto",Merged with No./Fusionné avec le n°74,,,,,,,,364
35021,"Don Valley West/Don Valley-Ouest"," 76","Toronto",8,0,2,129,18,111,0,268,135
35021,"Don Valley West/Don Valley-Ouest"," 77","Toronto",5,0,9,136,30,89,0,269,798
35021,"Don Valley West/Don Valley-Ouest"," 78","Toronto",Merged with No./Fusionné avec le n°76,,,,,,,,754
35021,"Don Valley West/Don Valley-Ouest"," 79","East York",Void/Supprimé,,,,,,,,
35021,"Don Valley West/Don Valley-Ouest"," 80","Toronto",8,0,3,148,18,101,3,281,426
35021,"Don Valley West/Don Valley-Ouest"," 81","Toronto",Merged with No./Fusionné avec le n°80,,,,,,,,437
35021,"Don Valley West/Don Valley-Ouest"," 82","Toronto",2,0,2,58,10,17,0,89,161
35021,"Don Valley West/Don Valley-Ouest"," 83","Toronto",Merged with No./Fusionné avec le n°67,,,,,,,,447
35021,"Don Valley West/Don Valley-Ouest"," 84","Toronto",6,0,3,202,24,113,1,349,375
35021,"Don Valley West/Don Valley-Ouest"," 85","Toronto",Merged with No./Fusionné avec le n°84,,,,,,,,418
35021,"Don Valley West/Don Valley-Ouest"," 86","Toronto",Merged with No./Fusionné avec le n°93,,,,,,,,431
35021,"Don Valley West/Don Valley-Ouest"," 87A","Toronto",11,0,7,131,26,55,0,230,327
35021,"Don Valley West/Don Valley-Ouest"," 87B","Toronto",1,0,2,33,3,6,1,46,116
35021,"Don Valley West/Don Valley-Ouest"," 88","Toronto",5,0,5,88,25,49,1,173,463
35021,"Don Valley West/Don Valley-Ouest"," 89","Toronto",4,0,19,106,31,56,3,219,333
35021,"Don Valley West/Don Valley-Ouest"," 90","Toronto",2,2,11,79,21,44,1,160,466
35021,"Don Valley West/Don Valley-Ouest"," 91","Toronto",3,0,5,133,29,29,1,200,678
35021,"Don Valley West/Don Valley-Ouest"," 92","Toronto",1,1,6,186,25,32,4,255,395
35021,"Don Valley West/Don Valley-Ouest"," 93","Toronto",2,0,5,141,30,75,2,255,446
35021,"Don Valley West/Don Valley-Ouest"," 94","Toronto",4,0,5,144,24,101,0,278,473
35021,"Don Valley West/Don Valley-Ouest"," 95","Toronto",3,0,4,128,16,90,0,241,363
35021,"Don Valley West/Don Valley-Ouest"," 96","Toronto",Merged with No./Fusionné avec le n°95,,,,,,,,323
35021,"Don Valley West/Don Valley-Ouest"," 97","Toronto",8,0,5,158,42,66,2,281,615
35021,"Don Valley West/Don Valley-Ouest"," 98","Toronto",4,0,9,110,33,74,2,232,425
35021,"Don Valley West/Don Valley-Ouest"," 99","Toronto",11,0,6,112,45,56,0,230,270
35021,"Don Valley West/Don Valley-Ouest"," 100","Toronto",Merged with No./Fusionné avec le n°99,,,,,,,,523
35021,"Don Valley West/Don Valley-Ouest"," 101","Toronto",6,0,7,102,42,65,1,223,693
35021,"Don Valley West/Don Valley-Ouest"," 102","Toronto",Merged with No./Fusionné avec le n°89,,,,,,,,250
35021,"Don Valley West/Don Valley-Ouest"," 103","Toronto",Merged with No./Fusionné avec le n°87A,,,,,,,,383
35021,"Don Valley West/Don Valley-Ouest"," 104","Toronto",6,0,9,147,19,111,0,292,439
35021,"Don Valley West/Don Valley-Ouest"," 105","Toronto",Merged with No./Fusionné avec le n°104,,,,,,,,387
35021,"Don Valley West/Don Valley-Ouest"," 106","Toronto",Merged with No./Fusionné avec le n°94,,,,,,,,366
35021,"Don Valley West/Don Valley-Ouest"," 107","Toronto",4,2,6,88,25,27,0,152,185
35021,"Don Valley West/Don Valley-Ouest"," 108","Toronto",4,1,8,91,36,32,2,174,461
35021,"Don Valley West/Don Valley-Ouest"," 109","Toronto",5,0,9,87,39,32,0,172,344
35021,"Don Valley West/Don Valley-Ouest"," 110","Toronto",3,1,6,132,16,27,6,191,571
35021,"Don Valley West/Don Valley-Ouest"," 111","Toronto",1,1,12,177,25,40,7,263,461
35021,"Don Valley West/Don Valley-Ouest"," 112","Toronto",Merged with No./Fusionné avec le n°92,,,,,,,,417
35021,"Don Valley West/Don Valley-Ouest"," 113","Toronto",2,0,7,130,26,31,2,198,530
35021,"Don Valley West/Don Valley-Ouest"," 114","Toronto",4,0,3,82,21,51,1,162,409
35021,"Don Valley West/Don Valley-Ouest"," 115","Toronto",2,0,7,74,16,46,0,145,406
35021,"Don Valley West/Don Valley-Ouest"," 116","Toronto",7,1,1,97,13,62,1,182,414
35021,"Don Valley West/Don Valley-Ouest"," 117","Toronto",4,0,2,129,20,59,2,216,420
35021,"Don Valley West/Don Valley-Ouest"," 118","Toronto",6,0,1,107,19,62,1,196,406
35021,"Don Valley West/Don Valley-Ouest"," 119","Toronto",4,0,8,128,9,38,1,188,420
35021,"Don Valley West/Don Valley-Ouest"," 120","Toronto",5,0,7,85,40,30,3,170,675
35021,"Don Valley West/Don Valley-Ouest"," 121","Toronto",11,0,10,134,38,74,3,270,337
35021,"Don Valley West/Don Valley-Ouest"," 122","Toronto",Merged with No./Fusionné avec le n°121,,,,,,,,461
35021,"Don Valley West/Don Valley-Ouest"," 123","Toronto",7,0,6,127,34,104,0,278,828
35021,"Don Valley West/Don Valley-Ouest"," 124","East York",Void/Supprimé,,,,,,,,
35021,"Don Valley West/Don Valley-Ouest"," 125","Toronto",1,0,3,82,32,50,0,168,470
35021,"Don Valley West/Don Valley-Ouest"," 126","Toronto",9,0,3,95,35,55,0,197,463
35021,"Don Valley West/Don Valley-Ouest"," 127","Toronto",6,1,10,185,31,108,0,341,382
35021,"Don Valley West/Don Valley-Ouest"," 128","Toronto",Merged with No./Fusionné avec le n°127,,,,,,,,406
35021,"Don Valley West/Don Valley-Ouest"," 129","Toronto",5,0,4,195,29,100,0,333,468
35021,"Don Valley West/Don Valley-Ouest"," 130","Toronto",6,0,2,141,45,97,0,291,359
35021,"Don Valley West/Don Valley-Ouest"," 131","Toronto",5,1,4,95,22,74,1,202,506
35021,"Don Valley West/Don Valley-Ouest"," 132","Toronto",4,0,3,107,25,62,2,203,478
35021,"Don Valley West/Don Valley-Ouest"," 133","Toronto",3,0,5,81,26,63,0,178,497
35021,"Don Valley West/Don Valley-Ouest"," 134","Toronto",5,0,8,140,34,117,1,305,472
35021,"Don Valley West/Don Valley-Ouest"," 135","Toronto",Merged with No./Fusionné avec le n°134,,,,,,,,531
35021,"Don Valley West/Don Valley-Ouest"," 136","Toronto",4,0,5,90,18,76,0,193,601
35021,"Don Valley West/Don Valley-Ouest"," 137","Toronto",3,1,8,80,25,39,0,156,522
35021,"Don Valley West/Don Valley-Ouest"," 138","Toronto",Merged with No./Fusionné avec le n°129,,,,,,,,382
35021,"Don Valley West/Don Valley-Ouest"," 139","Toronto",4,0,1,113,19,49,0,186,419
35021,"Don Valley West/Don Valley-Ouest"," 140","Toronto",5,0,4,94,19,54,0,176,473
35021,"Don Valley West/Don Valley-Ouest"," 141","Toronto",Merged with No./Fusionné avec le n°130,,,,,,,,439
35021,"Don Valley West/Don Valley-Ouest"," 142","Toronto",3,0,2,117,16,155,1,294,360
35021,"Don Valley West/Don Valley-Ouest"," 143","Toronto",Merged with No./Fusionné avec le n°142,,,,,,,,338
35021,"Don Valley West/Don Valley-Ouest"," 400","Toronto",Merged with No./Fusionné avec le n°57,,,,,,,,92
35021,"Don Valley West/Don Valley-Ouest"," 401","Toronto",4,0,4,73,31,50,0,162,303
35021,"Don Valley West/Don Valley-Ouest"," 402","Toronto",2,2,8,121,32,64,0,229,386
35021,"Don Valley West/Don Valley-Ouest"," 403","Toronto",5,2,7,190,28,48,1,281,633
35021,"Don Valley West/Don Valley-Ouest"," 404","Toronto",4,1,9,179,30,43,1,267,665
35021,"Don Valley West/Don Valley-Ouest"," 405","Toronto",2,0,4,43,20,19,1,89,187
35021,"Don Valley West/Don Valley-Ouest"," 406","Toronto",1,1,5,159,10,6,1,183,514
35021,"Don Valley West/Don Valley-Ouest"," 407","Toronto",3,0,3,162,25,17,5,215,609
35021,"Don Valley West/Don Valley-Ouest"," 408","Toronto",Merged with No./Fusionné avec le n°107,,,,,,,,390
35021,"Don Valley West/Don Valley-Ouest"," 409","Toronto",Merged with No./Fusionné avec le n°98,,,,,,,,341
35021,"Don Valley West/Don Valley-Ouest"," 410","Toronto",Merged with No./Fusionné avec le n°109,,,,,,,,235
35021,"Don Valley West/Don Valley-Ouest"," 411","Toronto",Merged with No./Fusionné avec le n°111,,,,,,,,328
35021,"Don Valley West/Don Valley-Ouest"," 412","Toronto",2,3,1,98,5,10,17,136,234
35021,"Don Valley West/Don Valley-Ouest"," 413","Toronto",1,2,1,123,9,10,5,151,509
35021,"Don Valley West/Don Valley-Ouest"," 414","Toronto",0,0,1,184,10,11,3,209,603
35021,"Don Valley West/Don Valley-Ouest"," 415","Toronto",0,4,3,195,10,8,6,226,689
35021,"Don Valley West/Don Valley-Ouest"," 416","Toronto",0,2,3,135,13,22,2,177,492
35021,"Don Valley West/Don Valley-Ouest"," 417","Toronto",2,0,0,200,15,13,9,239,775
35021,"Don Valley West/Don Valley-Ouest"," 418","Toronto",2,0,1,184,16,11,3,217,577
35021,"Don Valley West/Don Valley-Ouest"," 419","Toronto",Merged with No./Fusionné avec le n°108,,,,,,,,225
35021,"Don Valley West/Don Valley-Ouest"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°43,,,,,,,,203
35021,"Don Valley West/Don Valley-Ouest"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°134,,,,,,,,42
35021,"Don Valley West/Don Valley-Ouest"," 600","Toronto",19,2,23,557,57,786,3,1447,
35021,"Don Valley West/Don Valley-Ouest"," 601","Toronto",16,0,30,568,71,728,16,1429,
35021,"Don Valley West/Don Valley-Ouest"," 602","Toronto",21,0,19,722,56,923,23,1764,
35021,"Don Valley West/Don Valley-Ouest"," 603","Toronto",20,1,22,531,46,819,1,1440,
35021,"Don Valley West/Don Valley-Ouest"," 604","Toronto",34,0,21,1063,127,1105,3,2353,
35021,"Don Valley West/Don Valley-Ouest"," 605","Toronto",23,0,29,743,176,351,8,1330,
35021,"Don Valley West/Don Valley-Ouest"," 606","Toronto",30,0,33,900,195,468,9,1635,
35021,"Don Valley West/Don Valley-Ouest"," 607","Toronto",19,3,19,974,98,735,6,1854,
35021,"Don Valley West/Don Valley-Ouest"," 608","Toronto",21,2,29,1026,111,643,4,1836,
35021,"Don Valley West/Don Valley-Ouest"," 609","Toronto",29,5,35,1171,129,637,4,2010,
35021,"Don Valley West/Don Valley-Ouest"," 610","Toronto",19,9,29,1415,136,222,24,1854,
35021,"Don Valley West/Don Valley-Ouest",,Group 1/Groupe 1, 16,2,5,488,109,305,28,953,575
35021,"Don Valley West/Don Valley-Ouest",,Group 2/Groupe 2, 50,5,21,2044,233,1133,84,3570,
