Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Wayne James,Ian Kathwaroon,Detlev Regelsky,Margaret Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 1","Grahamdale",47,1,7,10,7,0,72,316
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 2","Grahamdale",98,1,18,6,8,0,131,343
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 3","Moosehorn",115,3,14,13,32,0,177,340
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 4","Hodgson",73,4,9,6,9,4,105,286
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 5","Ashern",55,6,8,11,16,2,98,276
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 6","Silver Bay",49,2,10,3,14,1,79,187
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 7","Ashern",56,0,9,7,13,5,90,246
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 8","Hecla--Washow Bay",83,3,10,10,17,1,124,254
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 9","Shorncliffe--Ledwyn",55,1,5,3,9,0,73,232
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 10","Riverton",62,1,5,8,23,0,99,236
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 11A","Riverton",73,0,9,12,23,1,118,228
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 11B","Mobile poll/Bureau itinérant",11,0,0,3,5,2,21,35
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 12","Balaton Beach",62,4,4,4,20,0,94,224
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 13","Camper",33,3,7,1,14,0,58,161
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 14","Sylvan",82,6,7,0,16,1,112,255
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 15","Fisher Branch",75,2,3,6,12,0,98,263
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 16","Fisherton",124,3,16,7,19,2,171,370
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 17","Okno",41,0,25,1,2,3,72,285
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 18","Vidir",67,0,23,3,7,0,100,268
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 19","Dog Creek",4,0,0,20,36,0,60,585
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 20","Overton",85,4,16,11,11,1,128,301
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 21","Eriksdale",95,2,13,7,22,1,140,384
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 22","Framnes",81,1,5,16,2,0,105,230
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 23","Arborg",103,4,10,8,30,1,156,354
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 24","Arborg",90,6,16,18,30,0,160,387
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 25","Geyser",74,2,16,14,33,0,139,324
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 26","Chatfield",98,1,11,5,15,1,131,267
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27","Rembrandt",93,5,10,10,19,2,139,361
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 28","Lundar",142,4,21,18,32,1,218,419
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 29","Minnewakan",182,5,25,14,19,1,246,404
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 30","Silver Harbour",77,4,6,21,23,1,132,410
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 31","Camp Morton",50,1,7,4,16,0,78,384
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 32","Brewster Bay",23,1,0,15,13,0,52,305
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 33","West Interlake",45,0,0,9,3,0,57,114
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 34","Fraserwood",125,3,20,14,31,1,194,302
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 35","Gimli",49,3,3,29,20,0,104,214
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 36","Shorepointe Village",92,7,12,18,41,0,170,464
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 37","Loni Beach",65,3,10,24,33,0,135,420
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 38","Gimli",64,8,18,17,42,1,150,449
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 39","Gimli",57,5,11,21,23,0,117,415
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 40","Gimli",57,2,11,27,35,0,132,410
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 41","Aspen Park",78,1,10,9,45,1,144,412
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 42","Gimli",75,3,10,36,29,0,153,466
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 43","Victoria Beach",50,7,10,24,16,0,107,337
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 44","Hillside Beach",31,4,4,8,33,0,80,286
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 45","Traverse Bay",77,5,10,22,29,0,143,355
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 46","Alexander--Bélair",71,7,5,35,20,0,138,463
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 47","Inwood",139,5,26,9,42,1,222,390
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 48","Komarno",116,6,29,22,38,0,211,355
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 49","Oak Point",79,3,13,13,16,0,124,266
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 50","St. Laurent",75,2,3,35,34,5,154,378
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 51","St. Laurent",53,2,11,15,14,0,95,228
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 52","St. Laurent",70,1,7,33,31,3,145,349
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 53","Husavick",68,1,8,32,30,1,140,355
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 54","Sandy Hook",50,2,1,20,30,0,103,259
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 55","Sandy Hook",54,1,3,30,25,0,113,318
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 56","Winnipeg Beach",81,1,5,31,33,0,151,425
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 57","Winnipeg Beach",68,6,14,29,31,0,148,470
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 58","Winnipeg Beach",75,6,11,16,30,0,138,305
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 59","Ponemah",85,7,10,26,34,0,162,467
