Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carson Binda,Virginia Bremner,Kimball Cariou,Farrukh Chishtie,Don Davies,Jeremy MacKenzie,Donna Petersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 1","Vancouver",31,40,1,10,85,4,0,0,171,471
59038,"Vancouver Kingsway/Vancouver Kingsway"," 2","Vancouver",20,50,2,7,107,7,0,0,193,461
59038,"Vancouver Kingsway/Vancouver Kingsway"," 3","Vancouver",17,61,2,8,59,4,0,0,151,405
59038,"Vancouver Kingsway/Vancouver Kingsway"," 4","Vancouver",22,45,2,4,79,3,0,2,157,417
59038,"Vancouver Kingsway/Vancouver Kingsway"," 5","Vancouver",21,42,3,3,96,6,0,0,171,419
59038,"Vancouver Kingsway/Vancouver Kingsway"," 6","Vancouver",16,58,1,9,82,1,0,0,167,385
59038,"Vancouver Kingsway/Vancouver Kingsway"," 7","Vancouver",24,52,0,6,84,3,0,0,169,440
59038,"Vancouver Kingsway/Vancouver Kingsway"," 8","Vancouver",12,40,1,11,103,2,0,2,171,516
59038,"Vancouver Kingsway/Vancouver Kingsway"," 9","Vancouver",27,70,0,14,143,1,0,0,255,522
59038,"Vancouver Kingsway/Vancouver Kingsway"," 10","Vancouver",15,42,0,20,125,5,1,1,209,460
59038,"Vancouver Kingsway/Vancouver Kingsway"," 11","Vancouver",23,40,0,15,95,7,2,3,185,556
59038,"Vancouver Kingsway/Vancouver Kingsway"," 12","Vancouver",19,41,0,8,105,5,0,0,178,421
59038,"Vancouver Kingsway/Vancouver Kingsway"," 13","Vancouver",19,53,1,13,93,4,0,0,183,477
59038,"Vancouver Kingsway/Vancouver Kingsway"," 14","Vancouver",19,34,1,11,100,2,1,2,170,502
59038,"Vancouver Kingsway/Vancouver Kingsway"," 15","Vancouver",19,34,0,18,69,5,1,0,146,364
59038,"Vancouver Kingsway/Vancouver Kingsway"," 16","Vancouver",12,22,0,6,95,3,0,0,138,432
59038,"Vancouver Kingsway/Vancouver Kingsway"," 17","Vancouver",14,27,0,13,89,1,1,1,146,364
