Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juan Estevez Moreno,Sabrina Grover,Greg McLean,Austin Mullins,Dawid Pawlowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 156","Calgary",34,55,94,3,3,0,189,496
48004,"Calgary Centre/Calgary-Centre"," 157","Calgary",49,77,47,4,4,1,182,445
48004,"Calgary Centre/Calgary-Centre"," 158","Calgary",39,65,105,5,6,2,222,616
48004,"Calgary Centre/Calgary-Centre"," 159","Calgary",48,58,62,3,2,0,173,427
48004,"Calgary Centre/Calgary-Centre"," 160","Calgary",26,59,84,5,0,1,175,495
48004,"Calgary Centre/Calgary-Centre"," 161","Calgary",24,67,96,1,1,0,189,476
48004,"Calgary Centre/Calgary-Centre"," 162","Calgary",19,44,78,4,1,0,146,472
48004,"Calgary Centre/Calgary-Centre"," 163","Calgary",31,61,89,3,2,0,186,470
48004,"Calgary Centre/Calgary-Centre"," 164","Calgary",17,64,136,4,1,1,223,505
48004,"Calgary Centre/Calgary-Centre"," 165","Calgary",41,60,120,5,1,4,231,518
48004,"Calgary Centre/Calgary-Centre"," 166","Calgary",11,43,103,3,3,0,163,429
48004,"Calgary Centre/Calgary-Centre"," 167","Calgary",20,47,125,2,3,1,198,480
48004,"Calgary Centre/Calgary-Centre"," 168","Calgary",9,29,138,1,0,0,177,427
48004,"Calgary Centre/Calgary-Centre"," 169","Calgary",31,73,91,4,1,0,200,540
48004,"Calgary Centre/Calgary-Centre"," 170","Calgary",14,28,125,0,0,0,167,467
48004,"Calgary Centre/Calgary-Centre"," 171","Calgary",16,40,122,1,0,1,180,477
48004,"Calgary Centre/Calgary-Centre"," 172","Calgary",33,62,69,5,0,0,169,462
48004,"Calgary Centre/Calgary-Centre"," 173","Calgary",27,45,100,4,2,0,178,497
48004,"Calgary Centre/Calgary-Centre"," 174","Calgary",55,63,98,4,7,1,228,596
48004,"Calgary Centre/Calgary-Centre"," 175","Calgary",46,76,83,1,1,0,207,479
48004,"Calgary Centre/Calgary-Centre"," 176","Calgary",35,65,61,3,0,2,166,467
48004,"Calgary Centre/Calgary-Centre"," 177","Calgary",67,67,66,7,0,0,207,422
48004,"Calgary Centre/Calgary-Centre"," 178","Calgary",36,73,58,2,3,0,172,427
48004,"Calgary Centre/Calgary-Centre"," 179","Calgary",Merged with No./Fusionné avec le n°180,,,,,,,396
48004,"Calgary Centre/Calgary-Centre"," 180","Calgary",58,135,112,9,2,1,317,330
48004,"Calgary Centre/Calgary-Centre"," 181","Calgary",35,43,54,3,0,1,136,398
48004,"Calgary Centre/Calgary-Centre"," 182","Calgary",32,43,95,4,0,3,177,501
48004,"Calgary Centre/Calgary-Centre"," 183","Calgary",Merged with No./Fusionné avec le n°184,,,,,,,396
48004,"Calgary Centre/Calgary-Centre"," 184","Calgary",19,52,174,4,6,1,256,413
48004,"Calgary Centre/Calgary-Centre"," 185","Calgary",43,44,58,5,5,1,156,431
48004,"Calgary Centre/Calgary-Centre"," 186","Calgary",27,42,64,3,5,0,141,417
48004,"Calgary Centre/Calgary-Centre"," 187","Calgary",32,33,66,4,4,1,140,400
48004,"Calgary Centre/Calgary-Centre"," 188","Calgary",Merged with No./Fusionné avec le n°189,,,,,,,381
48004,"Calgary Centre/Calgary-Centre"," 189","Calgary",35,48,143,5,8,1,240,427
48004,"Calgary Centre/Calgary-Centre"," 190","Calgary",33,80,137,6,8,2,266,453
