Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gulshan Akter,Edward Gao,Kevan Hunter,Natalie Odd,Murray Sigler,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 1","Calgary",25,12,0,5,51,99,0,192,401
48005,"Calgary Confederation/Calgary Confederation"," 2","Calgary",29,6,1,7,38,107,0,188,364
48005,"Calgary Confederation/Calgary Confederation"," 3","Calgary",20,8,0,4,55,109,1,197,372
48005,"Calgary Confederation/Calgary Confederation"," 4","Calgary",29,9,1,0,64,100,1,204,439
48005,"Calgary Confederation/Calgary Confederation"," 5","Calgary",23,15,1,13,58,95,1,206,426
48005,"Calgary Confederation/Calgary Confederation"," 6","Calgary",27,6,0,3,33,71,1,141,423
48005,"Calgary Confederation/Calgary Confederation"," 7","Calgary",27,12,0,4,29,124,1,197,456
48005,"Calgary Confederation/Calgary Confederation"," 8","Calgary",32,14,0,2,40,88,1,177,430
48005,"Calgary Confederation/Calgary Confederation"," 9","Calgary",40,12,0,5,56,86,0,199,407
48005,"Calgary Confederation/Calgary Confederation"," 10","Calgary",33,7,0,11,40,101,1,193,412
48005,"Calgary Confederation/Calgary Confederation"," 11","Calgary",17,3,0,4,31,92,1,148,426
48005,"Calgary Confederation/Calgary Confederation"," 12","Calgary",4,10,2,3,28,76,1,124,339
48005,"Calgary Confederation/Calgary Confederation"," 13","Calgary",18,3,0,2,26,58,0,107,378
48005,"Calgary Confederation/Calgary Confederation"," 14","Calgary",13,3,0,7,27,102,1,153,347
48005,"Calgary Confederation/Calgary Confederation"," 15","Calgary",14,6,1,5,28,84,0,138,385
48005,"Calgary Confederation/Calgary Confederation"," 16","Calgary",29,3,2,6,44,63,1,148,366
48005,"Calgary Confederation/Calgary Confederation"," 17","Calgary",43,15,1,11,59,86,0,215,454
48005,"Calgary Confederation/Calgary Confederation"," 18","Calgary",34,7,0,6,35,78,0,160,378
48005,"Calgary Confederation/Calgary Confederation"," 19","Calgary",34,10,0,8,34,55,1,142,435
48005,"Calgary Confederation/Calgary Confederation"," 20","Calgary",41,24,0,10,69,82,0,226,546
48005,"Calgary Confederation/Calgary Confederation"," 21","Calgary",50,8,1,6,63,107,0,235,318
48005,"Calgary Confederation/Calgary Confederation"," 22","Calgary",30,2,1,8,58,102,0,201,429
48005,"Calgary Confederation/Calgary Confederation"," 23","Calgary",22,8,0,3,49,107,0,189,425
48005,"Calgary Confederation/Calgary Confederation"," 24","Calgary",32,8,0,6,41,84,1,172,430
48005,"Calgary Confederation/Calgary Confederation"," 25","Calgary",16,4,0,6,66,76,1,169,430
48005,"Calgary Confederation/Calgary Confederation"," 26","Calgary",38,6,0,5,46,87,0,182,445
48005,"Calgary Confederation/Calgary Confederation"," 27","Calgary",24,4,0,4,27,71,0,130,348
48005,"Calgary Confederation/Calgary Confederation"," 28","Calgary",36,7,1,15,44,73,1,177,410
48005,"Calgary Confederation/Calgary Confederation"," 29","Calgary",14,6,3,3,37,101,3,167,410
48005,"Calgary Confederation/Calgary Confederation"," 30","Calgary",30,8,1,4,61,76,2,182,432
48005,"Calgary Confederation/Calgary Confederation"," 31","Calgary",29,5,1,8,49,84,0,176,409
48005,"Calgary Confederation/Calgary Confederation"," 32","Calgary",17,17,0,15,44,94,0,187,403
48005,"Calgary Confederation/Calgary Confederation"," 33","Calgary",47,7,0,9,67,72,2,204,588
48005,"Calgary Confederation/Calgary Confederation"," 34","Calgary",30,8,1,6,39,71,2,157,399
48005,"Calgary Confederation/Calgary Confederation"," 35","Calgary",20,2,0,5,54,90,0,171,381
48005,"Calgary Confederation/Calgary Confederation"," 36","Calgary",41,13,0,7,43,114,0,218,442
48005,"Calgary Confederation/Calgary Confederation"," 37","Calgary",36,5,1,4,68,101,0,215,380
48005,"Calgary Confederation/Calgary Confederation"," 38","Calgary",33,15,0,6,62,96,0,212,483
48005,"Calgary Confederation/Calgary Confederation"," 39","Calgary",38,9,1,9,45,67,0,169,370
48005,"Calgary Confederation/Calgary Confederation"," 40","Calgary",65,15,0,3,64,50,0,197,540
48005,"Calgary Confederation/Calgary Confederation"," 41","Calgary",22,11,1,6,47,83,1,171,406
48005,"Calgary Confederation/Calgary Confederation"," 42","Calgary",37,11,0,5,37,58,1,149,423
48005,"Calgary Confederation/Calgary Confederation"," 43","Calgary",41,13,1,5,52,89,1,202,494
48005,"Calgary Confederation/Calgary Confederation"," 44","Calgary",34,10,0,8,30,57,0,139,437
48005,"Calgary Confederation/Calgary Confederation"," 45","Calgary",29,9,0,4,24,35,0,101,352
48005,"Calgary Confederation/Calgary Confederation"," 46","Calgary",31,5,1,5,37,21,1,101,373
