Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vance Badawey,Michael Kimmons,Kurtis McCartney,Melissa McGlashan,Graham Speck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Niagara Centre/Niagara-Centre"," 1","St. Catharines",38,24,3,83,37,1,186,461
35066,"Niagara Centre/Niagara-Centre"," 2","St. Catharines",24,24,5,66,44,0,163,437
35066,"Niagara Centre/Niagara-Centre"," 3","St. Catharines",40,20,6,56,44,1,167,431
35066,"Niagara Centre/Niagara-Centre"," 4","St. Catharines",54,13,6,65,45,3,186,444
35066,"Niagara Centre/Niagara-Centre"," 5","St. Catharines",42,13,5,70,31,0,161,492
35066,"Niagara Centre/Niagara-Centre"," 6","St. Catharines",47,25,3,57,25,1,158,521
35066,"Niagara Centre/Niagara-Centre"," 7","St. Catharines",41,21,4,64,50,1,181,555
35066,"Niagara Centre/Niagara-Centre"," 8","St. Catharines",52,21,5,69,33,1,181,586
35066,"Niagara Centre/Niagara-Centre"," 9","St. Catharines",65,18,7,52,57,1,200,540
35066,"Niagara Centre/Niagara-Centre"," 10","St. Catharines",67,7,4,53,49,4,184,498
35066,"Niagara Centre/Niagara-Centre"," 11","St. Catharines",56,5,4,68,47,0,180,606
35066,"Niagara Centre/Niagara-Centre"," 12","St. Catharines",78,11,2,51,63,2,207,525
35066,"Niagara Centre/Niagara-Centre"," 13","St. Catharines",46,5,1,49,33,0,134,406
35066,"Niagara Centre/Niagara-Centre"," 14","St. Catharines",58,4,7,37,59,0,165,495
35066,"Niagara Centre/Niagara-Centre"," 15","St. Catharines",55,8,2,33,58,2,158,423
35066,"Niagara Centre/Niagara-Centre"," 16","St. Catharines",74,17,2,43,51,1,188,465
35066,"Niagara Centre/Niagara-Centre"," 17","St. Catharines",37,12,9,44,42,0,144,450
35066,"Niagara Centre/Niagara-Centre"," 18","St. Catharines",52,12,2,53,41,0,160,435
35066,"Niagara Centre/Niagara-Centre"," 19","St. Catharines",64,6,5,43,47,0,165,432
35066,"Niagara Centre/Niagara-Centre"," 20","St. Catharines",60,8,4,29,48,0,149,388
35066,"Niagara Centre/Niagara-Centre"," 21","Thorold",54,11,6,60,55,0,186,459
35066,"Niagara Centre/Niagara-Centre"," 22","Thorold",38,14,6,75,51,1,185,546
35066,"Niagara Centre/Niagara-Centre"," 23","Thorold",66,6,4,52,46,0,174,483
35066,"Niagara Centre/Niagara-Centre"," 24","Thorold",30,16,5,48,33,0,132,487
35066,"Niagara Centre/Niagara-Centre"," 25","Thorold",37,15,6,70,49,2,179,451
35066,"Niagara Centre/Niagara-Centre"," 26","Thorold",35,12,5,50,46,2,150,377
35066,"Niagara Centre/Niagara-Centre"," 27","Thorold",44,16,5,76,51,0,192,461
35066,"Niagara Centre/Niagara-Centre"," 28","Thorold",70,7,4,51,37,1,170,422
35066,"Niagara Centre/Niagara-Centre"," 29","Thorold",77,22,4,64,68,0,235,482
35066,"Niagara Centre/Niagara-Centre"," 30","Thorold",121,46,9,134,115,1,426,984
35066,"Niagara Centre/Niagara-Centre"," 31","Thorold ",Void/Supprimé,,,,,,,
35066,"Niagara Centre/Niagara-Centre"," 32","Thorold",83,24,4,64,62,2,239,555
35066,"Niagara Centre/Niagara-Centre"," 33","St. Catharines",80,10,2,83,48,0,223,512
35066,"Niagara Centre/Niagara-Centre"," 34","St. Catharines",87,4,3,53,77,1,225,581
35066,"Niagara Centre/Niagara-Centre"," 35","St. Catharines",95,14,0,54,66,0,229,513
35066,"Niagara Centre/Niagara-Centre"," 36","St. Catharines",34,17,7,56,27,0,141,467
35066,"Niagara Centre/Niagara-Centre"," 37","St. Catharines",63,8,2,21,49,0,143,368
35066,"Niagara Centre/Niagara-Centre"," 38","St. Catharines",66,7,2,38,47,0,160,429
35066,"Niagara Centre/Niagara-Centre"," 39","St. Catharines",52,10,3,37,49,1,152,347
35066,"Niagara Centre/Niagara-Centre"," 40","St. Catharines",53,6,2,27,74,2,164,442
35066,"Niagara Centre/Niagara-Centre"," 41","St. Catharines",58,12,5,21,57,0,153,396
35066,"Niagara Centre/Niagara-Centre"," 42","St. Catharines",103,3,2,38,85,2,233,574
35066,"Niagara Centre/Niagara-Centre"," 43","St. Catharines",133,7,4,31,80,1,256,632
35066,"Niagara Centre/Niagara-Centre"," 44","St. Catharines",77,2,6,26,63,0,174,462
35066,"Niagara Centre/Niagara-Centre"," 45","Thorold",77,9,1,55,53,0,195,481
35066,"Niagara Centre/Niagara-Centre"," 46","Thorold",87,16,5,62,56,2,228,569
35066,"Niagara Centre/Niagara-Centre"," 47","St. Catharines",7,0,0,6,6,0,19,95
35066,"Niagara Centre/Niagara-Centre"," 48","Thorold",136,18,8,190,132,2,486,1012
35066,"Niagara Centre/Niagara-Centre"," 49","Thorold",58,16,3,35,42,0,154,444
35066,"Niagara Centre/Niagara-Centre"," 50","Thorold",54,12,3,52,44,0,165,473
35066,"Niagara Centre/Niagara-Centre"," 51","Thorold",54,15,2,40,36,0,147,423
35066,"Niagara Centre/Niagara-Centre"," 52","Thorold",64,9,1,72,52,3,201,509
35066,"Niagara Centre/Niagara-Centre"," 53","Thorold",49,20,6,83,50,2,210,513
35066,"Niagara Centre/Niagara-Centre"," 54","Thorold",99,23,6,81,93,1,303,655
35066,"Niagara Centre/Niagara-Centre"," 55","Thorold",112,11,9,92,98,6,328,664
35066,"Niagara Centre/Niagara-Centre"," 56","Thorold",65,15,2,91,70,1,244,551
35066,"Niagara Centre/Niagara-Centre"," 57","Thorold",54,45,4,98,105,1,307,625
35066,"Niagara Centre/Niagara-Centre"," 58","Thorold",79,33,10,83,82,0,287,530
35066,"Niagara Centre/Niagara-Centre"," 59","Thorold",171,22,8,132,156,3,492,880
35066,"Niagara Centre/Niagara-Centre"," 60","Thorold",112,36,6,88,112,3,357,735
35066,"Niagara Centre/Niagara-Centre"," 61","Thorold",46,12,4,34,63,2,161,405
35066,"Niagara Centre/Niagara-Centre"," 62","Thorold",40,13,7,38,87,0,185,502
35066,"Niagara Centre/Niagara-Centre"," 63","Thorold",95,37,10,60,87,0,289,581
35066,"Niagara Centre/Niagara-Centre"," 64A","Thorold",94,30,6,73,92,2,297,913
35066,"Niagara Centre/Niagara-Centre"," 64B","Thorold",102,34,1,59,96,3,295,921
35066,"Niagara Centre/Niagara-Centre"," 65","Welland",67,10,3,47,55,0,182,501
35066,"Niagara Centre/Niagara-Centre"," 66","Welland",47,4,3,32,32,0,118,404
35066,"Niagara Centre/Niagara-Centre"," 67","Welland",68,17,5,35,59,0,184,457
35066,"Niagara Centre/Niagara-Centre"," 68","Welland",93,9,5,51,72,2,232,559
35066,"Niagara Centre/Niagara-Centre"," 69","Welland",52,9,1,34,45,1,142,441
35066,"Niagara Centre/Niagara-Centre"," 70","Welland",47,10,8,53,57,3,178,471
35066,"Niagara Centre/Niagara-Centre"," 71","Welland",54,17,6,36,54,0,167,423
35066,"Niagara Centre/Niagara-Centre"," 72","Welland",121,5,2,17,102,1,248,783
35066,"Niagara Centre/Niagara-Centre"," 73","Welland",48,21,3,47,50,0,169,507
35066,"Niagara Centre/Niagara-Centre"," 74","Welland",62,10,3,38,44,2,159,429
35066,"Niagara Centre/Niagara-Centre"," 75","Welland",40,22,6,79,49,2,198,562
35066,"Niagara Centre/Niagara-Centre"," 76","Welland",70,13,7,42,70,1,203,505
35066,"Niagara Centre/Niagara-Centre"," 77","Welland",62,17,2,66,73,0,220,539
35066,"Niagara Centre/Niagara-Centre"," 78","Welland",58,18,4,41,70,1,192,523
35066,"Niagara Centre/Niagara-Centre"," 79","Welland",88,21,6,65,56,1,237,520
35066,"Niagara Centre/Niagara-Centre"," 80","Welland",61,19,4,45,58,2,189,464
35066,"Niagara Centre/Niagara-Centre"," 81","Welland",50,17,3,53,80,0,203,463
35066,"Niagara Centre/Niagara-Centre"," 82","Welland",77,14,2,57,87,1,238,525
35066,"Niagara Centre/Niagara-Centre"," 83","Welland",39,9,3,35,35,0,121,381
35066,"Niagara Centre/Niagara-Centre"," 84","Welland",51,21,3,40,45,1,161,357
35066,"Niagara Centre/Niagara-Centre"," 85","Welland",61,1,2,29,48,1,142,345
35066,"Niagara Centre/Niagara-Centre"," 86","Welland",81,20,1,52,57,0,211,517
35066,"Niagara Centre/Niagara-Centre"," 87","Welland",93,14,9,45,67,1,229,543
35066,"Niagara Centre/Niagara-Centre"," 88","Welland",58,16,3,57,67,3,204,545
35066,"Niagara Centre/Niagara-Centre"," 89","Welland",116,22,2,45,96,2,283,620
35066,"Niagara Centre/Niagara-Centre"," 90","Welland",45,21,7,46,57,1,177,403
35066,"Niagara Centre/Niagara-Centre"," 91","Welland",77,11,1,43,58,2,192,506
35066,"Niagara Centre/Niagara-Centre"," 92","Welland",41,22,4,34,96,0,197,483
35066,"Niagara Centre/Niagara-Centre"," 93","Welland",51,23,2,23,86,1,186,454
35066,"Niagara Centre/Niagara-Centre"," 94","Welland",37,17,2,30,68,0,154,397
35066,"Niagara Centre/Niagara-Centre"," 95","Welland",51,11,2,47,44,1,156,440
35066,"Niagara Centre/Niagara-Centre"," 96","Welland",62,2,6,64,44,3,181,401
35066,"Niagara Centre/Niagara-Centre"," 97","Welland",66,17,4,66,34,0,187,492
35066,"Niagara Centre/Niagara-Centre"," 98","Welland",50,21,1,55,73,0,200,569
35066,"Niagara Centre/Niagara-Centre"," 99","Welland",95,9,5,57,45,2,213,579
35066,"Niagara Centre/Niagara-Centre"," 100","Welland",31,8,1,31,22,2,95,526
35066,"Niagara Centre/Niagara-Centre"," 101","Welland",80,18,4,55,64,2,223,556
35066,"Niagara Centre/Niagara-Centre"," 102","Welland",81,22,3,52,67,0,225,558
35066,"Niagara Centre/Niagara-Centre"," 103","Welland",57,9,9,40,41,0,156,464
35066,"Niagara Centre/Niagara-Centre"," 104","Welland",96,9,7,55,121,0,288,574
35066,"Niagara Centre/Niagara-Centre"," 105","Welland",70,15,4,45,68,2,204,453
35066,"Niagara Centre/Niagara-Centre"," 106","Welland",37,12,4,48,48,4,153,401
35066,"Niagara Centre/Niagara-Centre"," 107","Welland",60,17,1,28,38,2,146,428
35066,"Niagara Centre/Niagara-Centre"," 108","Welland",85,10,5,67,42,1,210,540
35066,"Niagara Centre/Niagara-Centre"," 109","Welland",72,8,3,45,27,2,157,511
35066,"Niagara Centre/Niagara-Centre"," 110","Welland",61,25,4,68,50,2,210,585
35066,"Niagara Centre/Niagara-Centre"," 111","Welland",77,25,7,49,45,0,203,542
35066,"Niagara Centre/Niagara-Centre"," 112","Welland",53,12,3,25,39,0,132,452
35066,"Niagara Centre/Niagara-Centre"," 113","Welland",68,19,6,79,58,0,230,532
35066,"Niagara Centre/Niagara-Centre"," 114","Welland",59,12,6,33,35,0,145,372
35066,"Niagara Centre/Niagara-Centre"," 115","Welland",54,14,3,52,40,0,163,528
35066,"Niagara Centre/Niagara-Centre"," 116","Welland",25,23,2,36,31,4,121,460
35066,"Niagara Centre/Niagara-Centre"," 117","Welland",43,18,4,56,43,1,165,465
35066,"Niagara Centre/Niagara-Centre"," 118","Welland",35,18,7,69,32,0,161,558
35066,"Niagara Centre/Niagara-Centre"," 119","Welland",31,20,9,41,45,0,146,450
35066,"Niagara Centre/Niagara-Centre"," 120","Welland",34,23,7,60,46,1,171,479
35066,"Niagara Centre/Niagara-Centre"," 121","Welland",27,11,3,35,20,2,98,448
35066,"Niagara Centre/Niagara-Centre"," 122","Welland",30,9,4,39,31,2,115,468
35066,"Niagara Centre/Niagara-Centre"," 123","Welland",63,29,6,44,51,0,193,566
35066,"Niagara Centre/Niagara-Centre"," 124","Welland",40,4,0,45,32,1,122,355
35066,"Niagara Centre/Niagara-Centre"," 125","Welland",30,13,3,37,27,0,110,426
35066,"Niagara Centre/Niagara-Centre"," 126","Welland",66,11,6,69,51,0,203,557
35066,"Niagara Centre/Niagara-Centre"," 127","Welland",52,13,0,32,62,3,162,398
35066,"Niagara Centre/Niagara-Centre"," 128","Welland",76,16,0,52,56,1,201,539
35066,"Niagara Centre/Niagara-Centre"," 129","Welland",64,15,3,57,62,0,201,537
35066,"Niagara Centre/Niagara-Centre"," 130","Welland",90,9,1,45,96,2,243,572
35066,"Niagara Centre/Niagara-Centre"," 131","Welland",113,24,3,60,78,2,280,798
35066,"Niagara Centre/Niagara-Centre"," 132","Welland",93,4,3,38,68,1,207,560
35066,"Niagara Centre/Niagara-Centre"," 133","Welland",37,26,10,65,39,1,178,584
35066,"Niagara Centre/Niagara-Centre"," 134","Welland",31,13,3,43,21,2,113,395
35066,"Niagara Centre/Niagara-Centre"," 135","Welland",46,18,3,48,32,0,147,421
35066,"Niagara Centre/Niagara-Centre"," 136","Welland",36,14,2,62,32,2,148,510
35066,"Niagara Centre/Niagara-Centre"," 137","Welland",50,9,2,53,37,0,151,456
35066,"Niagara Centre/Niagara-Centre"," 138","Welland",51,11,5,46,34,3,150,476
35066,"Niagara Centre/Niagara-Centre"," 139","Welland",25,6,0,32,27,0,90,410
35066,"Niagara Centre/Niagara-Centre"," 140","Welland",68,12,2,56,63,0,201,570
35066,"Niagara Centre/Niagara-Centre"," 141","Welland",29,7,1,54,43,0,134,415
35066,"Niagara Centre/Niagara-Centre"," 142","Welland",44,19,3,64,41,0,171,494
35066,"Niagara Centre/Niagara-Centre"," 143","Welland",47,24,8,69,34,0,182,514
35066,"Niagara Centre/Niagara-Centre"," 144","Welland",55,20,2,66,54,3,200,564
35066,"Niagara Centre/Niagara-Centre"," 145","Welland",62,33,4,66,49,0,214,704
