Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenna Chisholm,Angela Conrad,Anthony Edmonds,Earl Gosse,Darrell Samson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 1","Enfield",25,44,3,5,35,0,112,264
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 2","Oakfield",39,53,5,5,83,2,187,513
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 3","Grand Lake Station",41,46,1,8,55,0,151,460
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 4","Head of Chezzetcook",39,39,9,9,65,0,161,443
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 5","Head of Chezzetcook",31,39,4,3,60,0,137,342
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 6","North Beaver Bank--Shubenacadie 13",20,31,3,7,49,0,110,293
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 7","Beaver Bank",39,39,2,9,68,0,157,437
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 8","Beaver Bank",38,48,4,11,45,0,146,423
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 9","Kinsac",38,34,5,5,49,2,133,360
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 10","Halifax",55,58,1,3,80,1,198,442
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 11","Wellington",42,49,3,5,74,2,175,465
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 12","Wellington",49,75,5,8,96,1,234,483
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 13","Fletchers Lake",52,49,6,6,78,0,191,477
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 14","Wellington--Fletchers Lake",36,41,4,6,73,0,160,340
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 15","Porters Lake",21,31,2,6,50,0,110,267
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 16","Porters Lake",32,51,2,9,61,0,155,499
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 17","Porters Lake",30,43,3,2,65,2,145,312
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 18","Porters Lake",34,57,4,13,75,0,183,372
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 19","Porters Lake",46,69,8,8,52,1,184,464
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 20","Porters Lake",54,62,5,6,73,3,203,441
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 21","Fletchers Lake",47,47,1,2,86,0,183,400
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 22","Fall River",26,40,1,3,51,1,122,279
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 23","Fall River",34,67,1,3,102,0,207,480
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 24","Lake Echo",40,41,1,9,47,2,140,398
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 25","Lake Echo",50,22,2,10,33,2,119,365
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 26","Halifax",58,33,1,7,46,0,145,408
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 27","Lake Echo",38,36,1,9,48,1,133,346
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 28","Lake Echo",26,31,6,6,53,1,123,346
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 29","Fall River",47,41,7,5,55,0,155,421
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 30","Fall River",36,45,10,5,70,0,166,450
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 31","West Chezzetcook",41,56,5,11,61,0,174,488
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 32","Grand Desert",42,41,1,7,91,0,182,450
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 33","East Chezzetcook",47,47,4,7,96,1,202,377
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 34","Lower East Chezzetcook",45,36,4,5,45,0,135,286
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 35","Fall River",45,80,2,1,67,1,196,499
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 36","Fall River",34,63,2,8,75,2,184,513
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 37","Fall River",29,70,8,2,76,1,186,442
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 38","Fall River West",38,33,2,4,100,0,177,461
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 39","Fall River West",31,45,4,6,63,1,150,416
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 40","Fall River West",41,35,5,5,68,1,155,384
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 41","North Preston",16,8,2,1,53,2,82,324
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 42","North Preston",34,9,1,3,74,2,123,448
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 43","Cherry Brook--Lake Major",16,6,0,3,31,1,57,224
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 44","Porters Lake--West Chezzetcook",37,44,1,5,42,0,129,332
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 45","Middle Porters Lake",45,51,3,3,88,0,190,424
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 46","West Porters Lake",34,45,3,7,54,0,143,412
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 47","Halifax",51,46,5,11,71,0,184,473
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 48","Halifax",70,64,4,9,80,0,227,508
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 49","Halifax",59,64,5,5,61,1,195,469
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 50","Halifax",40,40,0,3,74,0,157,432
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 51","Halifax",39,37,3,13,65,0,157,436
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 52","Mineville",25,48,4,6,88,0,171,363
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 53","Mineville",41,53,4,12,86,1,197,324
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 54","East Preston",55,18,2,4,48,0,127,452
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 55","East Preston",50,16,4,5,72,0,147,460
