Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Frydman,Timothy Gleeson,Marco Mendicino,Geoff Pollock,Caleb Senneker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 1","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,498
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 2","Toronto",7,5,116,159,29,3,319,413
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 3","Toronto",Merged with No./Fusionné avec le n°9,,,,,,,504
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 4","Toronto",5,7,73,58,21,1,165,479
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 5","Toronto",3,7,42,31,19,1,103,429
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 6","Toronto",Merged with No./Fusionné avec le n°7,,,,,,,410
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 7","Toronto",3,5,77,64,19,3,171,343
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 8","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,431
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 9","Toronto",11,6,134,164,18,0,333,435
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 10","Toronot ",Void/Supprimé,,,,,,,
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 11","Toronto",3,5,129,111,21,1,270,449
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 12","Toronto",Merged with No./Fusionné avec le n°15A,,,,,,,397
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 13","Toronto",26,16,654,445,103,3,1247,362
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 14","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,409
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 15A","Toronto",5,11,141,91,31,1,280,435
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 15B","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,372
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 16","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,441
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 17","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,367
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 18","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,387
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 19","Toronto",Void/Supprimé,,,,,,,
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 20","Toronto",8,5,108,108,14,4,247,822
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 21","Toronto",5,6,83,151,16,2,263,472
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 22","Toronto",Merged with No./Fusionné avec le n°21,,,,,,,415
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 23","Toronto",2,9,144,80,17,2,254,506
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 24","Toronto",120,121,1876,1681,393,16,4207,357
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 25","Toronto",39,64,874,569,249,7,1802,463
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 26","Toronto",Merged with No./Fusionné avec le n°46,,,,,,,482
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 27","Toronto",3,5,113,97,13,2,233,374
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 28","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,420
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 29","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,342
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 30","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,353
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 31","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,503
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 32","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,477
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 33","Toronto ",Void/Supprimé,,,,,,,
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 34","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,798
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 35","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,433
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 36","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,278
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 37","Toronto",9,10,146,51,40,4,260,544
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 38","Toronto",1,7,100,48,14,1,171,503
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 39","Toronto",Results combined with no. 23/Résultats combinés au n° 23,,,,,,,391
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 40","Toronto",2,7,92,42,19,3,165,486
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 41","Toronto",37,101,1010,543,202,15,1908,391
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 42","Toronto",Merged with No./Fusionné avec le n°41,,,,,,,377
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 43","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,411
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 44","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,392
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 45","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,447
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 46","Toronto",3,6,97,161,15,0,282,467
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 47","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,505
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 48","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,450
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 49","Toronto",0,5,60,73,13,2,153,492
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 50","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,407
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 51","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,552
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 52","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,518
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 53","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,335
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 54","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,448
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 55","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,491
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 56","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,371
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 57","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,402
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 58","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,431
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 59","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,466
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 60","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,401
