Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Sébastien Grenier,Rachid Jemmah,Luc Lavoie,Steven MacKinnon,Geneviève Nadeau,Fernanda Rengel,Mathieu Saint-Jean,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Gatineau/Gatineau"," 1","Gatineau",27,1,1,0,55,27,18,14,0,3,146,435
24027,"Gatineau/Gatineau"," 2","Gatineau",8,1,3,2,85,46,26,10,0,0,181,391
24027,"Gatineau/Gatineau"," 3","Gatineau",31,0,1,3,109,33,36,15,1,0,229,634
24027,"Gatineau/Gatineau"," 4","Gatineau",27,1,1,4,90,55,23,8,0,1,210,475
24027,"Gatineau/Gatineau"," 5","Gatineau",27,1,3,1,123,63,20,1,0,4,243,519
24027,"Gatineau/Gatineau"," 6","Gatineau",32,1,2,2,103,42,22,8,0,1,213,419
24027,"Gatineau/Gatineau"," 7","Gatineau",22,0,3,2,62,44,26,14,0,0,173,501
24027,"Gatineau/Gatineau"," 8","Gatineau",34,0,3,6,124,91,37,27,0,8,330,646
24027,"Gatineau/Gatineau"," 9","Gatineau",30,0,0,0,93,37,18,12,0,1,191,484
24027,"Gatineau/Gatineau"," 10","Gatineau",18,2,5,3,126,56,21,15,0,5,251,693
24027,"Gatineau/Gatineau"," 11","Gatineau",20,1,6,2,66,34,7,9,0,5,150,407
24027,"Gatineau/Gatineau"," 12","Gatineau",25,1,1,1,99,60,12,1,1,3,204,493
24027,"Gatineau/Gatineau"," 13","Gatineau",9,1,2,0,67,34,22,4,0,0,139,364
24027,"Gatineau/Gatineau"," 14","Gatineau",11,0,0,0,50,32,7,1,0,0,101,293
24027,"Gatineau/Gatineau"," 15","Gatineau",11,0,2,0,60,32,8,5,0,1,119,336
24027,"Gatineau/Gatineau"," 16","Gatineau",19,1,4,1,61,31,15,5,0,2,139,429
24027,"Gatineau/Gatineau"," 17","Gatineau",22,0,2,1,68,39,21,8,0,1,162,392
24027,"Gatineau/Gatineau"," 18","Gatineau",28,1,6,2,90,44,24,7,0,2,204,486
24027,"Gatineau/Gatineau"," 19","Gatineau",18,0,1,1,95,52,25,9,0,4,205,506
24027,"Gatineau/Gatineau"," 20","Gatineau",45,0,2,0,92,59,14,4,0,2,218,476
24027,"Gatineau/Gatineau"," 21","Gatineau",23,1,6,0,85,44,27,5,0,0,191,421
24027,"Gatineau/Gatineau"," 22","Gatineau",13,0,2,2,64,27,27,5,0,2,142,317
24027,"Gatineau/Gatineau"," 23","Gatineau",18,0,1,2,44,45,12,12,1,4,139,352
24027,"Gatineau/Gatineau"," 24","Gatineau",29,3,5,0,106,45,31,14,0,3,236,636
24027,"Gatineau/Gatineau"," 25","Gatineau",42,3,6,2,216,89,49,20,0,6,433,981
24027,"Gatineau/Gatineau"," 26","Gatineau",15,0,1,2,57,41,7,8,0,1,132,448
24027,"Gatineau/Gatineau"," 27","Gatineau",17,1,0,0,37,25,14,6,0,3,103,344
24027,"Gatineau/Gatineau"," 28","Gatineau",20,0,3,1,77,40,12,6,0,0,159,422
24027,"Gatineau/Gatineau"," 29","Gatineau",29,1,6,1,73,32,17,10,0,1,170,459
24027,"Gatineau/Gatineau"," 30","Gatineau",18,0,1,2,80,34,10,10,0,2,157,383
24027,"Gatineau/Gatineau"," 31","Gatineau",20,1,3,1,67,39,17,10,0,3,161,384
24027,"Gatineau/Gatineau"," 32","Gatineau",27,2,5,0,59,58,21,13,0,2,187,566
