Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Gillanders,James Hinton,Wilson Miao,Sandra Nixon,Alice Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Richmond Centre/Richmond-Centre"," 29","Richmond",6,3,50,52,47,1,159,359
59025,"Richmond Centre/Richmond-Centre"," 30","Richmond",2,2,74,14,49,1,142,411
59025,"Richmond Centre/Richmond-Centre"," 31","Richmond",5,7,88,49,82,3,234,923
59025,"Richmond Centre/Richmond-Centre"," 32","Richmond",3,6,119,28,79,0,235,907
59025,"Richmond Centre/Richmond-Centre"," 33","Richmond",5,2,66,32,49,0,154,445
59025,"Richmond Centre/Richmond-Centre"," 34","Richmond",6,3,58,31,40,1,139,356
59025,"Richmond Centre/Richmond-Centre"," 35","Richmond",2,0,50,21,46,0,119,321
59025,"Richmond Centre/Richmond-Centre"," 36","Richmond",2,2,68,26,64,0,162,434
59025,"Richmond Centre/Richmond-Centre"," 37","Richmond",3,6,40,12,43,0,104,419
59025,"Richmond Centre/Richmond-Centre"," 38","Richmond",1,1,71,22,45,1,141,344
59025,"Richmond Centre/Richmond-Centre"," 39","Richmond",1,0,45,15,42,1,104,449
59025,"Richmond Centre/Richmond-Centre"," 40","Richmond",8,1,43,14,20,1,87,431
59025,"Richmond Centre/Richmond-Centre"," 41","Richmond",6,2,47,11,43,0,109,389
59025,"Richmond Centre/Richmond-Centre"," 42","Richmond",1,0,28,10,22,0,61,375
59025,"Richmond Centre/Richmond-Centre"," 43","Richmond",3,1,74,18,64,1,161,787
59025,"Richmond Centre/Richmond-Centre"," 44","Richmond",2,3,53,12,26,0,96,488
59025,"Richmond Centre/Richmond-Centre"," 45","Richmond",7,4,71,38,52,2,174,743
59025,"Richmond Centre/Richmond-Centre"," 46","Richmond",9,4,38,26,30,0,107,491
59025,"Richmond Centre/Richmond-Centre"," 47","Richmond",6,1,34,22,36,2,101,331
59025,"Richmond Centre/Richmond-Centre"," 48","Richmond",6,10,54,17,56,1,144,388
59025,"Richmond Centre/Richmond-Centre"," 49","Richmond",12,0,38,25,40,0,115,296
59025,"Richmond Centre/Richmond-Centre"," 50","Richmond",1,0,43,23,68,5,140,468
59025,"Richmond Centre/Richmond-Centre"," 51","Richmond",6,7,45,19,35,0,112,291
59025,"Richmond Centre/Richmond-Centre"," 52","Richmond",4,4,101,54,59,2,224,547
59025,"Richmond Centre/Richmond-Centre"," 53","Richmond",2,0,36,24,41,0,103,409
59025,"Richmond Centre/Richmond-Centre"," 54","Richmond",3,4,28,7,30,2,74,398
59025,"Richmond Centre/Richmond-Centre"," 55","Richmond",4,3,46,17,45,2,117,600
59025,"Richmond Centre/Richmond-Centre"," 56","Richmond",3,4,98,26,76,3,210,910
59025,"Richmond Centre/Richmond-Centre"," 57","Richmond",5,1,107,40,92,0,245,1168
59025,"Richmond Centre/Richmond-Centre"," 58","Richmond",5,0,95,30,75,0,205,989
59025,"Richmond Centre/Richmond-Centre"," 59","Richmond",1,5,27,9,17,1,60,286
59025,"Richmond Centre/Richmond-Centre"," 60","Richmond",3,1,35,4,22,0,65,400
59025,"Richmond Centre/Richmond-Centre"," 61","Richmond",5,5,26,14,27,0,77,401
59025,"Richmond Centre/Richmond-Centre"," 62","Richmond",0,2,30,15,44,0,91,416
59025,"Richmond Centre/Richmond-Centre"," 63","Richmond",3,5,37,20,24,0,89,409
59025,"Richmond Centre/Richmond-Centre"," 64","Richmond",1,0,29,12,27,1,70,306
59025,"Richmond Centre/Richmond-Centre"," 65","Richmond",4,2,44,19,21,2,92,343
59025,"Richmond Centre/Richmond-Centre"," 66","Richmond",1,1,13,20,12,0,47,282
59025,"Richmond Centre/Richmond-Centre"," 67","Richmond",1,0,33,18,19,1,72,462
59025,"Richmond Centre/Richmond-Centre"," 68","Richmond",4,0,33,22,30,2,91,474
59025,"Richmond Centre/Richmond-Centre"," 69","Richmond",0,0,20,4,21,0,45,281
59025,"Richmond Centre/Richmond-Centre"," 70","Richmond",1,1,24,15,22,0,63,312
59025,"Richmond Centre/Richmond-Centre"," 71","Richmond",5,4,41,19,32,0,101,580
59025,"Richmond Centre/Richmond-Centre"," 72","Richmond",2,7,36,17,35,0,97,508
59025,"Richmond Centre/Richmond-Centre"," 73","Richmond",5,4,41,26,32,1,109,520
59025,"Richmond Centre/Richmond-Centre"," 74","Richmond",3,4,41,14,21,0,83,403
59025,"Richmond Centre/Richmond-Centre"," 75","Richmond",1,0,51,19,51,0,122,486
59025,"Richmond Centre/Richmond-Centre"," 76","Richmond",2,0,31,19,30,0,82,467
59025,"Richmond Centre/Richmond-Centre"," 77","Richmond",2,1,36,15,30,0,84,431
59025,"Richmond Centre/Richmond-Centre"," 78","Richmond",3,3,85,46,52,16,205,955
59025,"Richmond Centre/Richmond-Centre"," 79","Richmond",4,1,28,26,17,0,76,317
59025,"Richmond Centre/Richmond-Centre"," 80","Richmond",2,1,67,26,45,9,150,432
59025,"Richmond Centre/Richmond-Centre"," 81","Richmond",5,3,61,29,78,0,176,431
59025,"Richmond Centre/Richmond-Centre"," 82","Richmond",2,7,65,27,62,1,164,474
59025,"Richmond Centre/Richmond-Centre"," 83","Richmond",1,2,46,14,31,1,95,315
59025,"Richmond Centre/Richmond-Centre"," 84","Richmond",6,3,47,30,51,1,138,349
59025,"Richmond Centre/Richmond-Centre"," 85","Richmond",8,5,50,21,50,0,134,493
59025,"Richmond Centre/Richmond-Centre"," 86","Richmond",3,1,28,10,29,0,71,407
59025,"Richmond Centre/Richmond-Centre"," 87","Richmond",5,5,66,28,37,2,143,900
59025,"Richmond Centre/Richmond-Centre"," 88","Richmond",0,4,38,11,29,0,82,545
59025,"Richmond Centre/Richmond-Centre"," 89A","Richmond",3,3,61,12,20,0,99,561
