Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Gilpin,Leslyn Lewis,Charles Lugosi,Karen Matthews,George McMorrow,Meghan Piironen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 1","Haldimand County",18,88,5,35,0,28,0,174,504
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 2","Haldimand County",25,96,0,33,2,33,2,191,389
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 3A","Haldimand County",26,71,2,66,1,42,3,211,560
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 3B","Haldimand County",21,49,3,59,0,33,1,166,475
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 3C","Haldimand County",23,65,3,45,0,46,2,184,473
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 4","Haldimand County",11,57,5,46,0,20,0,139,307
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 5","Haldimand County",14,72,0,43,0,26,0,155,388
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 6","Haldimand County",16,64,2,32,1,33,1,149,376
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 7","Haldimand County",16,50,2,29,1,41,0,139,374
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 8","Haldimand County",18,92,1,60,1,43,0,215,629
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 9","Haldimand County",18,50,0,43,0,29,0,140,378
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 10","Haldimand County",12,132,2,48,1,36,0,231,583
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 11","Haldimand County",12,58,1,62,1,33,2,169,472
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 12","Haldimand County",14,61,1,59,0,43,1,179,434
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 13","Haldimand County",15,92,0,66,0,49,2,224,597
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 14","Haldimand County",11,99,0,57,0,36,1,204,501
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 15","Haldimand County",19,48,0,49,0,34,1,151,453
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 16","Haldimand County",16,51,0,39,1,32,1,140,380
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 17","Haldimand County",12,92,1,52,0,31,0,188,457
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 18","Haldimand County",15,83,1,40,0,44,0,183,440
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 19","Haldimand County",15,59,0,43,0,36,1,154,438
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 20","Haldimand County",17,89,3,58,2,40,0,209,475
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 21","Haldimand County",18,94,0,62,1,44,1,220,557
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 22","Haldimand County",15,92,0,62,0,42,3,214,558
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 23","Haldimand County",29,139,5,86,2,40,2,303,585
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 24","Haldimand County",13,98,7,29,0,17,0,164,349
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 25","Haldimand County",19,90,5,30,0,25,1,170,332
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 26","Haldimand County",19,116,10,22,0,20,2,189,347
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 27","Haldimand County",21,114,7,14,1,27,3,187,400
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 28","Haldimand County",29,135,8,28,1,10,1,212,368
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 29","Haldimand County",27,94,1,29,0,28,3,182,514
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 30","Haldimand County",7,70,0,31,0,26,0,134,368
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 31","Haldimand County",6,94,1,33,0,20,0,154,333
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 32","Haldimand County",13,85,1,25,1,12,1,138,351
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 33","Haldimand County",18,121,1,43,1,29,0,213,525
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 34","Haldimand County",18,69,5,38,1,38,0,169,498
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 35","Haldimand County",13,84,2,54,0,25,0,178,484
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 36","Haldimand County",25,92,0,29,0,43,4,193,540
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 37","Haldimand County",11,65,1,28,2,32,0,139,372
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 38","Haldimand County",21,88,0,39,1,10,1,160,393
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 39","Haldimand County",10,85,2,36,1,22,3,159,420
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 40","Haldimand County",11,55,0,34,0,22,1,123,339
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 41","Haldimand County",9,62,2,41,0,20,0,134,415
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 42","Haldimand County",15,100,4,33,0,29,1,182,483
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 43","Haldimand County",10,70,3,18,0,24,0,125,432
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 44","Haldimand County",30,77,3,26,2,45,0,183,442
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 45","Haldimand County",26,55,3,31,1,23,0,139,427
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 46","Haldimand County",27,92,0,30,1,34,0,184,446
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 47","Norfolk County",44,112,2,42,0,37,0,237,474
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 48","Norfolk County",29,125,0,66,0,37,1,258,548
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 49","Norfolk County",29,104,0,43,1,35,1,213,481
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 50","Haldimand County",12,55,8,38,0,37,0,150,451
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 51","Haldimand County",7,78,0,39,0,41,1,166,537
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 52","Haldimand County",24,53,3,33,3,42,3,161,472
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 53","Haldimand County",12,59,0,37,0,29,2,139,412
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 54","Haldimand County",20,42,1,42,0,44,1,150,409
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 55","Haldimand County",16,51,2,38,0,38,0,145,416
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 56","Haldimand County",11,48,6,29,1,33,0,128,339
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 57","Haldimand County",16,79,0,57,0,47,0,199,469
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 58","Haldimand County",20,84,3,45,0,56,0,208,489
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 59","Haldimand County",44,120,2,32,1,32,0,231,549
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 60","Haldimand County",25,84,0,22,2,20,0,153,367
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 61","Haldimand County",28,109,7,40,2,24,0,210,481
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 62","Haldimand County",31,148,1,54,0,41,0,275,549
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 63","Haldimand County",23,103,4,50,1,29,2,212,477
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 64","Haldimand County",21,65,1,25,1,33,0,146,398
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 65","Haldimand County",8,64,0,31,1,25,0,129,349
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 66","Haldimand County",20,80,5,28,1,26,1,161,359
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 67","Norfolk County",32,116,4,50,1,29,2,234,466
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 68","Norfolk County",28,94,1,53,1,23,0,200,454
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 69","Norfolk County",37,139,2,36,0,31,0,245,547
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 70","Norfolk County",16,133,4,46,1,41,0,241,501
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 71","Norfolk County",12,100,0,47,1,16,1,177,562
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 72","Norfolk County",16,73,2,60,0,27,1,179,425
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 73","Norfolk County",17,56,0,42,0,36,1,152,365
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 74","Haldimand County",33,128,2,54,0,29,0,246,456
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 75","Haldimand County",27,121,3,52,0,45,0,248,515
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 76","Haldimand County",11,97,4,15,0,22,1,150,409
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 77","Haldimand County",5,72,1,26,1,21,0,126,334
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 78","Haldimand County",7,53,3,47,0,18,1,129,402
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 79","Haldimand County",11,76,0,36,0,10,0,133,355
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 80","Norfolk County",31,105,2,52,6,46,4,246,521
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 81","Norfolk County",24,63,3,41,0,31,0,162,463
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 82","Norfolk County",21,102,0,61,2,40,2,228,480
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 83","Norfolk County",37,92,2,42,4,28,0,205,493
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 84","Haldimand County",17,107,1,41,0,19,1,186,372
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 85","Haldimand County",21,90,3,30,1,35,3,183,328
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 86","Haldimand County",15,116,2,32,0,22,1,188,414
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 87","Norfolk County",11,87,0,50,0,28,1,177,471
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 88","Norfolk County",9,70,5,39,4,29,2,158,416
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 89","Haldimand County",22,85,3,51,0,25,1,187,429
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 90","Haldimand County",31,87,0,44,0,36,1,199,502
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 91","Haldimand County",19,89,2,50,0,37,0,197,450
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 92","Haldimand County",17,103,3,28,1,12,2,166,335
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 93","Haldimand County",18,93,0,32,1,27,1,172,382
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 94","Haldimand County",16,90,1,36,0,22,1,166,386
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 95","Haldimand County",18,103,1,45,0,34,1,202,411
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 96","Norfolk County",40,163,12,37,2,28,3,285,505
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 97","Norfolk County",26,80,0,17,1,17,2,143,345
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 98","Norfolk County",22,122,6,45,0,34,2,231,458
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 99A","Haldimand County",29,89,1,42,1,33,5,200,431
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 99B","Haldimand County",Merged with No./Fusionné avec le n°402,,,,,,,,44
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 100","Norfolk County",21,74,4,36,0,11,2,148,334
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 101","Norfolk County",11,64,0,30,1,17,1,124,254
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 102","Haldimand County",10,92,0,33,0,22,1,158,332
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 103","Haldimand County",11,120,3,64,2,41,4,245,550
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 104","Norfolk County",22,136,9,63,1,24,0,255,516
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 105","Norfolk County",16,62,1,33,3,14,1,130,395
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 106","Norfolk County",13,76,2,68,2,19,2,182,444
