Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Victoria Galea,Roberto Henriquez,Bert Laranjo,Spencer Rocchi,Filomena Tassi,Dean Woods,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 1","Hamilton",7,44,80,0,144,4,2,281,569
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 2","Hamilton",13,46,73,2,98,6,0,238,472
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 3","Hamilton",7,61,48,0,87,23,0,226,451
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 4","Hamilton",15,74,74,1,136,18,0,318,579
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 5","Hamilton",24,70,73,1,136,8,2,314,541
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 6","Hamilton",3,47,23,0,83,3,0,159,399
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 7A","Hamilton",7,43,16,0,68,3,0,137,422
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 7B","Hamilton",0,13,15,0,35,2,7,72,130
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 8","Hamilton",10,64,25,1,111,4,2,217,490
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 9","Hamilton",9,81,23,0,74,15,0,202,439
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 10","Hamilton",6,64,39,1,81,11,1,203,503
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 11","Hamilton",5,98,26,1,91,6,0,227,422
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 12","Hamilton",11,112,66,0,82,8,0,279,410
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 13","Hamilton",12,105,44,2,112,6,2,283,370
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 14","Hamilton",13,92,26,0,59,3,1,194,532
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 15","Hamilton",11,112,48,2,61,7,1,242,446
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 16","Hamilton",5,48,62,2,122,5,0,244,556
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 17A","Hamilton",9,34,14,1,55,5,0,118,289
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 17B","Hamilton",7,21,23,1,40,4,1,97,197
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 18","Hamilton",7,36,28,0,91,2,1,165,435
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 19","Hamilton",8,48,61,1,108,15,1,242,589
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 20","Hamilton",14,62,34,0,88,4,2,204,514
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 21","Hamilton",5,32,24,1,47,3,0,112,376
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 22","Hamilton",6,50,51,0,65,5,0,177,452
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 23","Hamilton",5,36,30,2,65,10,0,148,376
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 24","Hamilton",3,74,44,1,56,10,1,189,444
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 25","Hamilton",6,49,40,1,69,5,1,171,431
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 26","Hamilton",6,33,51,0,77,5,0,172,389
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 27","Hamilton",2,36,45,1,62,8,1,155,456
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 28","Hamilton",4,30,49,0,128,3,3,217,362
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 29","Hamilton",8,91,38,0,65,8,0,210,563
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 30","Hamilton",13,126,46,0,92,11,0,288,564
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 31","Hamilton",11,128,72,3,116,11,1,342,716
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 32","Hamilton",3,31,20,0,47,6,1,108,404
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 33","Hamilton",8,47,48,1,51,6,0,161,462
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 34","Hamilton",3,25,3,0,54,7,2,94,418
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 35","Hamilton",8,42,29,0,42,7,2,130,446
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 36","Hamilton",7,34,36,0,80,12,0,169,469
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 37","Hamilton",12,35,46,0,87,3,2,185,448
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 38","Hamilton",4,35,44,0,83,4,1,171,373
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 39","Hamilton",12,108,52,1,80,5,0,258,494
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 40","Hamilton",11,143,74,0,103,8,2,341,545
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 41","Hamilton",15,112,69,1,81,5,0,283,591
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 42","Hamilton",5,27,34,0,75,7,1,149,472
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 43","Hamilton",5,47,52,0,52,3,1,160,433
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 44","Hamilton",5,16,45,0,66,2,0,134,355
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 45","Hamilton",2,33,47,0,91,8,0,181,413
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 46","Hamilton",6,39,42,0,67,6,1,161,421
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 47","Hamilton",3,37,50,2,68,10,1,171,368
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 48","Hamilton",6,34,36,1,100,4,0,181,410
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 49","Hamilton",5,27,42,1,59,8,0,142,410
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 50","Hamilton",5,24,53,1,81,3,0,167,419
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 51","Hamilton",3,21,62,0,82,4,0,172,446
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 52","Hamilton",5,39,68,0,79,3,1,195,494
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 53","Hamilton",8,45,43,0,88,8,0,192,476
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 54","Hamilton",7,28,61,0,90,5,1,192,493
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 55","Hamilton",6,31,55,0,76,11,0,179,482
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 56","Hamilton",11,19,61,0,98,8,0,197,497
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 57","Hamilton",7,21,46,0,72,4,0,150,435
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 58","Hamilton",13,74,54,1,141,24,2,309,478
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 59","Hamilton",8,42,22,2,44,5,0,123,314
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 60","Hamilton",3,41,34,1,63,4,0,146,438
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 61","Hamilton",1,19,16,0,18,9,0,63,192
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 62","Hamilton",3,53,56,1,68,5,0,186,411
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 63","Hamilton",1,15,7,0,22,4,1,50,185
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 64","Hamilton",6,54,30,0,93,10,0,193,594
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 65","Hamilton",5,56,51,0,77,9,1,199,539
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 66","Hamilton",0,13,55,1,70,0,0,139,347
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 67","Hamilton",10,41,45,0,79,7,0,182,383
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 68","Hamilton",7,39,39,1,55,7,1,149,382
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 69","Hamilton",7,44,66,0,67,7,2,193,449
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 70","Hamilton",3,51,59,0,40,6,0,159,375
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 71","Hamilton",3,39,55,2,69,10,1,179,425
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 72","Hamilton",10,50,42,0,61,7,0,170,390
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 73","Hamilton",5,48,54,1,69,16,2,195,410
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 74","Hamilton",3,53,44,1,64,4,1,170,372
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 75","Hamilton",5,31,40,1,44,7,1,129,349
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 76","Hamilton",2,45,42,0,89,4,0,182,427
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 77","Hamilton",3,47,52,0,55,10,2,169,435
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 78","Hamilton",7,46,32,0,85,8,2,180,440
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 79","Hamilton",4,42,43,0,57,17,1,164,385
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 80","Hamilton",5,53,37,1,64,10,1,171,430
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 81","Hamilton",5,36,72,1,101,16,1,232,458
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 82","Hamilton",5,43,40,0,67,6,0,161,395
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 83","Hamilton",5,54,62,1,113,10,0,245,555
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 84","Hamilton",4,45,46,0,77,11,1,184,365
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 85","Hamilton",3,37,47,1,118,4,0,210,437
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 86","Hamilton",4,36,66,0,95,4,0,205,529
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 87","Hamilton",7,27,94,0,83,4,0,215,499
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 88","Hamilton",5,30,49,0,85,12,3,184,359
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 89","Hamilton",5,38,47,2,105,10,1,208,443
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 90","Hamilton",8,59,47,1,102,31,2,250,539
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 91","Hamilton",5,48,40,0,86,11,0,190,433
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 92","Hamilton",4,43,36,0,62,21,0,166,461
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 93","Hamilton",3,31,27,0,48,5,0,114,246
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 94","Hamilton",3,58,46,0,94,12,0,213,452
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 95","Hamilton",8,53,58,0,64,14,2,199,432
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 96","Hamilton",9,39,40,0,84,9,1,182,360
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 97","Hamilton",5,64,39,0,84,4,0,196,412
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 98","Hamilton",6,64,47,0,69,7,0,193,391
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 99","Hamilton",4,33,42,1,45,8,1,134,340
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 100","Hamilton",7,46,33,1,55,6,0,148,364
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 101","Hamilton",3,66,49,1,105,3,0,227,499
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 102","Hamilton",2,40,27,0,64,9,1,143,435
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 103","Hamilton",8,61,44,1,73,16,5,208,417
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 104","Hamilton",4,55,54,1,108,5,4,231,613
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 105","Hamilton",3,36,42,0,82,7,2,172,376
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 106","Hamilton",6,58,22,0,70,9,4,169,449
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 107","Hamilton",7,19,64,0,77,9,0,176,461
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 108","Hamilton",3,11,63,1,56,6,0,140,330
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 109","Hamilton",4,12,87,0,70,10,0,183,416
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 110","Hamilton",6,17,92,1,79,0,0,195,471
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 111","Hamilton",4,8,80,0,75,5,0,172,395
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 112","Hamilton",3,26,66,0,49,6,2,152,368
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 113","Hamilton",0,32,29,0,50,11,2,124,338
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 114","Hamilton",2,51,17,0,61,7,2,140,504
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 115","Hamilton",5,70,37,1,56,19,0,188,503
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 116","Hamilton",3,55,40,0,46,9,1,154,412
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 117","Hamilton",19,37,117,0,93,18,0,284,470
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 118","Hamilton",3,19,96,0,90,3,0,211,512
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 119","Hamilton",3,26,44,2,99,1,1,176,422
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 120","Hamilton",3,37,44,1,60,10,1,156,360
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 121","Hamilton",4,16,60,0,58,1,2,141,432
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 122","Hamilton",4,16,51,0,50,8,1,130,376
