Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Anderson,Laura Anne Frost,Randall Garrison,Harley Gordon,Doug Kobayashi,Tyson Riel Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 156","Saanich",15,14,67,32,31,1,0,160,404
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 157","Saanich",3,26,67,11,23,0,1,131,445
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 158","Saanich",4,20,58,13,30,0,1,126,422
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 159","Saanich",6,25,75,36,37,2,0,181,511
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 160","Saanich",6,11,67,27,21,4,0,136,396
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 161","Saanich",4,10,42,11,18,0,0,85,389
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 162","Saanich",1,16,89,21,33,1,0,161,434
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 163","Saanich",0,12,46,17,35,0,0,110,466
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 164","Saanich",5,31,64,35,43,1,0,179,538
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 165","Saanich",6,19,69,20,26,0,1,141,538
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 166","Saanich",4,37,129,26,41,1,0,238,811
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 167","Saanich",4,15,54,11,23,1,0,108,434
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 168","Saanich",4,21,51,12,23,1,0,112,402
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 169","Saanich",6,19,94,12,19,2,2,154,600
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 170","Saanich",1,9,84,16,29,2,0,141,386
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 171","Esquimalt",5,19,48,16,22,1,0,111,297
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 172","Esquimalt",5,25,85,17,42,0,0,174,508
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 173","Esquimalt",10,20,75,7,22,0,0,134,365
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 174","Esquimalt",14,30,79,16,40,1,0,180,536
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 175","Esquimalt",9,35,86,25,39,1,1,196,409
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 176","Esquimalt",16,34,98,17,37,2,2,206,512
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 177","Esquimalt",9,26,101,14,20,6,0,176,502
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 178","Esquimalt",11,47,127,26,49,6,2,268,626
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 179","Esquimalt",6,22,73,12,20,1,1,135,470
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 180","Esquimalt",6,28,85,28,54,0,0,201,543
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 181","Esquimalt",5,14,48,10,15,2,0,94,406
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 182","Esquimalt",9,18,84,17,26,2,0,156,524
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 183","Esquimalt",8,19,73,16,35,3,0,154,430
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 184","Esquimalt",6,26,61,16,20,2,0,131,485
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 185","Esquimalt",6,16,66,18,16,0,1,123,473
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 186","Esquimalt",9,27,69,19,22,2,1,149,451
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 187","Esquimalt",7,16,73,22,20,3,0,141,511
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 188","Esquimalt",4,29,93,11,32,5,1,175,456
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 189","Esquimalt",5,24,62,15,25,2,0,133,407
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 190","Metchosin",8,50,42,11,32,0,1,144,403
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 191","Metchosin",13,31,60,28,38,3,0,173,433
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 192","Metchosin",5,31,32,21,17,0,0,106,351
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 193","Metchosin",9,32,39,20,27,0,0,127,385
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 194","Metchosin",9,41,55,12,27,0,0,144,399
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 195","Esquimalt",9,19,73,22,17,0,0,140,414
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 196","Esquimalt",4,9,72,10,27,3,0,125,455
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 197","Esquimalt",7,32,70,7,49,2,0,167,495
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 198","Esquimalt",3,10,67,18,18,0,0,116,353
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 199","Esquimalt",5,29,70,16,53,3,1,177,603
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 200","Esquimalt",10,62,88,20,28,0,1,209,544
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 201","Esquimalt",7,37,74,29,26,1,0,174,543
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 202","East Sooke",6,31,56,11,37,0,0,141,409
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 203","East Sooke",13,33,52,22,29,0,0,149,377
