Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric-Abel Baland,Richard Evanko,Marie-Hélène Gaudreau,Kathy Laframboise,Michel Le Comte,Michel Leclerc,Antoine Menassa,Jean-Noël Sorel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 202B","Saint-Sauveur",6,4,56,7,5,3,23,0,1,105,353
24038,"Laurentides--Labelle/Laurentides--Labelle"," 203","Saint-Sauveur",5,1,51,23,2,5,51,0,4,142,525
24038,"Laurentides--Labelle/Laurentides--Labelle"," 204","Saint-Rémi-d'Amherst",10,5,102,20,4,3,33,1,7,185,429
24038,"Laurentides--Labelle/Laurentides--Labelle"," 205","Saint-Rémi-d'Amherst",14,14,111,26,3,2,36,0,8,214,397
24038,"Laurentides--Labelle/Laurentides--Labelle"," 206","Saint-Sauveur",13,11,80,19,2,3,50,2,6,186,550
24038,"Laurentides--Labelle/Laurentides--Labelle"," 207","Saint-Sauveur",7,5,77,15,4,4,65,0,3,180,522
24038,"Laurentides--Labelle/Laurentides--Labelle"," 208","Saint-Sauveur",12,1,73,17,3,4,47,0,3,160,499
24038,"Laurentides--Labelle/Laurentides--Labelle"," 209","Saint-Sauveur",6,8,87,27,5,3,68,0,1,205,620
24038,"Laurentides--Labelle/Laurentides--Labelle"," 210","Weir",8,4,49,33,6,2,59,0,1,162,419
24038,"Laurentides--Labelle/Laurentides--Labelle"," 211","Saint-Sauveur",16,8,69,13,6,2,29,1,1,145,634
24038,"Laurentides--Labelle/Laurentides--Labelle"," 212","Saint-Sauveur",20,9,73,8,6,3,59,0,4,182,558
24038,"Laurentides--Labelle/Laurentides--Labelle"," 213","Saint-Sauveur",30,4,87,31,7,2,41,1,5,208,622
24038,"Laurentides--Labelle/Laurentides--Labelle"," 214","Saint-Sauveur",7,6,50,28,4,1,60,1,4,161,573
24038,"Laurentides--Labelle/Laurentides--Labelle"," 215","Saint-Sauveur",14,15,90,17,4,6,38,0,2,186,565
24038,"Laurentides--Labelle/Laurentides--Labelle"," 216","Saint-Sauveur",9,6,60,14,1,4,35,0,1,130,485
24038,"Laurentides--Labelle/Laurentides--Labelle"," 217","Saint-Sauveur",20,13,52,18,4,3,61,0,1,172,590
24038,"Laurentides--Labelle/Laurentides--Labelle"," 218","Saint-Sauveur",18,7,73,14,3,5,47,0,6,173,569
24038,"Laurentides--Labelle/Laurentides--Labelle"," 219","Sainte-Anne-des-Lacs",10,7,68,17,1,5,34,0,3,145,398
24038,"Laurentides--Labelle/Laurentides--Labelle"," 220","Sainte-Anne-des-Lacs",12,6,32,9,4,4,31,1,0,99,346
24038,"Laurentides--Labelle/Laurentides--Labelle"," 221","Sainte-Anne-des-Lacs",13,2,77,15,0,3,26,0,4,140,373
24038,"Laurentides--Labelle/Laurentides--Labelle"," 222","Sainte-Anne-des-Lacs",28,7,56,13,3,0,49,0,1,157,433
24038,"Laurentides--Labelle/Laurentides--Labelle"," 223","Sainte-Anne-des-Lacs",16,4,54,12,3,2,40,0,6,137,442
24038,"Laurentides--Labelle/Laurentides--Labelle"," 224","Sainte-Anne-des-Lacs",15,7,86,15,6,1,24,0,4,158,438
24038,"Laurentides--Labelle/Laurentides--Labelle"," 225","Sainte-Anne-des-Lacs",15,11,65,22,7,0,29,2,2,153,469
24038,"Laurentides--Labelle/Laurentides--Labelle"," 226","Sainte-Anne-des-Lacs",15,4,57,12,6,1,27,1,3,126,412
24038,"Laurentides--Labelle/Laurentides--Labelle"," 227","Notre-Dame-du-Laus",4,2,45,8,1,0,33,0,1,94,300
24038,"Laurentides--Labelle/Laurentides--Labelle"," 228","Notre-Dame-du-Laus",2,4,52,19,2,5,42,2,2,130,410
24038,"Laurentides--Labelle/Laurentides--Labelle"," 229","Notre-Dame-du-Laus",5,1,59,13,3,1,42,1,1,126,402
24038,"Laurentides--Labelle/Laurentides--Labelle"," 230","Notre-Dame-du-Laus",4,1,45,8,0,0,21,0,0,79,347
24038,"Laurentides--Labelle/Laurentides--Labelle"," 500","Mobile poll/Bureau itinérant",0,2,9,4,0,1,9,0,1,26,50
24038,"Laurentides--Labelle/Laurentides--Labelle"," 501","Mobile poll/Bureau itinérant",1,0,8,0,0,0,1,0,2,12,16
24038,"Laurentides--Labelle/Laurentides--Labelle"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 503","Mobile poll/Bureau itinérant",5,0,54,4,2,3,32,0,6,106,175
24038,"Laurentides--Labelle/Laurentides--Labelle"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 505","Mobile poll/Bureau itinérant",0,0,6,0,0,1,7,0,1,15,57
24038,"Laurentides--Labelle/Laurentides--Labelle"," 506","Mobile poll/Bureau itinérant",0,0,10,2,1,1,9,0,3,26,71
24038,"Laurentides--Labelle/Laurentides--Labelle"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 508","Mont-Laurier",Merged with No./Fusionné avec le n°27,,,,,,,,,,12
24038,"Laurentides--Labelle/Laurentides--Labelle"," 509","Mobile poll/Bureau itinérant",1,2,20,3,0,0,8,0,2,36,65
24038,"Laurentides--Labelle/Laurentides--Labelle"," 510","Mobile poll/Bureau itinérant",1,1,10,1,0,3,4,1,1,22,38
24038,"Laurentides--Labelle/Laurentides--Labelle"," 511","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 512","Mobile poll/Bureau itinérant",0,0,10,3,1,3,11,0,3,31,9
24038,"Laurentides--Labelle/Laurentides--Labelle"," 513","Labelle",Merged with No./Fusionné avec le n°87,,,,,,,,,,33
24038,"Laurentides--Labelle/Laurentides--Labelle"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°517,,,,,,,,,,20
24038,"Laurentides--Labelle/Laurentides--Labelle"," 515","Mobile poll/Bureau itinérant",1,0,16,6,0,3,27,0,7,60,92
24038,"Laurentides--Labelle/Laurentides--Labelle"," 516","Mobile poll/Bureau itinérant",0,0,3,0,0,2,6,0,0,11,14
24038,"Laurentides--Labelle/Laurentides--Labelle"," 517","Mobile poll/Bureau itinérant",1,0,14,1,0,2,5,0,2,25,41
24038,"Laurentides--Labelle/Laurentides--Labelle"," 518","Mobile poll/Bureau itinérant",1,0,6,2,1,1,9,0,0,20,33
24038,"Laurentides--Labelle/Laurentides--Labelle"," 519","Mobile poll/Bureau itinérant",0,0,6,0,0,1,9,1,2,19,28
24038,"Laurentides--Labelle/Laurentides--Labelle"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°534,,,,,,,,,,58
24038,"Laurentides--Labelle/Laurentides--Labelle"," 521","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 522","Mobile poll/Bureau itinérant",1,2,29,1,0,2,32,0,2,69,106
24038,"Laurentides--Labelle/Laurentides--Labelle"," 523","Mobile poll/Bureau itinérant",0,1,18,3,1,0,28,0,1,52,69
24038,"Laurentides--Labelle/Laurentides--Labelle"," 524","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 525","Mobile poll/Bureau itinérant",1,1,14,7,3,1,19,1,3,50,79
24038,"Laurentides--Labelle/Laurentides--Labelle"," 526","Mobile poll/Bureau itinérant",0,0,4,1,0,0,8,0,0,13,54
24038,"Laurentides--Labelle/Laurentides--Labelle"," 527","Sainte-Adèle",Merged with No./Fusionné avec le n°187,,,,,,,,,,22
24038,"Laurentides--Labelle/Laurentides--Labelle"," 528","Mobile poll/Bureau itinérant",0,0,7,1,0,0,16,0,0,24,77
24038,"Laurentides--Labelle/Laurentides--Labelle"," 529","Mobile poll/Bureau itinérant",2,0,35,10,0,4,70,0,1,122,129
24038,"Laurentides--Labelle/Laurentides--Labelle"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°529,,,,,,,,,,15
24038,"Laurentides--Labelle/Laurentides--Labelle"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°529,,,,,,,,,,17
24038,"Laurentides--Labelle/Laurentides--Labelle"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°529,,,,,,,,,,97
24038,"Laurentides--Labelle/Laurentides--Labelle"," 533","Mobile poll/Bureau itinérant",0,0,2,4,0,1,12,0,1,20,43
24038,"Laurentides--Labelle/Laurentides--Labelle"," 534","Mobile poll/Bureau itinérant",0,0,11,2,0,2,13,0,2,30,87
24038,"Laurentides--Labelle/Laurentides--Labelle"," 535","Sainte-Agathe-des-Monts",Merged with No./Fusionné avec le n°151,,,,,,,,,,14
24038,"Laurentides--Labelle/Laurentides--Labelle"," 536","Mobile poll/Bureau itinérant",2,0,31,11,2,3,57,0,6,112,136
24038,"Laurentides--Labelle/Laurentides--Labelle"," 537","Mobile poll/Bureau itinérant",0,0,8,2,0,0,22,2,0,34,57
24038,"Laurentides--Labelle/Laurentides--Labelle"," 538","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°529,,,,,,,,,,42
24038,"Laurentides--Labelle/Laurentides--Labelle"," 539","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°525,,,,,,,,,,8
24038,"Laurentides--Labelle/Laurentides--Labelle"," 600","Mont-Saint-Michel",6,10,106,24,4,8,40,1,3,202,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 601","Rivière-Rouge",19,23,472,107,10,24,201,1,13,870,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 602","Beaux-Rivages",29,20,486,110,8,20,163,3,20,859,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 603","Ferme-Neuve",23,11,334,64,8,14,125,6,9,594,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 604","Mont-Laurier",10,14,219,54,4,5,70,0,7,383,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 605","Mont-Laurier",24,15,474,100,9,10,130,1,10,773,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 606","Mont-Laurier",28,13,437,85,9,16,174,6,9,777,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 607","Mont-Laurier",23,10,446,76,9,7,94,0,6,671,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 608","Lac-du-Cerf",8,5,155,45,2,2,64,1,5,287,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 609","Notre-Dame-du-Laus",18,17,279,66,5,11,175,0,1,572,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 610","Rivière-Rouge",14,12,459,70,7,15,167,3,11,758,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 611","Labelle",26,13,413,98,6,10,175,2,27,770,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 612","Mont-Tremblant",49,30,299,128,12,10,294,1,8,831,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 613","Mont-Tremblant",25,17,439,84,16,13,247,2,15,858,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 614","Mont-Tremblant",37,27,526,127,15,6,265,1,11,1015,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 615","Saint-Faustin",23,25,417,76,13,10,172,1,14,751,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 616","Huberdeau",40,18,284,61,6,11,194,1,12,627,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 617","Sainte-Agathe-des-Monts",31,18,454,96,14,6,172,1,15,807,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 618","Sainte-Agathe-des-Monts",36,31,529,90,12,17,234,1,15,965,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 619","Sainte-Agathe-des-Monts",34,21,465,97,9,16,229,4,15,890,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 620","Val-Morin",46,14,351,71,15,20,170,3,9,699,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 621","Val-David",31,15,376,63,18,10,156,4,12,685,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 622","Val-David",29,10,320,42,9,10,109,0,7,536,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 623","Lantier",32,10,258,54,7,11,119,2,4,497,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 624","Sainte-Marguerite-du-Lac-Masson",45,26,492,99,9,17,239,0,10,937,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 625","Sainte-Adèle",37,19,376,65,9,12,193,2,12,725,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 626","Sainte-Adèle",33,15,456,84,12,22,246,0,5,873,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 627","Sainte-Adèle",36,23,376,75,15,9,206,2,2,744,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 628","Sainte-Adèle",25,20,283,57,3,9,154,1,4,556,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 629","Piedmont",16,11,208,68,9,2,162,3,7,486,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 630","Saint-Sauveur",17,22,330,89,12,19,265,2,8,764,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 631","Saint-Sauveur",37,23,331,78,13,8,200,3,11,704,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 632","Saint-Sauveur",37,10,327,101,9,13,241,1,14,753,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 633","Saint-Sauveur",26,14,510,117,9,18,329,2,16,1041,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 634","Piedmont",15,13,238,61,7,7,165,1,1,508,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 635","Sainte-Anne-des-Lacs",33,12,268,57,5,6,149,0,3,533,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 636","Sainte-Anne-des-Lacs",36,18,339,75,18,10,189,2,8,695,
24038,"Laurentides--Labelle/Laurentides--Labelle",,Group 1/Groupe 1, 53,6,128,38,12,10,134,1,17,399,131
24038,"Laurentides--Labelle/Laurentides--Labelle",,Group 2/Groupe 2, 140,46,1201,253,60,33,707,5,76,2521,
