Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric-Abel Baland,Richard Evanko,Marie-Hélène Gaudreau,Kathy Laframboise,Michel Le Comte,Michel Leclerc,Antoine Menassa,Jean-Noël Sorel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 53","L'Annonciation",4,7,49,6,2,3,25,0,3,99,417
24038,"Laurentides--Labelle/Laurentides--Labelle"," 54","L'Annonciation",1,3,30,5,1,3,7,0,1,51,192
24038,"Laurentides--Labelle/Laurentides--Labelle"," 55","L'Annonciation",1,2,41,12,4,1,15,1,6,83,434
24038,"Laurentides--Labelle/Laurentides--Labelle"," 56","Rivière-Rouge",3,10,49,9,1,3,19,0,0,94,363
24038,"Laurentides--Labelle/Laurentides--Labelle"," 57","Lac-Marsan",2,7,77,16,2,4,25,2,5,140,481
24038,"Laurentides--Labelle/Laurentides--Labelle"," 58","Mont-Laurier",10,11,129,30,3,2,35,1,5,226,602
24038,"Laurentides--Labelle/Laurentides--Labelle"," 59","Mont-Laurier",7,9,130,24,1,8,32,1,3,215,615
24038,"Laurentides--Labelle/Laurentides--Labelle"," 60","Mont-Laurier",15,3,67,16,6,2,14,1,8,132,454
24038,"Laurentides--Labelle/Laurentides--Labelle"," 61","Mont-Tremblant",21,13,55,24,10,1,55,1,2,182,553
24038,"Laurentides--Labelle/Laurentides--Labelle"," 62","Mont-Tremblant",14,14,60,25,5,5,58,1,6,188,606
24038,"Laurentides--Labelle/Laurentides--Labelle"," 63","Mont-Tremblant",8,3,72,10,9,0,23,0,1,126,389
24038,"Laurentides--Labelle/Laurentides--Labelle"," 64","Mont-Tremblant",5,8,69,12,7,3,32,0,10,146,514
24038,"Laurentides--Labelle/Laurentides--Labelle"," 65","Mont-Tremblant",20,4,101,20,8,2,37,0,4,196,503
24038,"Laurentides--Labelle/Laurentides--Labelle"," 66","Mont-Tremblant",8,7,93,12,4,4,34,0,6,168,435
24038,"Laurentides--Labelle/Laurentides--Labelle"," 67","Val-des-Lacs",2,7,57,16,5,3,28,0,4,122,304
24038,"Laurentides--Labelle/Laurentides--Labelle"," 68","Val-des-Lacs",7,7,85,16,1,2,40,1,6,165,358
24038,"Laurentides--Labelle/Laurentides--Labelle"," 69","Sainte-Lucie-des-Laurentides",6,16,68,9,4,3,40,0,1,147,319
24038,"Laurentides--Labelle/Laurentides--Labelle"," 70","Sainte-Lucie-des-Laurentides",12,15,81,15,6,7,51,2,3,192,401
24038,"Laurentides--Labelle/Laurentides--Labelle"," 71","Sainte-Lucie-des-Laurentides",11,17,104,21,2,6,60,0,8,229,467
24038,"Laurentides--Labelle/Laurentides--Labelle"," 72","Domaine-Nominingue",5,1,74,19,3,3,31,1,3,140,345
24038,"Laurentides--Labelle/Laurentides--Labelle"," 73","Nominingue",6,9,90,15,5,1,24,2,5,157,345
24038,"Laurentides--Labelle/Laurentides--Labelle"," 74","Nominingue",5,6,51,14,1,3,29,0,2,111,297
24038,"Laurentides--Labelle/Laurentides--Labelle"," 75","Nominingue",6,9,62,11,2,2,27,0,4,123,360
24038,"Laurentides--Labelle/Laurentides--Labelle"," 76","Nominingue",3,7,71,9,1,3,34,0,4,132,309
24038,"Laurentides--Labelle/Laurentides--Labelle"," 77","Lac-Ernest",5,0,83,6,2,6,33,0,3,138,297
24038,"Laurentides--Labelle/Laurentides--Labelle"," 78","Lantier",11,3,34,17,6,3,20,0,3,97,323
24038,"Laurentides--Labelle/Laurentides--Labelle"," 79","Lantier",16,3,73,21,4,2,52,1,4,176,509
