Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arjun Balasingham,Mark Johnson,Larisa Julius,Eric Muraven,Jean Yip,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 112","Toronto",3,94,35,7,187,1,327,450
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 113","Toronto",2,57,15,1,70,1,146,410
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 114","Toronto",1,53,13,7,83,0,157,414
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 115","Toronto",3,56,38,10,114,4,225,535
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 116","Toronto",Merged with No./Fusionné avec le n°117,,,,,,,356
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 117","Toronto",8,81,43,7,144,2,285,366
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 118","Toronto",7,75,38,4,173,2,299,358
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 119","Toronto",Merged with No./Fusionné avec le n°118,,,,,,,337
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 120","Toronto",0,37,19,2,109,0,167,485
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 121","Toronto",Merged with No./Fusionné avec le n°123,,,,,,,284
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 122","Toronto",5,114,45,13,199,7,383,417
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 123","Toronto",9,92,16,9,145,3,274,319
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 124","Toronto",Merged with No./Fusionné avec le n°122,,,,,,,368
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 125","Toronto",2,57,34,6,88,1,188,575
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 126","Toronto",2,47,20,6,68,2,145,438
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 127","Toronto",0,65,23,2,62,1,153,450
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 400","Toronto",9,54,28,0,106,1,198,437
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 401","Toronto",Merged with No./Fusionné avec le n°400,,,,,,,392
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 402","Toronto",2,42,10,4,104,0,162,326
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 403","Toronto",2,69,14,5,86,1,177,466
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 404","Toronto",3,54,13,3,110,2,185,472
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 405","Toronto",0,61,9,3,118,0,191,462
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 406","Toronto",Merged with No./Fusionné avec le n°408,,,,,,,345
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 407","Toronto",6,77,13,2,107,2,207,421
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 408","Toronto",9,111,15,4,181,1,321,356
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 409","Toronto",6,103,24,4,123,5,265,557
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 410","Toronto",5,50,25,2,103,3,188,356
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 411","Toronto",1,14,5,1,24,1,46,112
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 412","Toronto",Merged with No./Fusionné avec le n°435,,,,,,,362
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 413","Toronto",Merged with No./Fusionné avec le n°79,,,,,,,330
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 414","Toronto",4,86,16,6,155,4,271,467
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 415","Toronto",4,89,12,7,134,3,249,447
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 416","Toronto",5,38,16,3,124,0,186,489
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 417","Toronto",8,78,41,11,189,4,331,485
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 418","Toronto",Merged with No./Fusionné avec le n°419,,,,,,,289
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 419","Toronto",3,73,15,7,165,2,265,319
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 420","Toronto",7,72,30,12,160,4,285,384
