Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mary-Jane Bennett,Emily Clark,Raquel Dancho,Sean Howe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 1","West St. Paul",37,31,86,9,1,164,413
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 2","Blackdale",35,38,94,6,0,173,489
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 3","West St. Paul",53,45,60,14,0,172,449
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 4","Middlechurch",67,42,112,11,0,232,551
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 5","Riverdale",43,26,87,8,1,165,406
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 6","Riverdale",44,37,80,5,3,169,425
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 7","West St. Paul",45,30,90,11,0,176,384
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 8","West St. Paul",36,53,107,5,0,201,479
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 9","Rivercrest",33,36,60,13,2,144,302
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 10","Middlechurch",38,20,82,14,1,155,308
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 11","Rivercrest",60,57,102,14,0,233,582
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 12","East St. Paul",43,31,114,11,2,201,401
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 13","East St. Paul",48,31,107,16,1,203,437
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 14","East St. Paul",44,27,96,7,0,174,430
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 15","East St. Paul",35,31,103,9,2,180,376
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 16","East St. Paul",56,21,70,7,0,154,381
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 17","East St. Paul",40,26,74,8,1,149,350
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 18","East St. Paul",35,26,76,1,0,138,314
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 19","East St. Paul",32,15,66,0,0,113,312
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20","East St. Paul",43,26,109,6,1,185,427
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 21","East St. Paul",42,12,83,3,1,141,285
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 22","Winnipeg",141,68,59,7,4,279,668
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 23A","Winnipeg",28,13,11,3,0,55,223
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 23B","Winnipeg",40,11,23,1,0,75,237
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24","Winnipeg",138,83,74,18,0,313,938
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25","Winnipeg",63,54,52,10,0,179,446
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 26","Winnipeg",46,33,44,2,2,127,374
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 27","Winnipeg",39,55,55,12,2,163,523
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 28","East St. Paul",29,13,42,10,1,95,224
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 29","Birds Hill",38,37,49,11,1,136,354
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 30","East St. Paul",37,24,63,15,0,139,393
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 31","East St. Paul",50,44,95,10,1,200,442
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 32","East St. Paul",57,16,143,4,2,222,562
