Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Chartrand,Luis Henry Gonzalez Venegas,Dany Goulet,Eric Lacroix,William Legault-Lacasse,Sébastien Lemire,Joël Lirette,Bethany Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 210","Fugèreville",3,12,5,2,12,44,0,6,1,85,246
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 211","Lorrainville",3,13,3,2,25,114,2,2,0,164,344
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 212","Lorrainville",6,12,6,3,33,81,0,5,0,146,291
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 213","Lorrainville",0,9,4,5,22,73,2,2,2,119,344
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 214","Duhamel-Ouest",2,7,3,2,22,68,1,2,2,109,317
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 215","Duhamel-Ouest",4,12,3,2,32,66,1,9,2,131,407
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 216","Duhamel-Ouest",2,7,1,3,20,33,0,4,1,71,284
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 217","Ville-Marie",1,8,1,1,18,58,3,1,1,92,264
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 218","Ville-Marie",1,16,0,4,28,65,2,10,4,130,395
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 219","Ville-Marie",1,9,2,2,15,39,0,1,1,70,275
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 220","Ville-Marie",1,11,5,6,27,80,1,4,2,137,382
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 221","Duhamel-Ouest",4,16,3,1,43,86,1,8,2,164,442
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 222","Béarn",1,15,9,9,34,73,0,5,0,146,312
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 223","Béarn",1,12,2,4,25,43,1,6,2,96,246
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 224","Saint-Édouard-de-Fabre",1,17,5,7,29,50,0,5,3,117,241
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 225","Saint-Édouard-de-Fabre",1,14,3,2,24,51,0,3,0,98,273
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 226","Laniel",1,10,2,1,13,12,0,1,0,40,62
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 227","Kipawa",3,12,2,8,42,5,0,75,4,151,382
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 228","Tee Lake",1,20,0,10,35,25,0,21,1,113,287
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 229","Témiscaming",3,15,0,14,16,21,0,10,1,80,278
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 230","Témiscaming",3,13,1,9,30,8,0,18,1,83,284
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 231","Témiscaming",3,38,0,12,32,54,1,19,1,160,462
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 232","Témiscaming",2,13,0,12,13,13,0,7,1,61,246
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 233","Témiscaming",0,7,1,8,19,13,0,14,1,63,296
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 234","Témiscaming",2,12,0,10,34,18,0,17,0,93,277
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 400","La Sarre",2,30,4,3,85,44,0,2,7,177,226
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 401","Amos",4,14,5,2,73,56,1,1,1,157,200
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 402","Rouyn-Noranda",1,14,5,3,132,76,1,1,12,245,305
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 403","Rouyn-Noranda",2,9,5,2,67,50,0,0,6,141,179
