Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Chartrand,Luis Henry Gonzalez Venegas,Dany Goulet,Eric Lacroix,William Legault-Lacasse,Sébastien Lemire,Joël Lirette,Bethany Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 19","Amos",0,18,2,2,27,89,1,5,3,147,406
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 20","Amos",0,11,2,3,26,64,1,8,3,118,335
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 21","Amos",0,8,1,5,23,53,2,8,2,102,325
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 22","Amos",1,13,3,3,25,67,4,12,5,133,353
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 23","Amos",3,10,1,8,20,43,2,5,5,97,371
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 24","Amos",1,15,2,2,40,74,1,3,2,140,428
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 25","Amos",4,6,1,2,25,55,1,10,3,107,364
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 26","La Sarre",2,18,3,6,30,79,0,4,6,148,407
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 27","La Sarre",3,27,1,5,30,88,0,5,8,167,409
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 28","La Sarre",1,9,5,2,28,57,0,8,1,111,325
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 29","La Sarre",2,19,2,1,38,80,1,9,2,154,385
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 30","La Sarre",4,8,0,2,18,51,3,3,4,93,266
