Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 171","Nanaimo",90,24,52,69,16,0,251,601
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 172A","Nanaimo",63,16,46,28,4,0,157,423
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 172B","Nanaimo",46,10,43,29,6,0,134,382
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 173","Nanaimo",87,28,68,39,15,0,237,629
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 174","Nanaimo",55,19,55,23,5,0,157,503
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 175","Gabriola",29,11,16,48,8,0,112,449
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 176","Gabriola",16,3,22,62,4,0,107,419
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 177","Gabriola",17,12,15,58,4,1,107,406
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 178","Gabriola",28,11,24,75,10,1,149,482
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 179","Gabriola Island ",40,18,21,92,5,0,176,558
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 180","Gabriola",35,20,7,63,5,1,131,455
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 181","Gabriola Island 5",23,15,6,59,2,0,105,413
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 182","Gabriola",27,13,10,61,7,0,118,485
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 183","Gabriola",45,16,18,60,9,1,149,421
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 184","Nanaimo River",64,22,46,33,14,0,179,501
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 185","Nanaimo",50,15,53,29,18,1,166,423
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 186","Cedar",39,17,54,32,10,1,153,477
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 187","South Wellington",42,14,36,33,9,0,134,436
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 188","Cedar",25,16,32,33,7,1,114,344
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 189","Cedar",41,12,53,33,4,1,144,449
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 190","Cedar",44,12,32,27,7,0,122,361
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 191","Cedar",45,14,53,22,1,1,136,394
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 192","Cedar Land District",36,10,45,36,7,0,134,366
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 193","Boat Harbour",26,19,38,32,1,0,116,361
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 194","Cassidy",36,13,39,33,7,0,128,398
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 195","Cedar Land District",36,14,46,38,5,0,139,436
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 196","Boat Harbour",25,7,42,34,3,1,112,387
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 197","Cassidy",34,8,35,27,6,1,111,297
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 198","Ladysmith",77,24,65,49,11,1,227,644
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 199","Ladysmith",41,17,41,40,9,0,148,494
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 200","Ladysmith",83,24,62,58,8,1,236,590
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 201","Ladysmith",77,36,70,39,3,0,225,626
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 202","Ladysmith",60,25,45,40,9,0,179,416
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 203","Ladysmith",58,18,49,30,5,0,160,554
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 204","Ladysmith",62,27,42,44,7,1,183,514
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 205","Ladysmith",60,18,31,48,7,0,164,445
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 206","Cassidy",28,11,32,25,4,1,101,330
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 207","Cassidy",22,8,18,13,9,0,70,303
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 208","Cassidy",33,13,35,15,7,0,103,334
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 209","Ladysmith",40,18,44,31,19,0,152,429
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 210","Ladysmith",29,9,28,29,8,0,103,319
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 211","Ladysmith",44,19,31,35,8,2,139,398
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 212","Ladysmith",22,7,28,27,8,0,92,268
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 213","Chemainus 13",76,3,3,2,8,1,93,404
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 214","Chemainus 13",64,17,30,20,4,1,136,414
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 215","Ladysmith",62,22,45,27,7,0,163,394
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 216","Ladysmith",88,24,49,57,9,1,228,509
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 217","Ladysmith",78,23,48,50,5,0,204,496
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 218","Ladysmith",46,34,49,39,11,0,179,477
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 219","Ladysmith",65,20,52,44,6,1,188,466
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 220","Ladysmith",60,35,62,39,8,1,205,561
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 221","Ladysmith",41,27,58,35,9,0,170,557
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 222","Saltair",28,9,24,16,3,1,81,435
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 223","Saltair",31,23,44,31,8,0,137,467
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 224","Saltair",34,31,38,42,9,0,154,522
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 225","Saltair",40,23,59,50,2,0,174,520
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 500","Mobile poll/Bureau itinérant",24,25,32,13,2,0,96,122
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 501","Mobile poll/Bureau itinérant",19,10,12,5,0,1,47,55
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 502","Mobile poll/Bureau itinérant",5,16,7,5,0,0,33,56
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 503","Mobile poll/Bureau itinérant",1,3,3,4,0,0,11,11
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 504","Mobile poll/Bureau itinérant",22,37,43,20,2,1,125,160
