Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Des Bissonnette,Kira Brunner,Ann McCormack,Fred Sirett,Shannon Stubbs,John Turvey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 511","Mobile poll/Bureau itinérant",2,1,0,0,6,3,1,13,5
48025,"Lakeland/Lakeland"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°68,,,,,,,,33
48025,"Lakeland/Lakeland"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°68,,,,,,,,12
48025,"Lakeland/Lakeland"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,,5
48025,"Lakeland/Lakeland"," 515","Mobile poll/Bureau itinérant",1,0,0,0,8,2,0,11,2
48025,"Lakeland/Lakeland"," 516","Mobile poll/Bureau itinérant",0,0,1,0,3,2,1,7,5
48025,"Lakeland/Lakeland"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,30
48025,"Lakeland/Lakeland"," 518","Mobile poll/Bureau itinérant",3,0,2,1,12,3,2,23,23
48025,"Lakeland/Lakeland"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,25
48025,"Lakeland/Lakeland"," 520","Mobile poll/Bureau itinérant",6,1,4,0,45,10,1,67,101
48025,"Lakeland/Lakeland"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°105,,,,,,,,12
48025,"Lakeland/Lakeland"," 522","Mobile poll/Bureau itinérant",0,2,1,0,16,3,1,23,28
48025,"Lakeland/Lakeland"," 523","Mobile poll/Bureau itinérant",1,0,2,1,6,4,0,14,1
48025,"Lakeland/Lakeland"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°105,,,,,,,,10
48025,"Lakeland/Lakeland"," 525","Mobile poll/Bureau itinérant",10,0,3,2,41,6,0,62,58
48025,"Lakeland/Lakeland"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°78A,,,,,,,,18
48025,"Lakeland/Lakeland"," 527","Mobile poll/Bureau itinérant",1,0,1,0,6,1,0,9,2
48025,"Lakeland/Lakeland"," 528","Mobile poll/Bureau itinérant",0,1,3,0,7,2,1,14,17
48025,"Lakeland/Lakeland"," 529","Mobile poll/Bureau itinérant",Results combined with no. 96/Résultats combinés au n° 96,,,,,,,,7
48025,"Lakeland/Lakeland"," 530","Mobile poll/Bureau itinérant",Results combined with no. 101/Résultats combinés au n° 101,,,,,,,,10
48025,"Lakeland/Lakeland"," 531","Mobile poll/Bureau itinérant",1,0,1,1,9,4,2,18,15
48025,"Lakeland/Lakeland"," 532","Mobile poll/Bureau itinérant",3,0,3,0,23,3,1,33,40
48025,"Lakeland/Lakeland"," 533","Mobile poll/Bureau itinérant",6,0,2,0,27,4,0,39,48
48025,"Lakeland/Lakeland"," 534","Mobile poll/Bureau itinérant",2,3,0,0,22,6,1,34,10
48025,"Lakeland/Lakeland"," 535","Mobile poll/Bureau itinérant",0,1,0,0,7,0,0,8,12
48025,"Lakeland/Lakeland"," 536","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
48025,"Lakeland/Lakeland"," 537","Mobile poll/Bureau itinérant",Results combined with no. 143/Résultats combinés au n° 143,,,,,,,,1
48025,"Lakeland/Lakeland"," 538","Mobile poll/Bureau itinérant",1,0,1,0,6,2,0,10,6
48025,"Lakeland/Lakeland"," 539","Mobile poll/Bureau itinérant",0,0,1,2,45,3,1,52,14
48025,"Lakeland/Lakeland"," 540","Mobile poll/Bureau itinérant",1,1,1,1,7,2,0,13,6
48025,"Lakeland/Lakeland"," 541","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,121
48025,"Lakeland/Lakeland"," 542","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°176,,,,,,,,25
48025,"Lakeland/Lakeland"," 543","Lloydminster (Part)",Merged with No./Fusionné avec le n°176,,,,,,,,54
48025,"Lakeland/Lakeland"," 544","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°181,,,,,,,,59
48025,"Lakeland/Lakeland"," 545","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°173,,,,,,,,54
48025,"Lakeland/Lakeland"," 546","Mobile poll/Bureau itinérant",3,0,1,1,9,3,2,19,11
48025,"Lakeland/Lakeland"," 547","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°184,,,,,,,,21
48025,"Lakeland/Lakeland"," 548","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°21,,,,,,,,0
48025,"Lakeland/Lakeland"," 549","Mobile poll/Bureau itinérant",Results combined with no. 8/Résultats combinés au n° 8,,,,,,,,8
48025,"Lakeland/Lakeland"," 550","Mobile poll/Bureau itinérant",1,0,0,0,9,3,3,16,4
