Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aidan Blum,Tariq Elnaga,David Gamble,Caroline O'Driscoll,Blake Richards,Derek Sloan,Ron Voss,Nadine Wellwood,Sarah Zagoda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 1","Lake Louise",9,0,48,1,36,0,0,10,66,2,172,368
48001,"Banff--Airdrie/Banff--Airdrie"," 2","Lake Louise",4,0,29,1,37,0,0,5,70,0,146,288
48001,"Banff--Airdrie/Banff--Airdrie"," 3","Ghost Lake--Waiparous",4,15,22,8,186,2,1,21,51,1,311,619
48001,"Banff--Airdrie/Banff--Airdrie"," 4","Rocky View County",5,10,16,8,181,9,0,35,26,1,291,531
48001,"Banff--Airdrie/Banff--Airdrie"," 5","Bottrel",0,6,9,22,163,1,0,21,7,0,229,397
48001,"Banff--Airdrie/Banff--Airdrie"," 6","Rocky View County",2,6,10,4,137,10,0,8,14,0,191,386
48001,"Banff--Airdrie/Banff--Airdrie"," 7","Banff",9,1,32,1,31,2,0,7,53,0,136,480
48001,"Banff--Airdrie/Banff--Airdrie"," 8","Banff",7,0,38,1,36,1,1,6,82,0,172,598
48001,"Banff--Airdrie/Banff--Airdrie"," 9","Banff",4,0,28,0,25,2,0,7,44,0,110,341
48001,"Banff--Airdrie/Banff--Airdrie"," 10A","Banff",4,0,24,0,20,3,0,1,23,0,75,304
48001,"Banff--Airdrie/Banff--Airdrie"," 10B","Banff",5,0,23,0,24,1,0,4,37,1,95,345
48001,"Banff--Airdrie/Banff--Airdrie"," 11","Banff",13,1,43,0,30,0,0,11,63,1,162,509
48001,"Banff--Airdrie/Banff--Airdrie"," 12","Banff",4,1,27,1,28,0,0,2,35,0,98,264
48001,"Banff--Airdrie/Banff--Airdrie"," 13","Banff",9,0,39,1,37,1,0,14,62,2,165,447
48001,"Banff--Airdrie/Banff--Airdrie"," 14","Banff",10,0,48,0,41,1,0,5,56,0,161,460
48001,"Banff--Airdrie/Banff--Airdrie"," 15","Banff",15,0,41,1,24,1,0,7,51,0,140,357
48001,"Banff--Airdrie/Banff--Airdrie"," 16","Banff",4,1,45,0,55,0,0,4,39,1,149,402
48001,"Banff--Airdrie/Banff--Airdrie"," 17","Banff",8,0,50,1,39,0,0,5,48,0,151,398
