Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sophie Chatel,Gabrielle Desjardins,Michel Gauthier,Denise Giroux,David Bruce Gottfred,Geneviève Labonté-Chartrand,Shaughn McArthur,James McNair,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 199","Luskville",90,36,33,21,9,0,1,0,0,190,383
24057,"Pontiac/Pontiac"," 200","Clarendon",32,7,119,21,26,0,7,3,0,215,327
24057,"Pontiac/Pontiac"," 201","Clarendon",31,1,59,17,20,0,4,0,0,132,385
24057,"Pontiac/Pontiac"," 202","Clarendon",36,3,78,19,4,0,3,0,1,144,385
24057,"Pontiac/Pontiac"," 203","Shawville",57,6,87,33,30,0,4,0,0,217,317
24057,"Pontiac/Pontiac"," 204","Clarendon",Merged with No./Fusionné avec le n°200,,,,,,,,,,264
24057,"Pontiac/Pontiac"," 205","Clarendon",18,4,68,16,25,3,2,0,0,136,336
24057,"Pontiac/Pontiac"," 206","Clarendon Front",Merged with No./Fusionné avec le n°203,,,,,,,,,,297
24057,"Pontiac/Pontiac"," 207","Chelsea",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 208","Chelsea",153,48,61,25,11,3,6,0,1,308,465
24057,"Pontiac/Pontiac"," 209","Gatineau",106,26,45,27,3,2,9,0,2,220,486
24057,"Pontiac/Pontiac"," 210","Gatineau",95,49,25,38,8,1,12,0,2,230,560
24057,"Pontiac/Pontiac"," 211","Gatineau",88,32,33,44,11,2,6,0,2,218,425
24057,"Pontiac/Pontiac"," 212","Gatineau",104,21,36,37,9,1,7,0,2,217,529
24057,"Pontiac/Pontiac"," 213","Gatineau",120,30,29,31,14,3,11,0,1,239,550
24057,"Pontiac/Pontiac"," 214","Gatineau",96,15,31,20,3,0,5,0,0,170,414
24057,"Pontiac/Pontiac"," 215","Gatineau",103,12,10,28,1,1,4,0,0,159,404
24057,"Pontiac/Pontiac"," 216","Gatineau",68,24,18,41,3,1,4,0,0,159,397
24057,"Pontiac/Pontiac"," 217A","Gatineau",74,11,21,12,11,0,7,0,0,136,371
24057,"Pontiac/Pontiac"," 217B","Gatineau",92,17,31,20,5,2,1,0,1,169,385
24057,"Pontiac/Pontiac"," 218","Gatineau",118,42,40,34,6,3,2,0,3,248,560
24057,"Pontiac/Pontiac"," 219","Bristol",66,9,119,26,23,1,3,1,0,248,260
24057,"Pontiac/Pontiac"," 220","Bristol",30,7,102,18,11,1,2,0,1,172,299
24057,"Pontiac/Pontiac"," 221","Bristol",Merged with No./Fusionné avec le n°219,,,,,,,,,,250
24057,"Pontiac/Pontiac"," 222","Portage-du-Fort",31,1,43,21,16,1,2,0,1,116,184
24057,"Pontiac/Pontiac"," 223","Gatineau",150,31,17,32,13,1,7,0,0,251,626
24057,"Pontiac/Pontiac"," 224","Gatineau",100,28,12,8,2,1,0,0,2,153,298
24057,"Pontiac/Pontiac"," 225","Gatineau",86,35,25,22,5,0,4,0,0,177,474
24057,"Pontiac/Pontiac"," 226","Gatineau",85,32,24,29,4,2,2,0,2,180,466
24057,"Pontiac/Pontiac"," 227A","Gatineau",126,29,33,33,7,1,10,0,0,239,534
24057,"Pontiac/Pontiac"," 227B","Gatineau",117,20,26,49,6,0,2,0,0,220,538
24057,"Pontiac/Pontiac"," 227C","Gatineau",103,39,29,47,11,3,2,0,3,237,521
24057,"Pontiac/Pontiac"," 227D","Gatineau",139,22,27,19,7,1,5,1,1,222,527
24057,"Pontiac/Pontiac"," 227E","Gatineau",126,26,29,35,6,0,2,0,1,225,531
24057,"Pontiac/Pontiac"," 227F","Gatineau",115,19,35,34,7,1,8,0,0,219,541
24057,"Pontiac/Pontiac"," 228","Gatineau",129,14,29,38,20,3,7,0,10,250,654
24057,"Pontiac/Pontiac"," 229A","Gatineau",70,12,25,23,6,1,1,0,1,139,348
24057,"Pontiac/Pontiac"," 229B","Gatineau",82,11,29,24,3,2,4,0,1,156,434
24057,"Pontiac/Pontiac"," 230","Gatineau",94,28,34,13,6,1,6,0,0,182,520
24057,"Pontiac/Pontiac"," 231","Gatineau",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 232","Gatineau",87,22,16,22,1,1,5,0,1,155,402
24057,"Pontiac/Pontiac"," 233","Gatineau",133,27,30,28,7,5,8,1,1,240,593
24057,"Pontiac/Pontiac"," 234","Gatineau",99,22,26,28,17,0,3,0,0,195,448
24057,"Pontiac/Pontiac"," 235","Gatineau",161,24,38,22,12,1,3,0,4,265,547
24057,"Pontiac/Pontiac"," 236","Gatineau",116,29,29,20,6,1,5,0,0,206,392
24057,"Pontiac/Pontiac"," 237","Gatineau",159,35,47,45,14,2,3,1,4,310,588
24057,"Pontiac/Pontiac"," 238A","Gatineau",76,20,26,36,3,3,8,0,0,172,373
24057,"Pontiac/Pontiac"," 238B","Gatineau",86,7,23,29,4,0,5,0,0,154,349
24057,"Pontiac/Pontiac"," 239","Gatineau",125,37,14,43,10,3,2,0,1,235,545
24057,"Pontiac/Pontiac"," 240","Gatineau",139,47,21,22,14,1,7,0,0,251,481
24057,"Pontiac/Pontiac"," 241","Gatineau",90,21,28,30,6,0,3,0,3,181,471
24057,"Pontiac/Pontiac"," 242","Gatineau",104,25,27,30,7,1,3,0,1,198,504
24057,"Pontiac/Pontiac"," 243","Gatineau",90,22,40,25,15,6,2,0,0,200,413
24057,"Pontiac/Pontiac"," 244","Gatineau",97,28,30,36,10,1,2,0,0,204,443
24057,"Pontiac/Pontiac"," 245A","Gatineau",101,19,35,20,5,2,6,0,1,189,428
24057,"Pontiac/Pontiac"," 245B","Gatineau",112,22,15,17,8,0,6,0,0,180,409
24057,"Pontiac/Pontiac"," 246","Gatineau",127,35,27,22,3,3,4,0,1,222,426
24057,"Pontiac/Pontiac"," 247","Gatineau",110,31,24,35,4,0,7,0,3,214,524
24057,"Pontiac/Pontiac"," 248","Gatineau",100,31,27,27,2,1,5,0,2,195,386
24057,"Pontiac/Pontiac"," 249","Gatineau",78,27,20,32,9,0,3,0,3,172,376
