Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cormier,Richer Doiron,Mélissa Hébert,Rachel Johns,Kenneth Edward Langford,Jean-Paul Lanteigne,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 1","Miscou Plains",50,1,9,3,5,25,2,95,270
13001,"Acadie--Bathurst/Acadie--Bathurst"," 2","Miscou Centre",38,2,14,3,10,20,1,88,202
13001,"Acadie--Bathurst/Acadie--Bathurst"," 3","Pigeon Hill",125,5,10,0,6,20,4,170,354
13001,"Acadie--Bathurst/Acadie--Bathurst"," 4","Coteau Road",99,0,7,1,14,18,4,143,397
13001,"Acadie--Bathurst/Acadie--Bathurst"," 5","Petite-Rivière-de-l'Ile",81,2,7,0,10,9,0,109,260
13001,"Acadie--Bathurst/Acadie--Bathurst"," 6","Petite-Rivière-de-l'Ile",108,5,14,1,12,14,6,160,360
13001,"Acadie--Bathurst/Acadie--Bathurst"," 7","Sainte-Cécile",66,2,16,3,14,10,2,113,279
13001,"Acadie--Bathurst/Acadie--Bathurst"," 8","Petite-Lamèque",35,1,7,1,8,16,3,71,274
13001,"Acadie--Bathurst/Acadie--Bathurst"," 9","Cap-Bateau",89,3,9,1,4,8,0,114,326
13001,"Acadie--Bathurst/Acadie--Bathurst"," 10","Sainte-Marie-sur-Mer",112,1,13,6,8,18,0,158,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 11","Sainte-Marie-Saint-Raphaël",67,0,6,1,7,11,0,92,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 12","Lamèque",78,5,14,5,6,16,3,127,423
13001,"Acadie--Bathurst/Acadie--Bathurst"," 13","Lamèque",64,4,19,0,7,27,1,122,358
13001,"Acadie--Bathurst/Acadie--Bathurst"," 14","Pointe-Alexandre",60,0,8,1,9,9,3,90,276
13001,"Acadie--Bathurst/Acadie--Bathurst"," 15","Lamèque",48,1,7,0,3,12,2,73,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 16","Haut-Lamèque",52,0,12,1,6,7,1,79,247
13001,"Acadie--Bathurst/Acadie--Bathurst"," 17","Pokesudie",66,2,11,3,8,12,2,104,301
13001,"Acadie--Bathurst/Acadie--Bathurst"," 18","Bas-Caraquet",60,2,10,3,4,16,1,96,358
13001,"Acadie--Bathurst/Acadie--Bathurst"," 19","Bas-Caraquet",76,0,6,4,7,12,1,106,375
13001,"Acadie--Bathurst/Acadie--Bathurst"," 20","Bas-Caraquet",67,9,9,1,9,15,3,113,320
13001,"Acadie--Bathurst/Acadie--Bathurst"," 21","Chiasson",74,2,5,3,11,9,4,108,393
13001,"Acadie--Bathurst/Acadie--Bathurst"," 22","Pointe-Brûlé",70,1,15,2,4,8,1,101,331
13001,"Acadie--Bathurst/Acadie--Bathurst"," 23","Shippagan",33,1,9,1,9,6,1,60,241
13001,"Acadie--Bathurst/Acadie--Bathurst"," 24","Shippagan",50,0,11,2,16,10,1,90,318
13001,"Acadie--Bathurst/Acadie--Bathurst"," 25","Shippagan",85,0,9,4,2,19,0,119,399
13001,"Acadie--Bathurst/Acadie--Bathurst"," 26","Shippagan",73,2,11,1,12,6,1,106,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 27","Haut-Shippegan",62,0,13,2,7,11,2,97,371
13001,"Acadie--Bathurst/Acadie--Bathurst"," 28","Shippagan",60,1,15,1,4,14,5,100,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 29","Caraquet",60,0,2,2,5,9,1,79,243
13001,"Acadie--Bathurst/Acadie--Bathurst"," 30","Caraquet",73,0,11,1,8,11,0,104,389
13001,"Acadie--Bathurst/Acadie--Bathurst"," 31","Caraquet",92,2,11,0,8,12,0,125,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 32","Caraquet",70,3,10,1,12,12,2,110,391
13001,"Acadie--Bathurst/Acadie--Bathurst"," 33","Caraquet",109,1,11,6,7,8,0,142,413
13001,"Acadie--Bathurst/Acadie--Bathurst"," 34","Maisonnette",85,1,8,5,10,9,1,119,243
13001,"Acadie--Bathurst/Acadie--Bathurst"," 35","Maisonnette",68,0,6,0,7,7,0,88,214
13001,"Acadie--Bathurst/Acadie--Bathurst"," 36","Le Goulet",120,2,13,3,8,20,2,168,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 37","Shippagan--Pointe-Sauvage",55,0,10,1,3,4,2,75,275
13001,"Acadie--Bathurst/Acadie--Bathurst"," 38","Le Goulet",105,2,11,1,5,12,1,137,324
13001,"Acadie--Bathurst/Acadie--Bathurst"," 39","Anse-Bleue",54,2,5,3,7,10,0,81,212
13001,"Acadie--Bathurst/Acadie--Bathurst"," 40","Dugas--Anse-Bleu",41,0,13,3,4,5,1,67,209
13001,"Acadie--Bathurst/Acadie--Bathurst"," 41","Grande-Anse",64,3,7,4,10,14,1,103,368
13001,"Acadie--Bathurst/Acadie--Bathurst"," 42","Grande-Anse",55,2,7,4,4,8,0,80,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 43","Centre-Saint-Simon",107,3,7,2,4,12,1,136,317
13001,"Acadie--Bathurst/Acadie--Bathurst"," 44","Haut-Saint-Simon",95,0,8,3,4,11,3,124,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 45","Caraquet",108,3,11,2,13,16,1,154,480
13001,"Acadie--Bathurst/Acadie--Bathurst"," 46","Pointe-Rocheuse",91,2,12,2,6,10,2,125,454
13001,"Acadie--Bathurst/Acadie--Bathurst"," 47","Caraquet",43,0,5,2,4,5,2,61,249
13001,"Acadie--Bathurst/Acadie--Bathurst"," 48","Sainte-Anne-du-Bocage",45,2,13,5,8,13,1,87,327
13001,"Acadie--Bathurst/Acadie--Bathurst"," 49","Caraquet",44,0,3,2,3,8,1,61,273
13001,"Acadie--Bathurst/Acadie--Bathurst"," 50","Evangeline",106,0,14,0,16,19,5,160,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 51","Blanchard Settlement",141,2,6,4,14,27,0,194,363
13001,"Acadie--Bathurst/Acadie--Bathurst"," 52","Pointe-Verte",36,1,9,2,4,7,2,61,220
13001,"Acadie--Bathurst/Acadie--Bathurst"," 53","Pointe-Verte",64,1,10,8,9,12,0,104,271
13001,"Acadie--Bathurst/Acadie--Bathurst"," 54","Pointe-Verte",45,3,8,2,4,1,0,63,248
13001,"Acadie--Bathurst/Acadie--Bathurst"," 55","Bertrand",112,2,14,8,14,10,2,162,312
13001,"Acadie--Bathurst/Acadie--Bathurst"," 56","Bertrand",153,5,24,5,18,17,3,225,411
13001,"Acadie--Bathurst/Acadie--Bathurst"," 57","Bertrand",84,5,11,8,13,20,4,145,291
13001,"Acadie--Bathurst/Acadie--Bathurst"," 58","Saint-Léolin",106,3,7,1,11,4,0,132,279
13001,"Acadie--Bathurst/Acadie--Bathurst"," 59","Saint-Léolin",108,0,15,7,7,6,5,148,286
13001,"Acadie--Bathurst/Acadie--Bathurst"," 60","Upper Pokemouche",121,3,15,1,9,14,3,166,392
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61","Landry",104,2,14,4,5,20,5,154,336
13001,"Acadie--Bathurst/Acadie--Bathurst"," 62","Inkerman",41,2,8,2,7,17,0,77,322
13001,"Acadie--Bathurst/Acadie--Bathurst"," 63","Four Roads",48,5,14,0,11,24,1,103,360
13001,"Acadie--Bathurst/Acadie--Bathurst"," 64","Six Roads",115,5,16,9,15,12,0,172,470
13001,"Acadie--Bathurst/Acadie--Bathurst"," 65","Maltampec",88,2,20,3,5,6,2,126,293
13001,"Acadie--Bathurst/Acadie--Bathurst"," 66","Petit-Paquetville",89,1,12,4,8,9,0,123,345
13001,"Acadie--Bathurst/Acadie--Bathurst"," 67","Burnsville",76,4,17,8,12,18,3,138,396
13001,"Acadie--Bathurst/Acadie--Bathurst"," 68","Rang-Saint-Georges",73,3,19,4,11,5,3,118,325
13001,"Acadie--Bathurst/Acadie--Bathurst"," 69","Paquetville",65,1,12,3,6,8,5,100,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 70","Paquetville",81,2,21,5,6,20,2,137,416
13001,"Acadie--Bathurst/Acadie--Bathurst"," 71","Pokeshaw",32,2,13,5,6,40,5,103,206
13001,"Acadie--Bathurst/Acadie--Bathurst"," 72","Sainte-Rose",56,6,8,4,16,16,0,106,297
13001,"Acadie--Bathurst/Acadie--Bathurst"," 73","Sainte-Rose",69,2,8,4,19,17,7,126,295
13001,"Acadie--Bathurst/Acadie--Bathurst"," 74","Gaspereau",112,3,11,5,22,15,3,171,433
13001,"Acadie--Bathurst/Acadie--Bathurst"," 75","Losier Settlement",128,5,39,4,24,23,0,223,515
13001,"Acadie--Bathurst/Acadie--Bathurst"," 76","Pont-Landry",78,2,12,6,6,12,0,116,258
13001,"Acadie--Bathurst/Acadie--Bathurst"," 77","Belledune",51,0,34,1,13,28,0,127,307
13001,"Acadie--Bathurst/Acadie--Bathurst"," 78","Belledune",25,1,11,1,3,20,0,61,256
13001,"Acadie--Bathurst/Acadie--Bathurst"," 79","Notre-Dame-des-Érables",114,8,32,10,17,17,6,204,405
13001,"Acadie--Bathurst/Acadie--Bathurst"," 80","Tracadie",77,3,13,11,9,5,3,121,395
13001,"Acadie--Bathurst/Acadie--Bathurst"," 81","Tracadie",73,1,13,1,4,14,1,107,376
13001,"Acadie--Bathurst/Acadie--Bathurst"," 82","Gauvreau",79,2,16,1,10,17,0,125,386
13001,"Acadie--Bathurst/Acadie--Bathurst"," 83","Tracadie",103,2,7,5,9,12,1,139,410
13001,"Acadie--Bathurst/Acadie--Bathurst"," 84","Tracadie",71,5,18,3,9,19,0,125,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 85","Rivière-à-la-Truite",92,2,12,6,12,12,2,138,400
13001,"Acadie--Bathurst/Acadie--Bathurst"," 86","Madran",98,3,23,8,11,10,0,153,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 87","Tracadie",36,0,12,0,3,23,0,74,279
13001,"Acadie--Bathurst/Acadie--Bathurst"," 88","Tracadie",57,0,17,1,5,12,0,92,377
13001,"Acadie--Bathurst/Acadie--Bathurst"," 89","Tracadie",63,1,9,10,11,9,1,104,380
13001,"Acadie--Bathurst/Acadie--Bathurst"," 90","Tracadie",73,2,5,5,7,18,2,112,407
13001,"Acadie--Bathurst/Acadie--Bathurst"," 91","Petit-Rocher",29,0,22,3,3,3,1,61,286
13001,"Acadie--Bathurst/Acadie--Bathurst"," 92","Petit-Rocher-Sud",51,2,15,3,14,10,0,95,345
13001,"Acadie--Bathurst/Acadie--Bathurst"," 93","Tremblay",42,1,13,5,9,6,1,77,287
13001,"Acadie--Bathurst/Acadie--Bathurst"," 94","Val-Doucet",45,4,6,1,6,10,0,72,277
13001,"Acadie--Bathurst/Acadie--Bathurst"," 95","Val-Doucet",66,6,15,4,7,17,1,116,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 96","Nigadoo",96,1,16,7,17,22,3,162,438
13001,"Acadie--Bathurst/Acadie--Bathurst"," 97","Nigadoo",108,1,15,3,13,11,6,157,404
13001,"Acadie--Bathurst/Acadie--Bathurst"," 98","Duguayville",34,1,10,1,6,3,0,55,289
13001,"Acadie--Bathurst/Acadie--Bathurst"," 99","Hacheyville",65,0,11,1,4,10,4,95,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 100","Saint-Isidore",63,2,10,3,9,14,1,102,303
13001,"Acadie--Bathurst/Acadie--Bathurst"," 101","Hacheyville",60,4,19,3,14,19,3,122,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 102","Tilley Road",64,2,10,2,10,9,0,97,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 103","Tilley Road--Bois-Gagnon",58,7,13,4,10,13,2,107,337
13001,"Acadie--Bathurst/Acadie--Bathurst"," 104","Saumarez",78,7,12,0,11,17,0,125,377
13001,"Acadie--Bathurst/Acadie--Bathurst"," 105","Saumarez",121,1,22,4,13,19,2,182,391
13001,"Acadie--Bathurst/Acadie--Bathurst"," 106","Petit-Rocher-Nord",55,1,7,1,8,10,0,82,351
13001,"Acadie--Bathurst/Acadie--Bathurst"," 107","Petit-Rocher",54,2,8,0,3,7,2,76,315
13001,"Acadie--Bathurst/Acadie--Bathurst"," 108","Petit-Rocher",55,0,16,6,5,14,0,96,307
13001,"Acadie--Bathurst/Acadie--Bathurst"," 109","Petit-Rocher",63,1,16,4,7,11,0,102,374
13001,"Acadie--Bathurst/Acadie--Bathurst"," 110","Petit-Rocher",36,0,16,2,5,5,0,64,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 111","Petit-Rocher",57,1,24,11,11,7,1,112,394
13001,"Acadie--Bathurst/Acadie--Bathurst"," 112","Laplante",51,2,8,5,13,1,0,80,269
13001,"Acadie--Bathurst/Acadie--Bathurst"," 113","Alcida",37,0,15,1,9,10,0,72,265
13001,"Acadie--Bathurst/Acadie--Bathurst"," 114","Tracadie",124,3,24,5,20,20,1,197,431
13001,"Acadie--Bathurst/Acadie--Bathurst"," 115","Tracadie",77,3,17,4,11,11,2,125,393
13001,"Acadie--Bathurst/Acadie--Bathurst"," 116","Tracadie",105,1,11,2,8,26,4,157,481
13001,"Acadie--Bathurst/Acadie--Bathurst"," 117","Salmon Beach",36,1,21,1,10,41,0,110,293
13001,"Acadie--Bathurst/Acadie--Bathurst"," 118","Janeville",30,2,18,3,9,44,1,107,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 119","Beresford",53,1,19,5,11,9,0,98,407
13001,"Acadie--Bathurst/Acadie--Bathurst"," 120","Beresford",45,1,16,3,6,12,0,83,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 121","Beresford",61,2,25,4,3,14,1,110,414
13001,"Acadie--Bathurst/Acadie--Bathurst"," 122","Beresford",66,2,16,6,16,18,0,124,404
13001,"Acadie--Bathurst/Acadie--Bathurst"," 123","Beresford",50,0,20,5,11,14,0,100,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 124","Beresford",48,1,20,2,16,14,0,101,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 125","Beresford",60,1,15,2,10,4,2,94,336
