Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suresh Arangath,Elaine Baetz,Melissa Baumgaertner,Valerie Bradford,Tyler Calver,Stephen Davis,C.A. Morrison,Gabe Rose,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 46","Cambridge",26,0,11,69,54,0,0,8,1,169,398
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 47","Cambridge",30,0,7,64,62,0,0,5,2,170,469
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 48","Cambridge",34,0,13,55,41,1,1,7,0,152,482
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 49","Cambridge",46,0,12,68,48,0,1,6,0,181,377
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 50","Cambridge",31,0,6,64,71,0,0,4,1,177,475
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 51","Cambridge",47,0,22,70,102,0,0,12,2,255,549
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 52","Kitchener",30,0,9,69,85,0,0,5,1,199,411
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 53","Kitchener",29,0,10,99,74,0,4,11,0,227,386
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 54","Kitchener",26,0,2,81,70,0,1,3,2,185,318
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 55","Kitchener",28,0,8,60,74,0,0,8,0,178,333
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 56","Kitchener",37,0,9,37,33,0,2,2,0,120,398
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 57","Kitchener",31,0,16,32,25,1,0,8,3,116,428
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 58","Kitchener",19,0,9,39,44,0,0,11,0,122,355
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 59","Kitchener",17,0,6,41,40,0,0,6,0,110,621
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 60","Kitchener",Merged with No./Fusionné avec le n°61,,,,,,,,,,341
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 61","Kitchener",55,0,24,59,66,0,1,18,0,223,348
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 62","Kitchener",Merged with No./Fusionné avec le n°72,,,,,,,,,,340
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 63","Kitchener",27,0,13,46,36,0,1,4,1,128,378
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 64","Kitchener",33,0,13,50,31,1,0,3,4,135,443
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 65","Kitchener",32,1,16,55,26,0,0,6,3,139,468
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 66","Kitchener",22,0,8,38,23,0,0,2,0,93,387
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 67","Kitchener",17,0,18,35,45,0,0,8,1,124,447
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 68","Kitchener",27,0,4,38,26,0,1,6,1,103,375
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 69","Kitchener",35,0,16,32,54,0,0,14,1,152,545
