Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sani Diallo,Charles Fiset,David-Roger Gagnon,Joël Godin,Christian Hébert,Nash Mathieu,Tommy Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 1","Stoneham-et-Tewkesbury",34,6,19,50,45,6,1,1,162,431
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 2","Stoneham-et-Tewkesbury",20,11,13,68,36,3,0,2,153,386
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3","Stoneham-et-Tewkesbury",18,0,13,68,32,15,1,0,147,368
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 4","Stoneham-et-Tewkesbury",26,4,18,93,38,3,2,3,187,450
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 5","Stoneham-et-Tewkesbury",19,0,9,52,32,4,0,3,119,297
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6","Stoneham-et-Tewkesbury",26,5,22,112,40,7,2,4,218,473
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 7","Stoneham-et-Tewkesbury",16,1,9,44,40,4,1,4,119,287
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 8","Stoneham-et-Tewkesbury",31,1,16,102,47,7,1,0,205,444
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 9","Stoneham-et-Tewkesbury",16,2,5,103,48,4,2,4,184,379
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 10","Stoneham-et-Tewkesbury",44,4,19,99,75,11,3,3,258,575
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 11","Stoneham-et-Tewkesbury",19,1,9,60,29,4,3,1,126,398
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12","Stoneham-et-Tewkesbury",24,3,17,75,33,9,1,0,162,432
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13A","Stoneham-et-Tewkesbury",Merged with No./Fusionné avec le n°14,,,,,,,,,155
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13B","Stoneham-et-Tewkesbury",38,1,15,92,48,5,2,8,209,544
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 14","Stoneham-et-Tewkesbury",43,1,18,105,73,9,5,6,260,383
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 15","Sainte-Brigitte-de-Laval",27,3,13,50,33,12,0,2,140,380
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16","Sainte-Brigitte-de-Laval",21,5,14,85,33,12,0,2,172,450
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17","Sainte-Brigitte-de-Laval",28,7,6,81,7,0,71,2,202,525
