Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maureen Curran,Martin Kendell,Likky Lavji,Brea Huang Sami,Jagmeet Singh,Marcella Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 1","Burnaby",4,0,20,69,61,5,4,163,507
59003,"Burnaby South/Burnaby-Sud"," 2","Burnaby",7,0,26,47,39,5,0,124,462
59003,"Burnaby South/Burnaby-Sud"," 3","Burnaby",2,2,21,71,54,3,0,153,487
59003,"Burnaby South/Burnaby-Sud"," 4","Burnaby",3,1,22,60,81,3,2,172,469
59003,"Burnaby South/Burnaby-Sud"," 5","Burnaby",7,1,32,55,68,2,1,166,417
59003,"Burnaby South/Burnaby-Sud"," 6","Burnaby",3,2,37,64,84,6,1,197,451
59003,"Burnaby South/Burnaby-Sud"," 7","Burnaby",0,0,20,57,60,3,0,140,387
59003,"Burnaby South/Burnaby-Sud"," 8","Burnaby",8,0,19,44,51,3,1,126,443
59003,"Burnaby South/Burnaby-Sud"," 9","Burnaby",3,0,31,40,63,1,0,138,427
59003,"Burnaby South/Burnaby-Sud"," 10","Burnaby",4,1,37,51,73,5,1,172,413
59003,"Burnaby South/Burnaby-Sud"," 11","Burnaby",6,1,42,46,64,4,2,165,446
59003,"Burnaby South/Burnaby-Sud"," 12","Burnaby",12,0,46,47,63,4,0,172,461
59003,"Burnaby South/Burnaby-Sud"," 13","Burnaby",3,0,8,16,10,0,0,37,166
59003,"Burnaby South/Burnaby-Sud"," 14","Burnaby",4,0,39,60,69,4,0,176,718
59003,"Burnaby South/Burnaby-Sud"," 15","Burnaby",8,0,48,70,67,2,1,196,915
59003,"Burnaby South/Burnaby-Sud"," 16","Burnaby",10,5,78,122,167,10,0,392,1419
59003,"Burnaby South/Burnaby-Sud"," 17","Burnaby",6,1,34,29,61,6,1,138,527
59003,"Burnaby South/Burnaby-Sud"," 18","Burnaby",6,2,51,67,92,7,1,226,859
59003,"Burnaby South/Burnaby-Sud"," 19","Burnaby",2,1,20,32,33,0,0,88,404
59003,"Burnaby South/Burnaby-Sud"," 20","Burnaby",3,0,20,23,29,0,0,75,332
59003,"Burnaby South/Burnaby-Sud"," 21","Burnaby",10,0,45,57,59,4,0,175,617
59003,"Burnaby South/Burnaby-Sud"," 22","Burnaby",9,0,42,59,56,6,2,174,569
59003,"Burnaby South/Burnaby-Sud"," 23","Burnaby",4,0,43,65,60,3,1,176,586
59003,"Burnaby South/Burnaby-Sud"," 24","Burnaby",11,3,44,74,63,3,3,201,632
59003,"Burnaby South/Burnaby-Sud"," 25","Burnaby",6,0,32,54,97,12,4,205,522
59003,"Burnaby South/Burnaby-Sud"," 26","Burnaby",3,0,61,44,84,4,0,196,479
59003,"Burnaby South/Burnaby-Sud"," 27","Burnaby",5,1,30,43,71,7,1,158,412
59003,"Burnaby South/Burnaby-Sud"," 28","Burnaby",2,4,26,41,56,5,0,134,403
59003,"Burnaby South/Burnaby-Sud"," 29","Burnaby",2,0,26,47,44,0,1,120,350
59003,"Burnaby South/Burnaby-Sud"," 30","Burnaby",2,3,49,61,40,1,2,158,400
59003,"Burnaby South/Burnaby-Sud"," 31","Burnaby",2,1,27,42,42,3,0,117,452
59003,"Burnaby South/Burnaby-Sud"," 32","Burnaby",4,2,30,44,39,2,0,121,396
59003,"Burnaby South/Burnaby-Sud"," 33","Burnaby",5,0,26,42,48,2,2,125,424
59003,"Burnaby South/Burnaby-Sud"," 34","Burnaby",10,0,31,43,70,4,0,158,515
59003,"Burnaby South/Burnaby-Sud"," 35","Burnaby",13,1,32,36,81,3,1,167,392
59003,"Burnaby South/Burnaby-Sud"," 36","Burnaby",4,1,30,37,70,4,0,146,400
59003,"Burnaby South/Burnaby-Sud"," 37","Burnaby",1,1,43,31,47,2,4,129,396
59003,"Burnaby South/Burnaby-Sud"," 38","Burnaby",2,0,18,32,39,5,0,96,438
59003,"Burnaby South/Burnaby-Sud"," 39","Burnaby",3,0,12,13,30,0,2,60,395
59003,"Burnaby South/Burnaby-Sud"," 40","Burnaby",4,0,13,33,56,13,0,119,423
59003,"Burnaby South/Burnaby-Sud"," 41","Burnaby",2,0,8,37,49,3,0,99,413
59003,"Burnaby South/Burnaby-Sud"," 42","Burnaby",6,1,43,50,59,5,1,165,436
59003,"Burnaby South/Burnaby-Sud"," 43","Burnaby",9,1,30,42,49,1,1,133,371
59003,"Burnaby South/Burnaby-Sud"," 44","Burnaby",2,0,27,43,24,2,0,98,392
59003,"Burnaby South/Burnaby-Sud"," 45","Burnaby",3,1,18,24,52,7,0,105,309
59003,"Burnaby South/Burnaby-Sud"," 46","Burnaby",2,0,18,29,44,2,0,95,370
59003,"Burnaby South/Burnaby-Sud"," 47","Burnaby",5,0,40,31,42,7,2,127,531
59003,"Burnaby South/Burnaby-Sud"," 48","Burnaby",4,0,28,19,51,4,2,108,539
59003,"Burnaby South/Burnaby-Sud"," 49","Burnaby",2,2,22,17,30,0,0,73,444
59003,"Burnaby South/Burnaby-Sud"," 50","Burnaby",2,4,32,45,30,2,0,115,522
59003,"Burnaby South/Burnaby-Sud"," 51","Burnaby",2,0,23,32,27,4,1,89,455
59003,"Burnaby South/Burnaby-Sud"," 52","Burnaby",3,0,37,38,43,4,1,126,517
59003,"Burnaby South/Burnaby-Sud"," 53","Burnaby",2,1,3,14,5,1,0,26,126
59003,"Burnaby South/Burnaby-Sud"," 54","Burnaby",4,0,28,38,25,1,0,96,467
59003,"Burnaby South/Burnaby-Sud"," 55","Burnaby",2,0,40,33,30,1,0,106,557
59003,"Burnaby South/Burnaby-Sud"," 56","Burnaby",6,3,24,79,91,6,3,212,546
59003,"Burnaby South/Burnaby-Sud"," 57","Burnaby",2,1,20,47,56,9,0,135,377
59003,"Burnaby South/Burnaby-Sud"," 58","Burnaby",4,0,63,51,103,7,0,228,570
59003,"Burnaby South/Burnaby-Sud"," 59","Burnaby",7,2,52,72,95,8,1,237,736
59003,"Burnaby South/Burnaby-Sud"," 60","Burnaby",6,0,52,68,54,5,0,185,549
59003,"Burnaby South/Burnaby-Sud"," 61","Burnaby",7,2,52,27,58,6,1,153,497
59003,"Burnaby South/Burnaby-Sud"," 62","Burnaby",2,0,37,41,40,2,1,123,373
59003,"Burnaby South/Burnaby-Sud"," 63","Burnaby",10,2,28,41,48,1,0,130,408
59003,"Burnaby South/Burnaby-Sud"," 64","Burnaby",3,3,36,53,43,6,2,146,508
59003,"Burnaby South/Burnaby-Sud"," 65","Burnaby",7,0,72,50,68,5,0,202,585
59003,"Burnaby South/Burnaby-Sud"," 66","Burnaby",4,1,24,25,43,7,0,104,435
59003,"Burnaby South/Burnaby-Sud"," 67","Burnaby",6,0,30,39,59,7,1,142,494
59003,"Burnaby South/Burnaby-Sud"," 68","Burnaby",4,1,34,31,44,3,0,117,502
59003,"Burnaby South/Burnaby-Sud"," 69","Burnaby",0,5,29,24,35,13,1,107,504
