Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kathy Borrelli,Laura Chesnik,Victor Green,Cheryl Hardcastle,Irek Kusmierczyk,Henry Oulevey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 1","Tecumseh",64,0,14,40,56,0,1,175,434
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 2","Tecumseh",Merged with No./Fusionné avec le n°5,,,,,,,,405
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 3","Tecumseh",73,0,15,28,70,0,1,187,473
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 4","Tecumseh",60,0,8,26,54,0,0,148,443
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 5","Tecumseh",96,0,11,41,87,4,1,240,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 6","Windsor",62,0,3,25,98,2,0,190,408
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 7","Windsor",33,0,10,51,53,2,0,149,442
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 8","Windsor",60,0,19,55,58,3,1,196,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 9","Windsor",69,2,15,54,62,5,3,210,406
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 10","Windsor",42,0,19,26,56,1,0,144,368
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 11","Windsor",22,1,19,52,50,3,0,147,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 12","Windsor",27,0,6,41,41,4,0,119,320
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 13","Windsor",91,1,34,60,114,2,0,302,438
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 14","Windsor",63,0,16,39,43,1,0,162,425
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 15","Windsor",67,0,21,39,50,2,0,179,408
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 16","Windsor",109,1,39,69,81,4,1,304,752
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 17","Windsor",Merged with No./Fusionné avec le n°13,,,,,,,,386
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 18","Windsor",65,0,21,55,67,2,0,210,429
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 19","Windsor",58,1,16,38,46,1,4,164,412
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 20","Tecumseh",Merged with No./Fusionné avec le n°24,,,,,,,,372
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 21","Tecumseh",Merged with No./Fusionné avec le n°23,,,,,,,,378
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 22","Tecumseh",49,0,7,52,48,5,1,162,379
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 23","Tecumseh",93,1,15,74,84,2,4,273,400
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 24","Tecumseh",86,1,26,86,78,6,0,283,423
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 25","Windsor",34,0,25,47,32,0,1,139,404
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 26","Windsor",67,0,25,88,69,1,0,250,376
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 27","Windsor",21,0,9,64,39,3,0,136,372
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 28","Windsor",32,0,20,62,56,4,0,174,372
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 29","Windsor",35,0,12,45,39,4,1,136,368
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 30","Windsor",Merged with No./Fusionné avec le n°26,,,,,,,,331
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 31","Windsor",40,0,13,53,56,2,0,164,354
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 32","Windsor",19,0,8,44,57,3,0,131,396
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 33","Windsor",33,0,11,51,45,1,2,143,358
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 34","Windsor",47,0,15,86,72,6,0,226,466
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 35","Windsor",46,1,17,62,79,2,0,207,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 36","Windsor",58,2,16,52,72,2,0,202,410
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 37","Tecumseh",Merged with No./Fusionné avec le n°39,,,,,,,,339
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 38","Tecumseh",44,1,17,57,65,3,1,188,481
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 39","Tecumseh",75,1,18,62,84,3,1,244,377
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 40","Tecumseh",50,0,19,48,51,1,2,171,411
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 41","Tecumseh",38,0,6,47,67,1,0,159,346
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 42","Tecumseh",51,0,16,45,56,2,0,170,446
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 43","Windsor",53,1,11,28,52,2,1,148,339
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 44","Windsor",32,0,13,29,54,2,0,130,373
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 45","Windsor",29,1,27,86,42,2,0,187,418
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 46","Windsor",51,0,6,39,52,1,1,150,433
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 47","Windsor",Merged with No./Fusionné avec le n°48,,,,,,,,360
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 48","Windsor",74,1,17,62,111,0,1,266,416
