Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadeem Akbar,Shibli Haddad,Chris Kowalchuk,Muhammad Riaz Sahi,Adam van Koeverden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Milton/Milton"," 1","Milton",126,15,12,22,108,2,285,697
35057,"Milton/Milton"," 2","Milton",96,11,13,20,88,0,228,636
35057,"Milton/Milton"," 3","Milton",Merged with No./Fusionné avec le n°5,,,,,,,240
35057,"Milton/Milton"," 4","Milton",56,10,5,16,107,2,196,483
35057,"Milton/Milton"," 5","Milton",77,6,4,36,130,0,253,458
35057,"Milton/Milton"," 6","Milton",62,6,6,21,93,2,190,489
35057,"Milton/Milton"," 7","Milton",67,9,3,17,110,0,206,472
35057,"Milton/Milton"," 8","Milton",68,5,3,27,116,1,220,509
35057,"Milton/Milton"," 9","Milton",66,5,2,10,61,0,144,482
35057,"Milton/Milton"," 10","Milton",71,6,4,22,120,0,223,448
35057,"Milton/Milton"," 11","Milton",48,8,2,18,76,1,153,496
35057,"Milton/Milton"," 12","Milton",32,8,3,14,73,3,133,448
35057,"Milton/Milton"," 13","Milton",44,5,2,22,79,0,152,447
35057,"Milton/Milton"," 14","Milton",64,8,2,15,89,0,178,556
35057,"Milton/Milton"," 15","Milton",74,13,10,20,130,3,250,617
35057,"Milton/Milton"," 16","Milton",26,6,3,14,73,3,125,398
35057,"Milton/Milton"," 17","Milton",69,14,7,25,134,3,252,550
35057,"Milton/Milton"," 18","Milton",56,7,7,32,100,4,206,537
35057,"Milton/Milton"," 19","Milton",64,2,4,30,82,0,182,424
35057,"Milton/Milton"," 20","Milton",73,4,6,23,71,0,177,490
35057,"Milton/Milton"," 21","Milton",58,8,7,30,65,0,168,557
35057,"Milton/Milton"," 22","Milton",73,13,6,25,83,0,200,544
35057,"Milton/Milton"," 23","Milton",37,8,3,18,40,0,106,351
35057,"Milton/Milton"," 24","Milton",64,7,5,14,112,0,202,539
35057,"Milton/Milton"," 25","Milton",57,9,4,31,83,1,185,526
35057,"Milton/Milton"," 26","Milton",43,7,6,16,91,0,163,534
35057,"Milton/Milton"," 27","Milton",55,5,5,23,75,1,164,475
35057,"Milton/Milton"," 28","Milton",63,8,3,25,134,0,233,649
35057,"Milton/Milton"," 29","Milton",70,5,1,19,102,0,197,520
35057,"Milton/Milton"," 30","Milton",54,8,4,21,111,1,199,540
35057,"Milton/Milton"," 31","Milton",60,8,4,18,85,0,175,508
35057,"Milton/Milton"," 32","Milton",58,8,2,22,77,1,168,460
35057,"Milton/Milton"," 33","Milton",59,4,2,20,120,2,207,572
35057,"Milton/Milton"," 34","Milton",30,7,5,9,105,3,159,451
35057,"Milton/Milton"," 35","Milton",54,6,4,23,84,0,171,502
35057,"Milton/Milton"," 36","Milton",48,6,3,20,110,0,187,524
35057,"Milton/Milton"," 37","Milton",50,10,6,24,88,0,178,502
35057,"Milton/Milton"," 38","Milton",68,4,4,24,101,0,201,563
35057,"Milton/Milton"," 39","Milton",73,3,4,20,91,1,192,480
35057,"Milton/Milton"," 40","Milton",38,5,6,22,93,0,164,490
35057,"Milton/Milton"," 41A","Milton",61,3,6,10,82,1,163,413
35057,"Milton/Milton"," 41B","Milton",49,7,4,20,80,0,160,459
35057,"Milton/Milton"," 42","Milton",64,7,2,20,123,1,217,602
35057,"Milton/Milton"," 43","Milton",63,10,5,8,83,1,170,421
35057,"Milton/Milton"," 44","Milton",67,10,10,13,68,0,168,422
35057,"Milton/Milton"," 45","Milton",67,6,3,41,83,0,200,483
35057,"Milton/Milton"," 46","Milton",48,4,8,15,71,1,147,437
35057,"Milton/Milton"," 47","Milton",66,9,10,21,70,1,177,459
35057,"Milton/Milton"," 48","Milton",82,3,8,32,149,0,274,743
35057,"Milton/Milton"," 49","Milton",72,12,7,23,90,1,205,584
35057,"Milton/Milton"," 50","Milton",68,8,1,12,110,1,200,629
35057,"Milton/Milton"," 51","Milton",64,5,3,14,86,0,172,477
35057,"Milton/Milton"," 52","Milton",52,9,4,18,89,0,172,473
35057,"Milton/Milton"," 53","Milton",53,9,1,21,110,1,195,611
35057,"Milton/Milton"," 54","Milton",70,13,3,19,72,1,178,462
35057,"Milton/Milton"," 55","Milton",43,10,5,48,51,0,157,368
35057,"Milton/Milton"," 56","Milton",54,6,12,8,52,0,132,432
35057,"Milton/Milton"," 57","Milton",74,7,5,20,71,0,177,473
35057,"Milton/Milton"," 58","Milton",47,11,2,20,105,0,185,536
35057,"Milton/Milton"," 59","Milton",49,10,2,18,84,1,164,469
35057,"Milton/Milton"," 60","Milton",38,4,7,18,75,0,142,386
35057,"Milton/Milton"," 61","Milton",38,14,5,15,68,1,141,412
35057,"Milton/Milton"," 62","Milton",52,6,3,22,107,1,191,458
35057,"Milton/Milton"," 63","Milton",50,5,3,11,79,2,150,425
