Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilles Brodeur,Martin Francoeur,Andrew Holman,Jean Landry,Yves Levesque,Adis Simidzija,René Villemure,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 1","Trois-Rivières",0,34,1,4,39,14,53,1,146,332
24076,"Trois-Rivières/Trois-Rivières"," 2","Trois-Rivières",3,52,0,2,69,14,67,4,211,497
24076,"Trois-Rivières/Trois-Rivières"," 3","Trois-Rivières",0,37,1,1,74,18,46,1,178,404
24076,"Trois-Rivières/Trois-Rivières"," 4","Trois-Rivières",1,42,0,6,39,12,46,5,151,335
24076,"Trois-Rivières/Trois-Rivières"," 5","Trois-Rivières",1,44,0,3,66,15,40,0,169,377
24076,"Trois-Rivières/Trois-Rivières"," 6","Trois-Rivières",2,41,3,1,52,23,38,4,164,347
24076,"Trois-Rivières/Trois-Rivières"," 7","Trois-Rivières",2,41,0,7,49,9,58,2,168,371
24076,"Trois-Rivières/Trois-Rivières"," 8","Trois-Rivières",2,50,0,1,43,18,56,2,172,418
24076,"Trois-Rivières/Trois-Rivières"," 9","Trois-Rivières",4,23,1,3,27,10,26,3,97,352
24076,"Trois-Rivières/Trois-Rivières"," 10","Trois-Rivières",2,34,2,3,51,12,56,2,162,351
24076,"Trois-Rivières/Trois-Rivières"," 11","Trois-Rivières",2,30,2,4,25,13,43,1,120,414
24076,"Trois-Rivières/Trois-Rivières"," 12","Trois-Rivières",5,27,2,7,36,14,39,3,133,380
24076,"Trois-Rivières/Trois-Rivières"," 13","Trois-Rivières",4,53,5,6,46,32,75,15,236,397
24076,"Trois-Rivières/Trois-Rivières"," 14","Trois-Rivières",Merged with No./Fusionné avec le n°13,,,,,,,,,400
24076,"Trois-Rivières/Trois-Rivières"," 15","Trois-Rivières",Merged with No./Fusionné avec le n°16,,,,,,,,,328
24076,"Trois-Rivières/Trois-Rivières"," 16","Trois-Rivières",0,53,0,15,86,26,79,7,266,345
24076,"Trois-Rivières/Trois-Rivières"," 17","Trois-Rivières",Merged with No./Fusionné avec le n°18,,,,,,,,,341
24076,"Trois-Rivières/Trois-Rivières"," 18","Trois-Rivières",5,50,1,5,58,34,67,0,220,347
24076,"Trois-Rivières/Trois-Rivières"," 19","Trois-Rivières",3,21,2,2,37,11,38,0,114,369
24076,"Trois-Rivières/Trois-Rivières"," 20","Trois-Rivières",1,38,0,2,40,22,41,7,151,364
24076,"Trois-Rivières/Trois-Rivières"," 21","Trois-Rivières",0,26,1,3,45,10,41,3,129,348
24076,"Trois-Rivières/Trois-Rivières"," 22","Trois-Rivières",2,33,0,6,52,7,44,4,148,424
24076,"Trois-Rivières/Trois-Rivières"," 23","Trois-Rivières",0,13,1,4,46,2,31,3,100,333
24076,"Trois-Rivières/Trois-Rivières"," 24","Trois-Rivières",0,23,2,7,25,8,22,1,88,404
24076,"Trois-Rivières/Trois-Rivières"," 25","Trois-Rivières",2,28,5,4,41,14,37,2,133,422
24076,"Trois-Rivières/Trois-Rivières"," 26A","Trois-Rivières",8,76,7,6,113,23,58,8,299,710
24076,"Trois-Rivières/Trois-Rivières"," 26B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,35
24076,"Trois-Rivières/Trois-Rivières"," 27","Trois-Rivières",2,72,1,5,71,18,55,7,231,501
24076,"Trois-Rivières/Trois-Rivières"," 28","Trois-Rivières",1,39,0,6,35,16,40,3,140,360
24076,"Trois-Rivières/Trois-Rivières"," 29","Trois-Rivières",3,46,2,4,47,17,44,3,166,533
24076,"Trois-Rivières/Trois-Rivières"," 30","Trois-Rivières",0,32,0,1,23,13,25,2,96,411
24076,"Trois-Rivières/Trois-Rivières"," 31","Trois-Rivières",3,55,1,0,42,11,45,6,163,424
24076,"Trois-Rivières/Trois-Rivières"," 32","Trois-Rivières",2,45,3,6,44,19,56,5,180,556
24076,"Trois-Rivières/Trois-Rivières"," 33","Trois-Rivières",1,48,1,2,40,17,67,2,178,404
24076,"Trois-Rivières/Trois-Rivières"," 34","Trois-Rivières",1,26,0,0,38,2,41,0,108,259
24076,"Trois-Rivières/Trois-Rivières"," 35","Trois-Rivières",1,49,1,1,43,10,36,0,141,521
24076,"Trois-Rivières/Trois-Rivières"," 36","Trois-Rivières",0,52,4,2,61,16,67,5,207,393
24076,"Trois-Rivières/Trois-Rivières"," 37","Trois-Rivières",Merged with No./Fusionné avec le n°36,,,,,,,,,377
24076,"Trois-Rivières/Trois-Rivières"," 38","Trois-Rivières",2,38,0,4,43,5,32,2,126,467
24076,"Trois-Rivières/Trois-Rivières"," 39","Trois-Rivières",Merged with No./Fusionné avec le n°44,,,,,,,,,311
24076,"Trois-Rivières/Trois-Rivières"," 40","Trois-Rivières",5,37,4,15,57,21,75,9,223,402
24076,"Trois-Rivières/Trois-Rivières"," 41","Trois-Rivières",Merged with No./Fusionné avec le n°40,,,,,,,,,343
24076,"Trois-Rivières/Trois-Rivières"," 42","Trois-Rivières",3,32,8,12,51,17,56,4,183,375
24076,"Trois-Rivières/Trois-Rivières"," 43","Trois-Rivières",Merged with No./Fusionné avec le n°42,,,,,,,,,348
24076,"Trois-Rivières/Trois-Rivières"," 44","Trois-Rivières",4,41,5,9,40,19,44,4,166,331
24076,"Trois-Rivières/Trois-Rivières"," 45","Trois-Rivières",1,59,3,5,44,17,40,4,173,466
24076,"Trois-Rivières/Trois-Rivières"," 46","Trois-Rivières",1,54,1,5,44,8,30,1,144,374
24076,"Trois-Rivières/Trois-Rivières"," 47","Trois-Rivières",0,40,1,7,64,13,65,0,190,398
24076,"Trois-Rivières/Trois-Rivières"," 48","Trois-Rivières",0,42,4,0,67,10,36,0,159,380
24076,"Trois-Rivières/Trois-Rivières"," 49","Trois-Rivières",0,39,1,7,54,11,43,0,155,431
24076,"Trois-Rivières/Trois-Rivières"," 50","Trois-Rivières",Merged with No./Fusionné avec le n°51,,,,,,,,,413
24076,"Trois-Rivières/Trois-Rivières"," 51","Trois-Rivières",5,64,3,7,60,40,74,7,260,424
24076,"Trois-Rivières/Trois-Rivières"," 52","Trois-Rivières",2,23,1,3,34,10,49,3,125,402
24076,"Trois-Rivières/Trois-Rivières"," 53","Trois-Rivières",2,47,3,2,30,14,40,4,142,334
24076,"Trois-Rivières/Trois-Rivières"," 54","Trois-Rivières",2,37,3,0,48,10,31,2,133,369
24076,"Trois-Rivières/Trois-Rivières"," 55","Trois-Rivières",1,35,3,3,39,4,41,1,127,373
