Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Anna Girouard,Evelyne Godfrey,Dominic LeBlanc,Jack Minor,Shelly Mitchell,Isabelle Sauriol Chiasson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 1","Petite-Aldouane",10,11,77,27,15,1,3,144,333
13002,"Beauséjour/Beauséjour"," 2","Grande-Aldouane",20,16,84,20,31,2,2,175,368
13002,"Beauséjour/Beauséjour"," 3","Grande-Aldouane",23,14,75,21,12,4,1,150,366
13002,"Beauséjour/Beauséjour"," 4","Saint-Louis",20,15,76,12,17,1,1,142,391
13002,"Beauséjour/Beauséjour"," 5","Saint-Louis",20,11,70,21,17,6,3,148,401
13002,"Beauséjour/Beauséjour"," 6","Saint-Louis de Kent",9,5,43,10,13,4,0,84,322
13002,"Beauséjour/Beauséjour"," 7","Saint-Louis",8,8,38,11,13,0,0,78,261
13002,"Beauséjour/Beauséjour"," 8","Saint-Louis",17,6,47,14,18,1,1,104,315
13002,"Beauséjour/Beauséjour"," 9","Indian Island 28",0,9,14,1,2,1,0,27,115
13002,"Beauséjour/Beauséjour"," 10","Richibucto-Village",20,15,79,24,26,4,0,168,364
13002,"Beauséjour/Beauséjour"," 11","Richibucto-Village",11,6,71,11,20,1,0,120,277
13002,"Beauséjour/Beauséjour"," 12","Richibucto-Village",17,3,85,20,17,5,2,149,286
13002,"Beauséjour/Beauséjour"," 13","Richibucto",4,5,51,17,6,0,2,85,290
13002,"Beauséjour/Beauséjour"," 14","Richibucto",6,7,49,3,12,0,1,78,243
13002,"Beauséjour/Beauséjour"," 15","Richibucto",8,14,45,8,16,0,1,92,268
13002,"Beauséjour/Beauséjour"," 16","Richibucto",5,5,35,15,10,2,0,72,255
13002,"Beauséjour/Beauséjour"," 17","Rexton",8,16,46,9,29,0,0,108,343
13002,"Beauséjour/Beauséjour"," 18","Rexton",7,7,51,6,37,1,0,109,302
13002,"Beauséjour/Beauséjour"," 19","Rexton",4,6,35,9,26,1,1,82,281
13002,"Beauséjour/Beauséjour"," 20","Upper Rexton",9,19,53,11,33,0,0,125,379
13002,"Beauséjour/Beauséjour"," 21","Saint-Charles",19,9,103,32,22,1,2,188,421
13002,"Beauséjour/Beauséjour"," 22","Saint-Charles",17,6,69,19,12,3,1,127,279
13002,"Beauséjour/Beauséjour"," 23","Saint-Ignace",14,10,65,16,29,2,0,136,271
13002,"Beauséjour/Beauséjour"," 24","Saint-Ignace",16,16,65,31,14,4,1,147,244
13002,"Beauséjour/Beauséjour"," 25","Saint-Édouard-de-Kent",11,17,91,20,44,8,0,191,476
13002,"Beauséjour/Beauséjour"," 26","Caissie-Village",3,17,70,23,9,2,0,124,311
13002,"Beauséjour/Beauséjour"," 27","Saint-Pierre-de-Kent",13,8,68,17,21,1,1,129,372
13002,"Beauséjour/Beauséjour"," 28","Saint-Thomas-de-Kent",10,8,47,10,11,2,1,89,342
13002,"Beauséjour/Beauséjour"," 29","Bouctouche",4,7,51,20,21,1,0,104,361
13002,"Beauséjour/Beauséjour"," 30","Bouctouche",4,7,34,8,7,2,1,63,259
13002,"Beauséjour/Beauséjour"," 31","Bouctouche",4,9,43,4,16,0,0,76,307
13002,"Beauséjour/Beauséjour"," 32","Buctouche 16",1,4,8,1,5,0,0,19,68
13002,"Beauséjour/Beauséjour"," 33","Collette-Village",10,4,44,7,24,3,0,92,338
13002,"Beauséjour/Beauséjour"," 34","Bouctouche",7,14,97,17,23,2,4,164,449
13002,"Beauséjour/Beauséjour"," 35","Bouctouche",4,13,37,8,21,3,1,87,327
13002,"Beauséjour/Beauséjour"," 36","Bouctouche",6,14,81,33,28,2,0,164,460
13002,"Beauséjour/Beauséjour"," 37","Saint-Joseph-de-Kent",9,11,58,14,14,3,0,109,353
13002,"Beauséjour/Beauséjour"," 38","Saint-Joseph-de-Kent",10,15,54,16,24,0,0,119,408
13002,"Beauséjour/Beauséjour"," 39","Cape Tormentine",5,10,29,12,38,1,1,96,195
13002,"Beauséjour/Beauséjour"," 40","Cape Tormentine",11,13,37,6,35,0,0,102,221
13002,"Beauséjour/Beauséjour"," 41","Cormierville",12,7,32,14,19,1,0,85,273
13002,"Beauséjour/Beauséjour"," 42","Després-Village",12,18,66,13,14,3,0,126,397
13002,"Beauséjour/Beauséjour"," 43","Breau-Village--Côte-d'Or",8,7,52,4,12,2,1,86,269
13002,"Beauséjour/Beauséjour"," 44","Breau-Village",6,15,65,18,16,1,0,121,416
13002,"Beauséjour/Beauséjour"," 45","Cocagne-Nord",5,15,86,8,17,0,0,131,383
13002,"Beauséjour/Beauséjour"," 46","Cocagne-Nord",9,10,61,5,22,2,0,109,351
13002,"Beauséjour/Beauséjour"," 47","Cocagne-Sud",10,8,60,17,13,3,1,112,332
13002,"Beauséjour/Beauséjour"," 48","McKees Mills",9,30,102,30,41,0,1,213,407
