Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodora Bajkin,Marie-Eve Damour,Rhéal Fortin,Patricia Morrissette,Mary-Helen Paspaliaris,Keeyan Ravanshid,Jean-François René,Nicolas Riqueur-Lainé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 1","Saint-Hippolyte",15,0,62,13,8,12,1,1,1,113,384
24063,"Rivière-du-Nord/Rivière-du-Nord"," 2","Saint-Hippolyte",35,2,72,19,8,12,1,0,2,151,492
24063,"Rivière-du-Nord/Rivière-du-Nord"," 3","Saint-Hippolyte",32,1,49,7,4,5,1,1,2,102,299
24063,"Rivière-du-Nord/Rivière-du-Nord"," 4","Saint-Hippolyte",38,0,50,23,10,6,1,0,1,129,374
24063,"Rivière-du-Nord/Rivière-du-Nord"," 5","Saint-Hippolyte",21,3,59,12,5,9,0,1,4,114,346
24063,"Rivière-du-Nord/Rivière-du-Nord"," 6","Saint-Hippolyte",27,2,78,16,20,9,1,2,2,157,428
24063,"Rivière-du-Nord/Rivière-du-Nord"," 7","Saint-Hippolyte",33,3,114,24,20,13,0,1,4,212,565
24063,"Rivière-du-Nord/Rivière-du-Nord"," 8","Saint-Hippolyte",28,3,86,16,7,8,1,0,3,152,442
24063,"Rivière-du-Nord/Rivière-du-Nord"," 9","Saint-Hippolyte",27,1,93,35,11,18,1,1,6,193,523
24063,"Rivière-du-Nord/Rivière-du-Nord"," 10","Saint-Hippolyte",22,7,64,14,12,6,2,0,1,128,447
24063,"Rivière-du-Nord/Rivière-du-Nord"," 11","Saint-Hippolyte",26,1,42,15,7,6,1,1,2,101,294
24063,"Rivière-du-Nord/Rivière-du-Nord"," 12","Saint-Hippolyte",24,0,65,15,12,9,0,1,3,129,359
24063,"Rivière-du-Nord/Rivière-du-Nord"," 13","Saint-Hippolyte",22,2,52,8,19,7,1,0,4,115,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 14","Saint-Hippolyte",48,2,80,18,8,11,3,2,5,177,523
24063,"Rivière-du-Nord/Rivière-du-Nord"," 15","Saint-Hippolyte",30,2,64,4,12,10,2,0,2,126,375
24063,"Rivière-du-Nord/Rivière-du-Nord"," 16","Saint-Hippolyte",53,5,177,48,35,29,1,0,9,357,1026
24063,"Rivière-du-Nord/Rivière-du-Nord"," 17","Saint-Hippolyte",23,10,79,19,12,8,2,1,3,157,436
24063,"Rivière-du-Nord/Rivière-du-Nord"," 18","Saint-Hippolyte",20,0,64,20,14,8,2,1,2,131,364
24063,"Rivière-du-Nord/Rivière-du-Nord"," 19","Saint-Hippolyte",13,2,72,18,11,9,1,2,2,130,366
24063,"Rivière-du-Nord/Rivière-du-Nord"," 20","Saint-Hippolyte",39,4,83,19,17,6,1,3,6,178,464
24063,"Rivière-du-Nord/Rivière-du-Nord"," 21","Prévost",38,3,96,19,21,2,2,0,3,184,455
24063,"Rivière-du-Nord/Rivière-du-Nord"," 22","Lac-Écho",27,2,91,9,10,5,0,0,3,147,352
24063,"Rivière-du-Nord/Rivière-du-Nord"," 23","Prévost",41,2,84,15,8,3,1,0,6,160,401
24063,"Rivière-du-Nord/Rivière-du-Nord"," 24","Prévost",62,6,75,21,26,11,2,1,3,207,436
24063,"Rivière-du-Nord/Rivière-du-Nord"," 25","Prévost",43,0,95,14,14,6,2,2,1,177,428
24063,"Rivière-du-Nord/Rivière-du-Nord"," 26","Prévost",71,6,133,22,26,5,5,0,0,268,547
24063,"Rivière-du-Nord/Rivière-du-Nord"," 27","Sainte-Sophie",13,3,53,20,7,15,0,2,5,118,361
24063,"Rivière-du-Nord/Rivière-du-Nord"," 28","Sainte-Sophie",25,1,70,21,16,19,3,1,5,161,459
24063,"Rivière-du-Nord/Rivière-du-Nord"," 29","Sainte-Sophie",18,4,85,35,17,8,1,1,6,175,452
24063,"Rivière-du-Nord/Rivière-du-Nord"," 30","Sainte-Sophie",38,3,104,30,26,23,2,2,7,235,600
24063,"Rivière-du-Nord/Rivière-du-Nord"," 31","Sainte-Sophie",22,3,71,21,12,12,1,0,4,146,416
24063,"Rivière-du-Nord/Rivière-du-Nord"," 32","Sainte-Sophie",19,6,77,24,13,9,3,1,6,158,454
24063,"Rivière-du-Nord/Rivière-du-Nord"," 33","Prévost",29,1,64,16,14,1,1,0,0,126,366
24063,"Rivière-du-Nord/Rivière-du-Nord"," 34","Prévost",39,5,84,21,13,6,1,0,2,171,461
24063,"Rivière-du-Nord/Rivière-du-Nord"," 35","Prévost",32,1,52,9,10,10,3,1,6,124,359
24063,"Rivière-du-Nord/Rivière-du-Nord"," 36","Prévost",45,0,57,24,9,5,1,0,3,144,420
24063,"Rivière-du-Nord/Rivière-du-Nord"," 37","Prévost",27,5,66,15,11,9,4,1,3,141,432
24063,"Rivière-du-Nord/Rivière-du-Nord"," 38","Prévost",38,2,106,36,14,6,3,0,5,210,486
24063,"Rivière-du-Nord/Rivière-du-Nord"," 39","Sainte-Sophie",35,3,83,27,10,14,1,0,9,182,477
24063,"Rivière-du-Nord/Rivière-du-Nord"," 40","Sainte-Sophie",37,4,91,48,16,19,2,1,5,223,593
24063,"Rivière-du-Nord/Rivière-du-Nord"," 41","Sainte-Sophie",24,2,71,7,12,7,2,0,7,132,441
24063,"Rivière-du-Nord/Rivière-du-Nord"," 42","Sainte-Sophie",44,2,108,24,14,12,1,3,8,216,490
24063,"Rivière-du-Nord/Rivière-du-Nord"," 43","Sainte-Sophie",14,4,68,28,6,4,1,1,3,129,369
24063,"Rivière-du-Nord/Rivière-du-Nord"," 44","Sainte-Sophie",9,1,55,23,12,8,0,3,6,117,334
24063,"Rivière-du-Nord/Rivière-du-Nord"," 45","Sainte-Sophie",31,2,87,27,14,8,0,2,2,173,448
24063,"Rivière-du-Nord/Rivière-du-Nord"," 46","Sainte-Sophie",67,13,127,42,22,18,2,1,4,296,797
24063,"Rivière-du-Nord/Rivière-du-Nord"," 47","Sainte-Sophie",33,5,99,13,19,9,1,2,6,187,519
24063,"Rivière-du-Nord/Rivière-du-Nord"," 48","Sainte-Sophie",28,2,72,26,13,17,3,0,8,169,473
24063,"Rivière-du-Nord/Rivière-du-Nord"," 49","Sainte-Sophie",13,0,39,13,5,7,0,0,1,78,244
24063,"Rivière-du-Nord/Rivière-du-Nord"," 50","Sainte-Sophie",19,1,53,14,0,12,1,2,1,103,384
24063,"Rivière-du-Nord/Rivière-du-Nord"," 51","Prévost",41,3,86,21,8,1,0,0,0,160,410
24063,"Rivière-du-Nord/Rivière-du-Nord"," 52","Prévost",41,6,98,16,17,15,0,0,2,195,403
24063,"Rivière-du-Nord/Rivière-du-Nord"," 53","Prévost",31,7,63,12,16,5,3,0,3,140,401
24063,"Rivière-du-Nord/Rivière-du-Nord"," 54","Prévost",47,1,110,19,24,3,2,0,5,211,534
24063,"Rivière-du-Nord/Rivière-du-Nord"," 55","Prévost",57,2,86,27,17,8,2,0,0,199,511
24063,"Rivière-du-Nord/Rivière-du-Nord"," 56","Prévost",80,10,158,41,22,2,1,1,3,318,768
24063,"Rivière-du-Nord/Rivière-du-Nord"," 57","Sainte-Sophie",17,3,90,19,19,5,3,1,5,162,432
24063,"Rivière-du-Nord/Rivière-du-Nord"," 58","Sainte-Sophie",22,2,88,36,8,11,2,1,7,177,490
24063,"Rivière-du-Nord/Rivière-du-Nord"," 59","Sainte-Sophie",12,5,43,18,9,5,0,0,2,94,263
24063,"Rivière-du-Nord/Rivière-du-Nord"," 60","Sainte-Sophie",15,1,73,10,10,11,1,4,2,127,388
24063,"Rivière-du-Nord/Rivière-du-Nord"," 61","Sainte-Sophie",17,1,44,8,1,5,1,0,6,83,259
24063,"Rivière-du-Nord/Rivière-du-Nord"," 62","Sainte-Sophie",30,9,77,36,6,9,1,1,9,178,464
24063,"Rivière-du-Nord/Rivière-du-Nord"," 63","Sainte-Sophie",14,1,55,10,8,7,2,2,0,99,317
24063,"Rivière-du-Nord/Rivière-du-Nord"," 64","Sainte-Sophie",14,5,35,11,7,6,1,0,2,81,244
