Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jane Groenewegen,Kelvin Kotchilea,Roland Laufer,Michael McLeod,Lea Anne Mollison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Northwest Territories/Territoires du Nord-Ouest"," 1","Sachs Harbour",2,14,1,9,3,1,30,72
61001,"Northwest Territories/Territoires du Nord-Ouest"," 2","Inuvik",2,17,0,39,9,0,67,283
61001,"Northwest Territories/Territoires du Nord-Ouest"," 3","Inuvik",1,24,2,38,22,1,88,371
61001,"Northwest Territories/Territoires du Nord-Ouest"," 4","Inuvik",7,32,2,32,11,3,87,315
61001,"Northwest Territories/Territoires du Nord-Ouest"," 5","Inuvik",7,21,3,10,37,0,78,401
61001,"Northwest Territories/Territoires du Nord-Ouest"," 6","Inuvik",14,49,2,41,23,1,130,386
61001,"Northwest Territories/Territoires du Nord-Ouest"," 7","Inuvik",13,40,5,42,13,1,114,283
61001,"Northwest Territories/Territoires du Nord-Ouest"," 8","Inuvik",6,35,1,38,14,0,94,312
61001,"Northwest Territories/Territoires du Nord-Ouest"," 9","Aklavik",10,22,2,63,21,4,122,389
61001,"Northwest Territories/Territoires du Nord-Ouest"," 10","Tuktoyaktuk",2,23,3,60,31,3,122,587
61001,"Northwest Territories/Territoires du Nord-Ouest"," 11","Fort McPherson",1,26,0,127,11,1,166,487
61001,"Northwest Territories/Territoires du Nord-Ouest"," 12","Ulukhaktok",4,40,1,44,8,7,104,246
61001,"Northwest Territories/Territoires du Nord-Ouest"," 13","Paulatuk",5,12,2,39,2,1,61,198
61001,"Northwest Territories/Territoires du Nord-Ouest"," 14","Tsiigehtchic",1,10,0,20,8,0,39,98
61001,"Northwest Territories/Territoires du Nord-Ouest"," 15","Fort Good Hope",10,12,0,59,10,3,94,288
61001,"Northwest Territories/Territoires du Nord-Ouest"," 16","Colville Lake",2,5,3,8,3,1,22,78
61001,"Northwest Territories/Territoires du Nord-Ouest"," 17","Norman Wells",17,66,4,60,48,4,199,521
61001,"Northwest Territories/Territoires du Nord-Ouest"," 18","Déline",6,15,1,58,7,0,87,357
61001,"Northwest Territories/Territoires du Nord-Ouest"," 19","Tulita",7,14,0,51,5,0,77,303
61001,"Northwest Territories/Territoires du Nord-Ouest"," 20","Wrigley",0,5,0,5,1,0,11,87
61001,"Northwest Territories/Territoires du Nord-Ouest"," 21","Gamètì",1,37,3,31,1,0,73,171
61001,"Northwest Territories/Territoires du Nord-Ouest"," 22","Wekweètì",2,17,0,12,0,0,31,90
61001,"Northwest Territories/Territoires du Nord-Ouest"," 23","Nahanni Butte",0,4,0,15,2,0,21,41
61001,"Northwest Territories/Territoires du Nord-Ouest"," 24","Wha Ti",4,30,0,57,11,0,102,345
61001,"Northwest Territories/Territoires du Nord-Ouest"," 25","Yellowknife",30,81,1,51,35,1,199,564
61001,"Northwest Territories/Territoires du Nord-Ouest"," 26","Yellowknife",11,32,2,25,14,0,84,375
61001,"Northwest Territories/Territoires du Nord-Ouest"," 27","Yellowknife",9,33,2,32,17,1,94,403
61001,"Northwest Territories/Territoires du Nord-Ouest"," 28","Yellowknife",13,49,5,33,24,1,125,440
61001,"Northwest Territories/Territoires du Nord-Ouest"," 29","Yellowknife",13,35,6,35,17,0,106,281
61001,"Northwest Territories/Territoires du Nord-Ouest"," 30","Yellowknife",20,75,3,43,13,4,158,513
61001,"Northwest Territories/Territoires du Nord-Ouest"," 31","Yellowknife",10,39,0,15,23,2,89,303
61001,"Northwest Territories/Territoires du Nord-Ouest"," 32","Yellowknife",11,37,2,26,33,0,109,257
61001,"Northwest Territories/Territoires du Nord-Ouest"," 33","Yellowknife",12,37,4,29,22,0,104,342
61001,"Northwest Territories/Territoires du Nord-Ouest"," 34","Yellowknife",11,56,6,58,63,3,197,550
61001,"Northwest Territories/Territoires du Nord-Ouest"," 35","Edzo",1,38,0,36,9,0,84,206
61001,"Northwest Territories/Territoires du Nord-Ouest"," 36","Behchoko",1,42,3,40,2,2,90,187
