Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Carey,Julie Dabrusin,Habiba Desai,Clare Hacksel,Elizabeth Rowley,Wayne Simmons,Maryem Tollar,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 1","Toronto",Merged with No./Fusionné avec le n°4,,,,,,,,,,395
35109,"Toronto--Danforth/Toronto--Danforth"," 2","Toronto",Merged with No./Fusionné avec le n°3,,,,,,,,,,412
35109,"Toronto--Danforth/Toronto--Danforth"," 3","Toronto",108,143,0,77,0,15,7,0,3,353,417
35109,"Toronto--Danforth/Toronto--Danforth"," 4","Toronto",88,157,1,63,1,15,7,2,3,337,429
35109,"Toronto--Danforth/Toronto--Danforth"," 5","Toronto",55,86,1,38,0,9,1,1,0,191,455
35109,"Toronto--Danforth/Toronto--Danforth"," 6","Toronto",59,138,1,64,0,19,4,0,1,286,460
35109,"Toronto--Danforth/Toronto--Danforth"," 7","Toronto",50,128,0,58,0,1,5,0,0,242,413
35109,"Toronto--Danforth/Toronto--Danforth"," 8","Toronto",57,116,0,77,1,5,6,2,0,264,399
35109,"Toronto--Danforth/Toronto--Danforth"," 9","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,,,,422
35109,"Toronto--Danforth/Toronto--Danforth"," 10","Toronto",25,71,0,65,1,5,6,0,1,174,468
35109,"Toronto--Danforth/Toronto--Danforth"," 11","Toronto",62,151,4,77,1,13,8,2,1,319,431
35109,"Toronto--Danforth/Toronto--Danforth"," 12","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,,,,401
35109,"Toronto--Danforth/Toronto--Danforth"," 13","Toronto",Merged with No./Fusionné avec le n°7,,,,,,,,,,385
35109,"Toronto--Danforth/Toronto--Danforth"," 14","Toronto",59,135,1,82,1,18,4,0,1,301,486
