Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ali Faour,Micheline Flibotte,Manon D. Lacharité,Louis Léger,Sarah Petrari,Yves Robillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1","Laval",31,13,58,5,12,100,1,220,561
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 2","Laval",22,3,76,12,24,95,3,235,554
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 3","Laval",31,9,79,2,14,94,3,232,491
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 4","Laval",23,6,72,11,15,96,3,226,547
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 5","Laval",29,6,127,9,31,129,7,338,554
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 6","Laval",40,10,89,10,20,97,4,270,542
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 7","Laval",33,6,60,10,15,79,4,207,536
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 8","Laval",16,7,61,9,28,97,7,225,514
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 9","Laval",24,2,46,10,33,79,1,195,467
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 10","Laval",15,3,34,11,28,83,4,178,554
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 11","Laval",29,3,52,8,34,143,2,271,635
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 12","Laval",14,8,33,13,6,64,1,139,432
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 13","Laval",19,9,56,15,37,89,2,227,548
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 14","Laval",18,7,69,10,26,75,4,209,537
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 15","Laval",15,1,66,5,17,89,1,194,453
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 16","Laval",28,2,50,8,30,124,3,245,542
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 17","Laval",17,3,91,4,35,87,4,241,598
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 18","Laval",23,2,49,15,29,118,4,240,508
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 19","Laval",27,4,89,6,30,135,2,293,548
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 20","Laval",9,3,53,4,30,95,3,197,457
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 21","Laval",30,2,81,11,26,126,2,278,508
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22A","Laval",22,5,103,11,56,158,7,362,680
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22B","Laval",Merged with No./Fusionné avec le n°23,,,,,,,,109
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 23","Laval",26,10,90,7,46,105,5,289,498
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 24","Laval",38,9,69,13,22,172,3,326,564
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 25","Laval",26,3,63,3,13,127,4,239,503
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 26","Laval",27,5,54,3,36,139,5,269,518
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 27","Laval",35,7,61,16,36,180,3,338,567
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 28","Laval",32,3,82,6,31,166,9,329,570
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 29","Laval",18,4,105,12,17,57,7,220,541
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 30","Laval",33,4,60,5,16,107,5,230,511
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 31","Laval",39,7,77,7,18,78,3,229,463
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 32","Laval",27,3,62,1,9,89,3,194,533
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 33","Laval",22,6,140,6,16,82,4,276,562
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 34","Laval",17,6,39,3,22,122,0,209,594
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 35","Laval",16,7,71,5,30,151,1,281,590
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 36","Laval",35,4,70,4,39,99,1,252,576
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 37","Laval",26,7,54,10,15,117,2,231,514
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 38","Laval",12,9,78,3,30,117,5,254,520
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 39","Laval",22,4,96,6,31,171,7,337,543
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 40","Laval",23,1,52,7,32,103,6,224,456
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 41","Laval",38,6,105,12,32,155,6,354,587
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 42","Laval",25,9,55,3,30,129,7,258,528
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 43","Laval",27,7,84,8,24,101,10,261,574
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 44","Laval",19,3,90,4,14,85,0,215,507
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45A","Laval",11,1,32,5,10,36,3,98,273
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45B","Laval",Merged with No./Fusionné avec le n°400,,,,,,,,92
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 46","Laval",18,6,63,3,30,100,6,226,466
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 47","Laval",33,6,91,9,13,61,2,215,541
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 48","Laval",22,7,78,6,20,68,11,212,554
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 49","Laval",25,2,64,5,20,76,5,197,432
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50A","Laval",Merged with No./Fusionné avec le n°56,,,,,,,,127
