Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guled Arale,Mohsin Bhuiyan,Bill Blair,Amanda Cain,Ramona Pache,David Edward-Ooi Poon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 137","Toronto",Merged with No./Fusionné avec le n°136,,,,,,,,427
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 138","Toronto",Merged with No./Fusionné avec le n°133,,,,,,,,474
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 139","Toronto",Merged with No./Fusionné avec le n°130,,,,,,,,392
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 140","Toronto",Merged with No./Fusionné avec le n°132,,,,,,,,376
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 141","Toronto",44,59,153,5,13,0,2,276,570
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 142","Toronto",Merged with No./Fusionné avec le n°141,,,,,,,,366
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 143","Toronto",63,89,172,11,3,1,1,340,432
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 144","Toronto",Merged with No./Fusionné avec le n°143,,,,,,,,327
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 145A","Toronto",Merged with No./Fusionné avec le n°126,,,,,,,,204
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 145B","Toronto",Merged with No./Fusionné avec le n°143,,,,,,,,211
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 146","Toronto",28,36,127,8,4,0,2,205,309
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 400","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,,364
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 401","Scarborough",Void/Supprimé,,,,,,,,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 402","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,,272
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 403","Toronto",30,53,165,6,11,1,2,268,493
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 404","Toronto",32,34,136,5,5,1,1,214,452
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 405","Toronto",16,16,166,2,6,0,2,208,494
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 406","Toronto",14,4,91,1,5,0,4,119,245
