Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdifatah Abdi,Brian Deheer,Laila Goodridge,Shawn McDonald,Jonathan Meyers,Garnett Robinson,Hughie Shane Whitmore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 169","Cold Lake",10,0,129,19,2,21,0,1,182,455
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 170","Cold Lake",16,3,152,12,1,23,2,2,211,592
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 171","Cold Lake",4,1,120,16,2,17,0,1,161,462
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 172","Cold Lake",6,2,71,16,1,18,0,0,114,425
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 173","Cold Lake",12,3,112,24,2,20,1,1,175,527
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 174","Cold Lake",5,3,118,16,1,16,2,0,161,401
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 175","Cold Lake",15,7,182,27,4,35,1,0,271,777
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 176","Cold Lake",10,3,103,12,3,29,1,0,161,485
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 177","Cold Lake",7,1,116,24,2,12,0,1,163,386
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 178","Cold Lake",12,5,167,36,1,33,0,3,257,686
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 179","Cold Lake",10,3,126,19,1,20,0,0,179,485
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 180","Cold Lake",12,2,114,16,0,16,0,0,160,518
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 181","Iron River",3,1,109,21,3,11,1,1,150,200
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 182","Fort Kent",1,0,131,22,3,2,1,0,160,267
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 183","Ardmore",7,1,92,11,8,5,0,0,124,262
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 184","Fort Kent",5,2,209,28,11,24,0,2,281,528
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 185","Ardmore",3,1,122,26,3,14,0,0,169,386
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 186A","Cold Lake",7,3,102,17,1,33,0,2,165,479
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 186B","Cold Lake",20,6,77,13,0,34,3,1,154,502
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 187","Cold Lake",9,1,122,23,0,24,0,0,179,378
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 188","Cold Lake",7,1,101,17,4,21,0,1,152,350
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 189","Cold Lake",10,2,84,15,4,24,0,1,140,435
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 190","Cold Lake",17,1,93,10,0,31,1,3,156,467
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 191","Cold Lake",12,1,105,15,2,49,1,0,185,464
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 192","Cold Lake",17,4,73,22,1,21,0,1,139,380
