Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Busch,Dock Currie,David Hilderman,Elizabeth May,Sherri Moore-Arbour,Sabina Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 1","Fernwood",13,0,9,78,5,14,1,120,447
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 2","Saltspring Island",15,1,12,62,9,18,0,117,380
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 3","Saltspring Island",19,0,7,66,22,21,1,136,445
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 4","Fernwood",12,0,16,63,12,32,1,136,439
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 5","Saltspring Island",25,0,18,103,12,24,0,182,519
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 6","North Galiano",5,0,6,80,15,22,1,129,426
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 7","Sturdies Bay",9,0,3,66,13,20,1,112,352
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 8","Sturdies Bay",7,0,3,49,16,10,0,85,301
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 9","Vesuvius",24,0,6,79,28,24,0,161,465
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 10","Saltspring Island",21,2,8,70,25,20,0,146,361
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 11","Saltspring Island",27,0,12,92,13,29,0,173,458
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 12","Ganges",11,0,7,59,5,22,0,104,283
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 13","Ganges",15,0,6,67,10,22,0,120,375
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 14","Saltspring Island",16,1,11,41,8,12,1,90,326
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 15","Long Harbour",17,0,7,45,8,18,0,95,316
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 16","Ganges",12,1,6,31,13,19,0,82,260
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 17","Ganges",13,1,4,32,11,19,0,80,305
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 18","Ganges",17,0,9,81,14,32,0,153,475
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 19","Ganges",7,0,5,52,10,7,0,81,307
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20","Ganges",12,0,7,51,7,37,0,114,448
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 21","Saltspring Island",15,0,10,70,5,19,0,119,429
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 22","Saltspring Island",24,0,9,77,8,22,0,140,447
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 23","Ganges",9,0,6,49,10,17,0,91,313
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 24","Mayne Island",4,0,4,52,14,29,0,103,322
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 25","Mayne Island",15,2,3,58,25,49,1,153,464
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 26","Mayne",7,0,0,57,13,20,0,97,315
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 27","Saltspring Island",8,0,8,43,5,16,1,81,315
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 28","Fulford Harbour",33,0,15,102,8,33,0,191,495
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 29","Fulford Harbour",15,1,17,136,14,25,1,209,480
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 30","Beaver Point",6,3,10,107,8,22,1,157,331
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 31","Fulford Harbour",20,0,15,135,10,31,0,211,528
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 32","Saturna",18,2,7,137,29,45,0,238,367
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 33","Port Washington",12,0,4,40,13,20,0,89,337
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 34","Pender Island",6,0,1,41,12,30,0,90,348
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 35","Pender Island",7,0,5,47,22,27,0,108,333
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 36","Pender Island",18,2,6,50,11,34,1,122,391
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 37","Pender Island",27,1,6,54,14,23,1,126,417
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 38","Pender Island",13,0,5,70,23,23,0,134,454
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 39","North Saanich",59,0,0,59,26,17,0,161,477
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 40","North Saanich",72,0,8,67,26,31,0,204,514
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 41","North Saanich",46,0,2,37,18,12,0,115,416
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 42","North Saanich",56,0,4,63,36,25,0,184,468
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 43","North Saanich",42,0,4,61,37,38,0,182,463
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 44","North Saanich",51,0,5,89,35,38,1,219,450
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 45","North Saanich",34,0,1,59,30,9,0,133,471
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 46","North Saanich",33,0,4,50,37,23,0,147,475
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 47","North Saanich",42,1,1,50,26,13,0,133,440
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 48","North Saanich",60,0,10,41,48,32,1,192,637
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 49","North Saanich",39,0,3,50,21,30,0,143,381
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 50","North Saanich",26,0,1,59,38,14,0,138,408
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 51","North Saanich",61,0,3,58,31,21,0,174,460
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 52","North Saanich",45,1,3,62,38,32,0,181,452
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 53","Sidney",33,0,10,50,33,60,0,186,596
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 54","Sidney",26,0,2,41,16,32,0,117,421
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 55","Sidney",35,0,4,39,14,24,2,118,453
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 56","Sidney",27,0,3,46,24,29,1,130,479
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 57","Sidney",41,0,5,32,22,22,1,123,476
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 58","Sidney",29,0,7,67,22,34,6,165,541
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 59","Sidney",17,1,2,19,16,7,0,62,350
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 60","Cole Bay 3",4,0,5,8,7,11,0,35,271
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 61","North Saanich",59,0,7,46,18,8,0,138,538
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 62","North Saanich",51,1,4,42,33,33,0,164,511
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 63","North Saanich",54,1,2,49,22,22,1,151,466
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 64","North Saanich",51,0,13,60,27,31,0,182,552
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 65","North Saanich",41,0,7,48,30,21,0,147,486
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 66","North Saanich",38,1,1,54,18,20,0,132,498
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 67","Sidney",26,0,8,57,30,34,0,155,558
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 68","Sidney",40,1,4,58,32,31,2,168,550
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69","Sidney",30,0,2,26,21,23,0,102,410
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 70","Sidney",24,0,2,45,21,34,0,126,439
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 71","Sidney",32,0,3,43,19,15,0,112,403
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 72","Sidney",29,0,4,51,26,35,0,145,423
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 73","North Saanich",64,1,6,42,21,29,0,163,459
