Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Gladstone,Samuel Greenfield,Melissa Lantsman,Daniella Mikanovsky,Raz Razvi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 500","Mobile poll/Bureau itinérant",23,4,16,9,8,0,60,83
35104,"Thornhill/Thornhill"," 501","Mobile poll/Bureau itinérant",26,0,30,1,2,0,59,74
35104,"Thornhill/Thornhill"," 502","Mobile poll/Bureau itinérant",47,1,26,0,1,1,76,115
35104,"Thornhill/Thornhill"," 503","Mobile poll/Bureau itinérant",34,1,27,0,1,2,65,96
35104,"Thornhill/Thornhill"," 600","Vaughan",596,133,971,23,92,11,1826,
35104,"Thornhill/Thornhill"," 601","Vaughan",491,95,1237,34,70,11,1938,
35104,"Thornhill/Thornhill"," 602","Vaughan",609,55,985,22,70,1,1742,
35104,"Thornhill/Thornhill"," 603","Vaughan",748,100,538,25,105,7,1523,
35104,"Thornhill/Thornhill"," 604","Vaughan",557,57,1069,28,78,7,1796,
35104,"Thornhill/Thornhill"," 605","Vaughan",316,72,649,10,46,3,1096,
35104,"Thornhill/Thornhill"," 606","Vaughan",670,84,730,21,90,19,1614,
35104,"Thornhill/Thornhill"," 607","Vaughan",382,104,866,19,65,7,1443,
35104,"Thornhill/Thornhill"," 608","Vaughan",390,56,937,22,43,5,1453,
35104,"Thornhill/Thornhill"," 609","Vaughan",432,55,1021,17,46,5,1576,
35104,"Thornhill/Thornhill"," 610","Markham",787,62,648,30,107,9,1643,
35104,"Thornhill/Thornhill"," 611","Markham",638,72,573,34,82,8,1407,
35104,"Thornhill/Thornhill",,Group 1/Groupe 1, 205,14,215,13,52,37,536,358
35104,"Thornhill/Thornhill",,Group 2/Groupe 2, 1266,124,2963,63,206,47,4669,
