Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Berthold,Gloriane Blais,Mathieu Boisvert,Jonathan Gagnon,Emilie Hamel,Éric Labonté,Adam Lukofsky,Real Pepin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 1","Lyster",127,2,6,7,2,31,33,0,4,212,392
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 2","Lyster",127,3,6,9,5,37,32,5,3,227,448
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 3","Lyster",146,3,9,2,1,32,30,0,4,227,390
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 4","Lyster",Void/Supprimé,,,,,,,,,,
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 5","Saint-Jacques-de-Leeds",115,1,2,8,2,16,15,0,5,164,278
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 6","Saint-Jacques-de-Leeds",115,0,6,10,4,20,15,0,4,174,268
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 7","Saint-Pierre-de-Broughton",122,0,6,19,3,22,17,4,3,196,352
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 8","Saint-Pierre-de-Broughton",97,1,10,15,2,22,13,0,4,164,339
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 9","Sacré-Coeur-de-Jésus",64,1,2,7,3,22,6,5,2,112,276
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 10","East Broughton",80,2,5,4,2,26,18,0,3,140,317
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 11","East Broughton",96,0,5,17,3,23,6,1,4,155,329
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 12","East Broughton",55,1,1,2,1,16,9,1,1,87,280
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 13","Sacré-Coeur-de-Jésus",84,2,2,9,5,12,8,0,2,124,324
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 14","Sacré-Coeur-de-Jésus",87,0,4,13,3,27,20,1,0,155,372
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 15","Sacré-Coeur-de-Jésus",83,1,3,5,3,20,10,1,1,127,327
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 16","Villeroy",134,0,9,11,8,46,35,3,7,253,397
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 17","Laurierville",138,1,6,0,0,36,25,2,6,214,412
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 18","Laurierville",126,2,7,0,2,24,30,0,4,195,311
