Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Garnett Genuis,Tanya Holm,Todd Newberry,Sheldon Jonah Perris,Charles Simpson,Aidan Bradley Theroux,John Wetterstrand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 1","Fort Saskatchewan",104,20,4,1,1,63,18,1,212,513
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 2","Fort Saskatchewan",82,16,2,3,2,44,12,0,161,457
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 3","Fort Saskatchewan",93,27,1,2,3,46,18,3,193,444
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 4","Scotford",59,5,2,2,0,12,5,0,85,255
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 5","Strathcona County",95,7,8,1,0,26,22,0,159,380
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 6","Fort Saskatchewan",60,14,3,5,3,47,12,1,145,472
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 7","Fort Saskatchewan",89,10,2,2,1,34,4,2,144,518
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 8","Fort Saskatchewan",62,21,1,1,4,50,12,1,152,407
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 9","Fort Saskatchewan",87,11,5,4,5,58,16,0,186,432
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 10","Fort Saskatchewan",99,20,2,0,1,56,17,4,199,459
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 11","Fort Saskatchewan",104,17,3,2,0,58,27,0,211,530
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 12","Fort Saskatchewan",120,14,2,6,1,41,25,0,209,463
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 13","Fort Saskatchewan",120,21,5,10,2,68,14,0,240,494
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 14","Fort Saskatchewan",96,17,5,3,0,37,22,1,181,371
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 15","Fort Saskatchewan",85,20,3,3,0,52,17,1,181,415
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 16","Fort Saskatchewan",140,20,4,0,0,53,9,0,226,495
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 17","Fort Saskatchewan",109,29,1,1,2,54,14,0,210,471
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 18","Fort Saskatchewan",62,5,2,5,0,17,2,0,93,255
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 19","Fort Saskatchewan",122,15,5,1,2,41,25,0,211,520
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 20","Fort Saskatchewan",101,13,2,2,3,54,15,0,190,399
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 21","Fort Saskatchewan",68,12,1,4,0,44,14,0,143,371
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 22","Fort Saskatchewan",114,14,0,3,0,37,16,1,185,447
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 23","Fort Saskatchewan",106,11,3,1,1,35,8,0,165,390
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 24","Fort Saskatchewan",94,9,0,3,3,40,9,0,158,360
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 25","Fort Saskatchewan",83,11,2,5,0,33,9,0,143,347
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 26","Fort Saskatchewan",97,5,0,2,0,31,18,2,155,390
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 27","Fort Saskatchewan",136,10,4,4,2,42,9,1,208,445
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 28","Fort Saskatchewan",148,17,1,2,2,66,16,2,254,636
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 29","Fort Saskatchewan",130,17,2,1,0,35,22,0,207,498
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 30","Fort Saskatchewan",138,15,2,7,0,67,13,1,243,549
