Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorilee Carrier,Richard Dunn,Serge Landry,Ginette Petitpas Taylor,Darlene Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1","Moncton",6,7,13,36,24,1,87,388
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 2","Moncton",6,5,26,60,31,0,128,499
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 3","Moncton",16,5,23,47,16,2,109,439
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 4","Moncton",15,3,14,23,39,0,94,437
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 5","Moncton",8,3,22,44,24,1,102,425
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6","Moncton",5,3,24,38,20,0,90,337
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7","Moncton",12,7,46,76,22,0,163,487
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 8","Moncton",7,5,14,43,19,0,88,465
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 9","Moncton",12,6,37,103,33,0,191,589
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10","Moncton",13,14,37,89,50,0,203,571
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 11","Moncton",14,8,32,119,54,2,229,596
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 12","Moncton",7,8,26,80,50,1,172,516
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 13","Moncton",19,9,27,81,42,0,178,605
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14","Moncton",13,7,29,74,40,1,164,425
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 15","Moncton",11,10,46,79,28,2,176,511
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 16","Moncton",17,3,37,66,26,2,151,482
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 17","Moncton",19,8,33,48,27,0,135,459
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 18","Moncton",9,6,42,75,25,1,158,461
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 19","Moncton",9,14,25,57,16,0,121,319
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 20","Moncton",4,5,29,44,17,0,99,328
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 21","Moncton",17,9,32,128,29,1,216,582
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 22","Moncton",11,9,30,85,19,3,157,496
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 23","Moncton",11,9,57,77,66,0,220,568
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 24","Moncton",4,0,21,64,34,0,123,443
