Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,Lise des Greniers,Caroline Desrochers,Ruth Fontaine,Victoria Hernandez,Barbara Joannette,Alain Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 1","La Prairie",1,40,116,11,15,4,52,3,242,519
24034,"La Prairie/La Prairie"," 2","La Prairie",0,10,84,9,16,6,78,2,205,572
24034,"La Prairie/La Prairie"," 3","La Prairie",0,7,41,2,5,6,67,5,133,393
24034,"La Prairie/La Prairie"," 4","La Prairie",0,16,91,4,38,6,84,1,240,527
24034,"La Prairie/La Prairie"," 5","La Prairie",0,18,116,5,32,4,88,0,263,506
24034,"La Prairie/La Prairie"," 6","La Prairie",0,5,40,5,11,5,35,3,104,352
24034,"La Prairie/La Prairie"," 7","La Prairie",0,10,89,2,12,4,34,2,153,373
24034,"La Prairie/La Prairie"," 8","La Prairie",0,16,67,5,18,5,63,3,177,590
24034,"La Prairie/La Prairie"," 9","La Prairie",0,17,55,2,19,4,60,1,158,399
24034,"La Prairie/La Prairie"," 10","La Prairie",0,15,51,7,18,7,53,3,154,471
24034,"La Prairie/La Prairie"," 11","La Prairie",Merged with No./Fusionné avec le n°12,,,,,,,,,323
24034,"La Prairie/La Prairie"," 12","La Prairie",0,23,107,8,30,7,110,5,290,335
24034,"La Prairie/La Prairie"," 13","La Prairie",0,18,59,2,12,1,57,1,150,461
24034,"La Prairie/La Prairie"," 14","La Prairie",Merged with No./Fusionné avec le n°16,,,,,,,,,344
24034,"La Prairie/La Prairie"," 15","La Prairie",0,13,52,6,35,5,86,3,200,530
24034,"La Prairie/La Prairie"," 16","La Prairie",0,25,86,10,33,7,115,7,283,367
24034,"La Prairie/La Prairie"," 17","La Prairie",0,16,46,6,8,4,41,2,123,386
24034,"La Prairie/La Prairie"," 18","La Prairie",0,20,50,11,20,5,67,5,178,524
24034,"La Prairie/La Prairie"," 19","La Prairie",1,11,47,14,16,1,66,4,160,531
24034,"La Prairie/La Prairie"," 20","La Prairie",0,14,68,6,17,7,70,1,183,543
24034,"La Prairie/La Prairie"," 21","La Prairie",2,12,45,6,13,1,62,6,147,484
24034,"La Prairie/La Prairie"," 22A","La Prairie",0,20,85,10,32,6,70,6,229,216
24034,"La Prairie/La Prairie"," 22B","La Prairie",1,24,92,8,25,5,64,6,225,209
24034,"La Prairie/La Prairie"," 23A","La Prairie",Merged with No./Fusionné avec le n°22A,,,,,,,,,194
24034,"La Prairie/La Prairie"," 23B","La Prairie",Merged with No./Fusionné avec le n°22B,,,,,,,,,189
24034,"La Prairie/La Prairie"," 24A","La Prairie",Merged with No./Fusionné avec le n°22A,,,,,,,,,208
24034,"La Prairie/La Prairie"," 24B","La Prairie",Merged with No./Fusionné avec le n°22B,,,,,,,,,211
24034,"La Prairie/La Prairie"," 25","Candiac",0,14,62,8,17,7,54,3,165,496
24034,"La Prairie/La Prairie"," 26A","La Prairie",Merged with No./Fusionné avec le n°28A,,,,,,,,,170
24034,"La Prairie/La Prairie"," 26B","La Prairie",Merged with No./Fusionné avec le n°28B,,,,,,,,,171
24034,"La Prairie/La Prairie"," 27A","La Prairie",Merged with No./Fusionné avec le n°28A,,,,,,,,,184
24034,"La Prairie/La Prairie"," 27B","La Prairie",Merged with No./Fusionné avec le n°28B,,,,,,,,,188
24034,"La Prairie/La Prairie"," 28A","La Prairie",0,27,95,6,26,1,78,4,237,248
24034,"La Prairie/La Prairie"," 28B","La Prairie",0,21,85,7,20,4,108,2,247,243
24034,"La Prairie/La Prairie"," 29","La Prairie",0,23,79,5,8,2,68,1,186,455
24034,"La Prairie/La Prairie"," 30","La Prairie",0,24,85,1,18,2,64,2,196,443
24034,"La Prairie/La Prairie"," 31A","La Prairie",Merged with No./Fusionné avec le n°32A,,,,,,,,,190
24034,"La Prairie/La Prairie"," 31B","La Prairie",Merged with No./Fusionné avec le n°32B,,,,,,,,,187
24034,"La Prairie/La Prairie"," 32A","La Prairie",0,20,100,5,25,6,77,3,236,210
24034,"La Prairie/La Prairie"," 32B","La Prairie",0,18,92,3,27,4,73,1,218,210
24034,"La Prairie/La Prairie"," 33A","La Prairie",Merged with No./Fusionné avec le n°32A,,,,,,,,,178
24034,"La Prairie/La Prairie"," 33B","La Prairie",Merged with No./Fusionné avec le n°32B,,,,,,,,,181
24034,"La Prairie/La Prairie"," 34","La Prairie",1,11,64,4,16,10,56,4,166,377
24034,"La Prairie/La Prairie"," 35","La Prairie",0,35,68,10,11,8,123,3,258,581
24034,"La Prairie/La Prairie"," 36A","La Prairie",0,16,69,6,7,4,53,3,158,489
24034,"La Prairie/La Prairie"," 36B","La Prairie",0,12,72,7,5,0,60,0,156,468
24034,"La Prairie/La Prairie"," 37","La Prairie",0,32,121,5,25,9,84,2,278,550
24034,"La Prairie/La Prairie"," 38","La Prairie",1,14,59,1,9,3,73,2,162,345
24034,"La Prairie/La Prairie"," 39","La Prairie",0,26,98,6,20,4,72,1,227,557
24034,"La Prairie/La Prairie"," 40","La Prairie",0,15,100,2,23,3,44,2,189,425
24034,"La Prairie/La Prairie"," 41A","La Prairie",0,18,73,4,13,2,41,2,153,367
24034,"La Prairie/La Prairie"," 41B","La Prairie",0,12,67,1,8,0,32,1,121,394
24034,"La Prairie/La Prairie"," 42","La Prairie",0,15,105,2,23,2,65,0,212,492
24034,"La Prairie/La Prairie"," 43","La Prairie",1,36,80,1,22,5,77,4,226,475
24034,"La Prairie/La Prairie"," 44","Sainte-Catherine",1,24,48,11,16,6,97,6,209,314
24034,"La Prairie/La Prairie"," 45","Delson",Merged with No./Fusionné avec le n°44,,,,,,,,,297
24034,"La Prairie/La Prairie"," 46","Delson",Merged with No./Fusionné avec le n°47,,,,,,,,,274
24034,"La Prairie/La Prairie"," 47","Delson",0,23,98,8,18,10,111,9,277,408
24034,"La Prairie/La Prairie"," 48","Delson",1,19,53,2,16,2,68,2,163,363
24034,"La Prairie/La Prairie"," 49","Sainte-Catherine",0,27,54,7,12,4,84,3,191,495
24034,"La Prairie/La Prairie"," 50","Sainte-Catherine",2,10,58,9,13,3,97,0,192,493
24034,"La Prairie/La Prairie"," 51","Sainte-Catherine",0,18,38,9,18,2,98,1,184,490
24034,"La Prairie/La Prairie"," 52","Sainte-Catherine",0,23,61,5,18,4,63,3,177,429
24034,"La Prairie/La Prairie"," 53","Sainte-Catherine",1,17,51,0,25,4,103,1,202,521
24034,"La Prairie/La Prairie"," 54","Sainte-Catherine",2,11,68,2,22,3,81,1,190,432
24034,"La Prairie/La Prairie"," 55","Sainte-Catherine",0,9,62,13,30,3,113,8,238,598
24034,"La Prairie/La Prairie"," 56","Sainte-Catherine",0,9,53,9,18,1,105,6,201,494
24034,"La Prairie/La Prairie"," 57","Sainte-Catherine",0,19,53,3,23,4,96,0,198,534
24034,"La Prairie/La Prairie"," 58","Sainte-Catherine",0,8,32,5,19,3,81,2,150,407
24034,"La Prairie/La Prairie"," 59","Sainte-Catherine",0,14,60,9,10,5,74,6,178,478
24034,"La Prairie/La Prairie"," 60","Sainte-Catherine",1,7,40,3,8,5,78,1,143,390
24034,"La Prairie/La Prairie"," 61","Sainte-Catherine",0,7,58,5,18,3,92,6,189,472
24034,"La Prairie/La Prairie"," 62","Sainte-Catherine",0,14,67,3,18,3,96,3,204,444
24034,"La Prairie/La Prairie"," 63","Sainte-Catherine",1,25,52,6,19,2,91,5,201,494
24034,"La Prairie/La Prairie"," 64","Sainte-Catherine",0,20,49,5,17,4,98,5,198,457
24034,"La Prairie/La Prairie"," 65","Sainte-Catherine",0,23,60,8,27,5,83,0,206,511
24034,"La Prairie/La Prairie"," 66","Sainte-Catherine",0,8,30,4,21,2,82,0,147,391
24034,"La Prairie/La Prairie"," 67","Sainte-Catherine",0,19,52,6,19,5,94,1,196,500
24034,"La Prairie/La Prairie"," 68A","Candiac",0,10,70,12,26,2,53,0,173,508
24034,"La Prairie/La Prairie"," 68B","Candiac",0,17,74,4,26,7,69,6,203,499
24034,"La Prairie/La Prairie"," 69","Candiac",1,18,75,8,15,4,64,2,187,491
24034,"La Prairie/La Prairie"," 70","Candiac",0,21,82,12,30,7,72,3,227,495
24034,"La Prairie/La Prairie"," 71","Candiac",0,15,74,6,21,3,95,3,217,529
24034,"La Prairie/La Prairie"," 72","Candiac",0,9,67,8,22,3,69,0,178,431
24034,"La Prairie/La Prairie"," 73","Candiac",0,2,56,2,16,4,55,2,137,451
24034,"La Prairie/La Prairie"," 74","Candiac",0,16,81,1,37,1,56,4,196,524
24034,"La Prairie/La Prairie"," 75A","Candiac",Merged with No./Fusionné avec le n°77A,,,,,,,,,191
24034,"La Prairie/La Prairie"," 75B","Candiac",Merged with No./Fusionné avec le n°77B,,,,,,,,,187
24034,"La Prairie/La Prairie"," 76A","Candiac",Merged with No./Fusionné avec le n°77A,,,,,,,,,206
24034,"La Prairie/La Prairie"," 76B","Candiac",Merged with No./Fusionné avec le n°77B,,,,,,,,,204
24034,"La Prairie/La Prairie"," 77A","Candiac",1,20,80,9,37,5,74,4,230,209
24034,"La Prairie/La Prairie"," 77B","Candiac",0,24,84,7,27,5,95,1,243,206
24034,"La Prairie/La Prairie"," 78","Saint-Constant",1,13,37,2,19,4,58,8,142,411
24034,"La Prairie/La Prairie"," 79","Saint-Constant",0,8,51,3,10,0,69,2,143,469
24034,"La Prairie/La Prairie"," 80","Saint-Constant",1,25,47,4,10,3,90,6,186,438
24034,"La Prairie/La Prairie"," 81","Saint-Constant",0,17,41,5,27,2,82,0,174,411
24034,"La Prairie/La Prairie"," 82","Saint-Constant",0,7,51,4,18,5,100,7,192,495
24034,"La Prairie/La Prairie"," 83","Saint-Constant",0,13,46,4,20,5,92,3,183,542
24034,"La Prairie/La Prairie"," 84","Saint-Constant",2,33,96,12,15,2,122,3,285,373
24034,"La Prairie/La Prairie"," 85","Saint-Constant",0,14,44,6,18,1,92,0,175,411
24034,"La Prairie/La Prairie"," 86","Saint-Constant",Merged with No./Fusionné avec le n°84,,,,,,,,,346
24034,"La Prairie/La Prairie"," 87","Saint-Constant",0,18,78,10,18,7,116,5,252,725
24034,"La Prairie/La Prairie"," 88","Saint-Constant",0,22,54,4,13,4,79,6,182,430
24034,"La Prairie/La Prairie"," 89","Saint-Constant",0,24,65,9,29,2,95,3,227,519
24034,"La Prairie/La Prairie"," 90","Candiac",0,24,96,6,12,3,68,1,210,546
24034,"La Prairie/La Prairie"," 91","Candiac",0,41,146,1,21,5,67,2,283,600
24034,"La Prairie/La Prairie"," 92","Candiac",0,35,107,11,18,0,69,0,240,543
24034,"La Prairie/La Prairie"," 93","Candiac",0,29,104,12,17,3,61,1,227,531
24034,"La Prairie/La Prairie"," 94","Candiac",0,16,107,3,16,5,61,2,210,518
24034,"La Prairie/La Prairie"," 95","Candiac",0,29,126,6,21,4,76,3,265,533
24034,"La Prairie/La Prairie"," 96","Candiac",1,29,102,7,20,7,68,2,236,470
24034,"La Prairie/La Prairie"," 97","Candiac",0,51,93,3,14,3,52,1,217,485
24034,"La Prairie/La Prairie"," 98","Candiac",0,19,106,6,18,2,89,4,244,519
24034,"La Prairie/La Prairie"," 99","Candiac",0,33,91,4,14,6,62,0,210,457
24034,"La Prairie/La Prairie"," 100","Candiac",0,28,105,4,17,1,66,5,226,488
24034,"La Prairie/La Prairie"," 101","Candiac",0,28,77,3,25,2,52,3,190,411
