Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chad Collins,Ned Kuruc,Nick Milanovic,Larry Pattison,Mario Ricci,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 1","Hamilton",136,106,71,10,25,0,348,604
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 2","Hamilton",157,96,58,11,13,0,335,595
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 3","Hamilton",24,36,39,2,11,1,113,427
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 4","Hamilton",63,52,34,3,19,1,172,425
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 5","Hamilton",78,23,33,5,15,2,156,390
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 6","Hamilton",86,46,36,0,9,0,177,422
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 7","Hamilton",84,35,44,1,6,6,176,451
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 8","Hamilton",45,45,54,2,23,0,169,507
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 9","Hamilton",29,31,38,1,14,1,114,397
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 10","Hamilton",18,38,38,4,4,1,103,419
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 11","Hamilton",35,43,48,1,2,2,131,374
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 12","Hamilton",44,42,42,2,10,0,140,387
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 13","Hamilton",33,27,59,5,8,0,132,369
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 14","Hamilton",57,36,72,9,15,1,190,604
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 15","Hamilton",32,47,50,2,10,2,143,360
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 16","Hamilton",45,32,66,4,21,1,169,540
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 17","Hamilton",33,48,77,6,17,2,183,585
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18","Hamilton",28,34,50,2,18,1,133,416
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 19","Hamilton",32,37,78,7,5,0,159,431
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 20","Hamilton",45,53,27,1,12,2,140,376
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21A","Hamilton",100,105,51,4,14,1,275,678
