Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Davis,Desta McPherson,Nelly Shin,Roland Verrier,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 1","Anmore",45,4,92,0,41,1,183,467
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 2","Anmore",45,13,75,0,42,1,176,387
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 3","Anmore",71,7,111,0,74,1,264,483
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 4","Anmore",46,9,79,0,33,0,167,398
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 5","Belcarra",46,3,103,0,39,1,192,384
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 6","Port Moody",37,7,56,1,46,0,147,331
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 7","Port Moody",38,5,60,0,44,0,147,395
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 8","Port Moody",45,2,55,0,54,0,156,403
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 9","Port Moody",42,2,55,0,54,0,153,402
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 10","Port Moody",45,7,79,0,31,1,163,361
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 11","Port Moody",37,4,50,0,69,1,161,408
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 12","Port Moody",34,5,46,0,51,2,138,479
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 13","Port Moody",69,7,121,0,44,1,242,550
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 14","Port Moody",81,1,69,0,67,1,219,564
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 15","Port Moody",58,6,71,1,74,1,211,432
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 16","Port Moody",97,5,73,0,53,1,229,531
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 17","Port Moody",73,3,78,0,50,1,205,437
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 18","Port Moody",54,2,79,0,45,0,180,520
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 19","Port Moody",68,12,67,0,104,1,252,517
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 20","Port Moody",54,1,48,1,80,0,184,392
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 21","Port Moody",33,7,40,0,62,0,142,330
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 22","Port Moody",52,2,48,0,98,0,200,523
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 23","Port Moody",37,8,45,0,101,1,192,386
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 24","Port Moody",24,5,30,0,101,0,160,395
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 25","Port Moody",64,2,45,1,48,0,160,425
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 26","Port Moody",61,3,60,0,67,1,192,457
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 27","Port Moody",68,0,47,1,38,0,154,483
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 28","Port Moody",56,5,55,0,43,1,160,431
