Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Parveer Hundal,Avneet Johal,Syed Mohsin,Pamela Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey--Newton/Surrey--Newton"," 1","Surrey",105,6,58,25,4,2,200,442
59033,"Surrey--Newton/Surrey--Newton"," 2","Surrey",86,4,49,26,4,5,174,389
59033,"Surrey--Newton/Surrey--Newton"," 3","Surrey",86,3,56,56,6,2,209,452
59033,"Surrey--Newton/Surrey--Newton"," 4","Surrey",76,2,38,32,8,3,159,474
59033,"Surrey--Newton/Surrey--Newton"," 5","Surrey",43,3,42,21,4,0,113,364
59033,"Surrey--Newton/Surrey--Newton"," 6","Surrey",110,2,42,14,3,0,171,367
59033,"Surrey--Newton/Surrey--Newton"," 7","Surrey",93,0,60,26,5,1,185,462
59033,"Surrey--Newton/Surrey--Newton"," 8","Surrey",83,1,54,37,4,2,181,503
59033,"Surrey--Newton/Surrey--Newton"," 9","Surrey",80,0,41,38,2,0,161,387
59033,"Surrey--Newton/Surrey--Newton"," 10","Surrey",69,2,37,7,0,6,121,285
59033,"Surrey--Newton/Surrey--Newton"," 11","Surrey",87,1,31,8,0,0,127,260
59033,"Surrey--Newton/Surrey--Newton"," 12","Surrey",108,6,30,11,1,2,158,345
59033,"Surrey--Newton/Surrey--Newton"," 13","Surrey",118,2,50,22,1,5,198,370
59033,"Surrey--Newton/Surrey--Newton"," 14","Surrey",100,3,34,30,4,1,172,462
59033,"Surrey--Newton/Surrey--Newton"," 15","Surrey",93,4,41,22,5,0,165,201
59033,"Surrey--Newton/Surrey--Newton"," 16","Surrey",78,2,22,12,11,0,125,489
59033,"Surrey--Newton/Surrey--Newton"," 17","Surrey",87,0,31,23,7,1,149,536
59033,"Surrey--Newton/Surrey--Newton"," 18","Surrey",Merged with No./Fusionné avec le n°15,,,,,,,328
59033,"Surrey--Newton/Surrey--Newton"," 19","Surrey",59,1,29,19,6,3,117,354
59033,"Surrey--Newton/Surrey--Newton"," 20","Surrey",100,0,47,31,4,1,183,328
59033,"Surrey--Newton/Surrey--Newton"," 21","Surrey",Merged with No./Fusionné avec le n°20,,,,,,,347
59033,"Surrey--Newton/Surrey--Newton"," 22","Surrey",33,0,39,20,12,1,105,502
59033,"Surrey--Newton/Surrey--Newton"," 23","Surrey",61,4,25,20,1,3,114,373
59033,"Surrey--Newton/Surrey--Newton"," 24","Surrey",81,1,46,30,5,4,167,642
