Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ivan Byard,Brian Chang,Marci Ien,Syed Jaffery,Ryan Lester,Annamie Paul,Peter Stubbins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Toronto Centre/Toronto-Centre"," 410-1","Toronto",0,36,61,6,38,9,0,0,150,292
35108,"Toronto Centre/Toronto-Centre"," 411","Toronto",Merged with No./Fusionné avec le n°40,,,,,,,,,233
35108,"Toronto Centre/Toronto-Centre"," 412","Toronto",Merged with No./Fusionné avec le n°410-1,,,,,,,,,125
35108,"Toronto Centre/Toronto-Centre"," 412-1","Toronto",Merged with No./Fusionné avec le n°22,,,,,,,,,186
35108,"Toronto Centre/Toronto-Centre"," 413","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,,,250
35108,"Toronto Centre/Toronto-Centre"," 414","Toronto",Merged with No./Fusionné avec le n°410-1,,,,,,,,,209
35108,"Toronto Centre/Toronto-Centre"," 415","Toronto",Merged with No./Fusionné avec le n°409,,,,,,,,,190
35108,"Toronto Centre/Toronto-Centre"," 416","Toronto",Merged with No./Fusionné avec le n°6,,,,,,,,,162
35108,"Toronto Centre/Toronto-Centre"," 417","Toronto",0,66,76,6,47,15,0,0,210,254
35108,"Toronto Centre/Toronto-Centre"," 418","Toronto",0,44,93,2,45,17,0,1,202,307
35108,"Toronto Centre/Toronto-Centre"," 419","Toronto",0,44,81,5,30,19,1,0,180,338
35108,"Toronto Centre/Toronto-Centre"," 419-1","Toronto",0,49,112,2,29,15,0,1,208,567
35108,"Toronto Centre/Toronto-Centre"," 420","Toronto",Merged with No./Fusionné avec le n°417,,,,,,,,,256
35108,"Toronto Centre/Toronto-Centre"," 421","Toronto",1,48,88,3,35,11,2,0,188,369
35108,"Toronto Centre/Toronto-Centre"," 422","Toronto",Merged with No./Fusionné avec le n°4,,,,,,,,,363
35108,"Toronto Centre/Toronto-Centre"," 422-1","Toronto",Merged with No./Fusionné avec le n°5,,,,,,,,,193
35108,"Toronto Centre/Toronto-Centre"," 423","Toronto",2,79,123,7,29,36,1,6,283,556
35108,"Toronto Centre/Toronto-Centre"," 424","Toronto",0,65,168,10,35,18,0,3,299,535
35108,"Toronto Centre/Toronto-Centre"," 425","Toronto",1,40,128,6,23,12,0,0,210,571
35108,"Toronto Centre/Toronto-Centre"," 426","Toronto",2,50,90,5,12,12,0,0,171,614
35108,"Toronto Centre/Toronto-Centre"," 427","Toronto",Merged with No./Fusionné avec le n°424,,,,,,,,,291
35108,"Toronto Centre/Toronto-Centre"," 428","Toronto",Merged with No./Fusionné avec le n°425,,,,,,,,,138
35108,"Toronto Centre/Toronto-Centre"," 429","Toronto",Merged with No./Fusionné avec le n°45,,,,,,,,,320
35108,"Toronto Centre/Toronto-Centre"," 429-1","Toronto",0,93,178,8,38,20,2,2,341,500
35108,"Toronto Centre/Toronto-Centre"," 430","Toronto",0,58,62,1,25,12,1,0,159,299
35108,"Toronto Centre/Toronto-Centre"," 431","Toronto",Merged with No./Fusionné avec le n°37,,,,,,,,,177
35108,"Toronto Centre/Toronto-Centre"," 432","Toronto",Merged with No./Fusionné avec le n°421,,,,,,,,,225
35108,"Toronto Centre/Toronto-Centre"," 433","Toronto",Merged with No./Fusionné avec le n°418,,,,,,,,,251
35108,"Toronto Centre/Toronto-Centre"," 434","Toronto",Merged with No./Fusionné avec le n°417,,,,,,,,,126
35108,"Toronto Centre/Toronto-Centre"," 434-1","Toronto",Merged with No./Fusionné avec le n°419-1,,,,,,,,,161
