Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alana DeLong,Mark Hecht,Blair Herbert,Alistair MacGregor,Lia Versaevel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 1","Youbou",34,4,23,74,13,1,149,369
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 2","Youbou",31,11,28,43,6,2,121,275
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 3","Malachan 11",0,1,1,24,2,1,29,54
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 4","Thetis Island",63,17,38,119,26,0,263,405
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 5","Honeymoon Bay--Caycuse",57,9,16,70,13,0,165,321
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 6","Honeymoon Bay",37,10,18,53,11,1,130,297
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 7","North Cowichan",63,14,35,94,18,2,226,518
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 8","North Cowichan",67,14,36,100,8,0,225,526
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 9","North Cowichan",40,6,35,58,7,0,146,369
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 10","North Cowichan",41,12,31,103,18,0,205,478
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 11","North Cowichan",56,7,33,89,20,2,207,466
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 12","North Cowichan",46,12,16,56,15,1,146,467
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 13","Tent Island 8",0,0,5,103,4,0,112,267
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 14","North Cowichan",38,6,15,76,9,0,144,386
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 15","North Cowichan",80,9,43,75,15,0,222,503
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 16","North Cowichan",84,24,59,99,16,1,283,665
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 17","North Cowichan",60,14,21,70,13,0,178,508
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 18","Somenos",21,12,6,24,4,0,67,343
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 19","North Cowichan",33,5,13,55,9,0,115,550
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 20","North Cowichan",58,16,34,57,11,1,177,568
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 21","North Cowichan",51,13,22,94,12,0,192,533
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 22","North Cowichan",105,5,32,115,13,2,272,384
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 23","North Cowichan",Merged with No./Fusionné avec le n°25,,,,,,,355
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 24","North Cowichan",46,8,23,56,8,0,141,459
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 25","North Cowichan",64,14,47,113,11,1,250,394
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 26","North Cowichan",Merged with No./Fusionné avec le n°78,,,,,,,444
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 27","Crofton--Tsussie 6",67,18,14,69,12,0,180,568
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 28","North Cowichan",40,16,15,37,7,0,115,547
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 29","North Cowichan",65,14,22,55,20,2,178,473
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 30","North Cowichan",74,15,11,75,8,0,183,520
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 31","North Cowichan",66,8,20,72,11,0,177,494
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 32","North Cowichan",53,8,22,79,10,0,172,387
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 33","Paldi",57,27,11,63,6,0,164,531
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 34","Kakalatza 6",70,11,16,51,10,1,159,523
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 35","North Cowichan",38,11,30,72,12,1,164,539
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 36","North Cowichan",45,9,18,79,10,0,161,577
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 37","North Cowichan",40,9,15,65,6,1,136,523
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 38","North Cowichan",54,14,18,115,11,1,213,711
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 39","North Cowichan",47,12,19,63,5,2,148,490
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 40","North Cowichan",56,9,22,79,5,2,173,456
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 41","North Cowichan",38,7,24,80,4,1,154,522
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 42","North Cowichan",29,12,10,65,7,0,123,492
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 43","North Cowichan",25,8,23,52,7,3,118,333
