Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michele Braniff,Lorne Bruce,Connie Cody,Bryan May,Maggie Segounis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Cambridge/Cambridge"," 1","Cambridge",1,51,52,90,5,0,199,538
35016,"Cambridge/Cambridge"," 2","Cambridge",6,45,75,83,12,2,223,570
35016,"Cambridge/Cambridge"," 3","Cambridge",2,30,62,69,6,1,170,501
35016,"Cambridge/Cambridge"," 4","Cambridge",2,27,71,105,13,2,220,517
35016,"Cambridge/Cambridge"," 5","Cambridge",5,34,38,117,7,1,202,487
35016,"Cambridge/Cambridge"," 6","Cambridge",5,34,68,99,12,0,218,528
35016,"Cambridge/Cambridge"," 7","Cambridge",4,26,87,125,2,0,244,574
35016,"Cambridge/Cambridge"," 8","Cambridge",4,37,78,112,10,1,242,592
35016,"Cambridge/Cambridge"," 9","Cambridge",6,38,50,45,16,0,155,439
35016,"Cambridge/Cambridge"," 10","Cambridge",5,18,39,36,16,1,115,414
35016,"Cambridge/Cambridge"," 11","Cambridge",6,17,34,43,2,0,102,360
35016,"Cambridge/Cambridge"," 12","Cambridge",2,36,50,50,25,0,163,416
35016,"Cambridge/Cambridge"," 13","Cambridge",9,44,65,74,10,1,203,442
35016,"Cambridge/Cambridge"," 14","Cambridge",5,23,41,45,23,2,139,449
35016,"Cambridge/Cambridge"," 15A","Cambridge",3,18,20,40,2,0,83,286
35016,"Cambridge/Cambridge"," 15B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,,33
35016,"Cambridge/Cambridge"," 16","Cambridge",8,41,98,113,20,1,281,601
35016,"Cambridge/Cambridge"," 17","Cambridge",7,34,87,94,11,3,236,662
35016,"Cambridge/Cambridge"," 18","Cambridge",3,17,94,80,3,0,197,461
35016,"Cambridge/Cambridge"," 19","Cambridge",5,38,50,105,7,0,205,442
35016,"Cambridge/Cambridge"," 20","Cambridge",6,18,52,47,6,1,130,372
35016,"Cambridge/Cambridge"," 21","Cambridge",8,25,49,69,4,1,156,376
35016,"Cambridge/Cambridge"," 22","Cambridge",5,24,36,36,7,0,108,341
35016,"Cambridge/Cambridge"," 23","Cambridge",6,33,59,45,18,1,162,503
35016,"Cambridge/Cambridge"," 24","Cambridge",5,27,55,54,11,2,154,494
35016,"Cambridge/Cambridge"," 25","Cambridge",6,47,47,55,9,1,165,538
35016,"Cambridge/Cambridge"," 26","Cambridge",7,44,56,61,19,0,187,520
35016,"Cambridge/Cambridge"," 27","Cambridge",1,31,60,101,4,1,198,500
35016,"Cambridge/Cambridge"," 28","Cambridge",9,29,75,103,2,1,219,458
35016,"Cambridge/Cambridge"," 29","Cambridge",6,32,54,84,5,1,182,329
35016,"Cambridge/Cambridge"," 30","Cambridge",6,30,55,51,15,0,157,441
35016,"Cambridge/Cambridge"," 31","Cambridge",7,41,57,58,10,0,173,509
35016,"Cambridge/Cambridge"," 32","Cambridge",14,34,47,42,17,1,155,407
35016,"Cambridge/Cambridge"," 33","Cambridge",7,30,63,54,17,2,173,488
35016,"Cambridge/Cambridge"," 34","Cambridge",8,15,29,45,10,0,107,326
35016,"Cambridge/Cambridge"," 35","Cambridge",3,16,71,74,3,1,168,397
35016,"Cambridge/Cambridge"," 36","Cambridge",7,18,100,80,8,0,213,541
35016,"Cambridge/Cambridge"," 37","Cambridge",7,37,83,107,18,2,254,602
35016,"Cambridge/Cambridge"," 38","Cambridge",16,45,74,90,24,1,250,589
35016,"Cambridge/Cambridge"," 39","Cambridge",10,32,66,100,7,2,217,445
35016,"Cambridge/Cambridge"," 40","Cambridge",3,40,60,101,13,4,221,508
35016,"Cambridge/Cambridge"," 41","Cambridge",3,31,36,36,18,1,125,476
35016,"Cambridge/Cambridge"," 42","Cambridge",5,38,30,38,13,0,124,480
35016,"Cambridge/Cambridge"," 43","Cambridge",Merged with No./Fusionné avec le n°46,,,,,,,265
35016,"Cambridge/Cambridge"," 44","Cambridge",6,50,78,71,15,2,222,511
35016,"Cambridge/Cambridge"," 45","Cambridge",4,62,64,138,10,2,280,763
35016,"Cambridge/Cambridge"," 46","Cambridge",9,42,97,72,22,0,242,347
35016,"Cambridge/Cambridge"," 47","Cambridge",2,39,52,75,9,0,177,532
35016,"Cambridge/Cambridge"," 48","Cambridge",3,39,51,59,9,0,161,442
35016,"Cambridge/Cambridge"," 49","Cambridge",11,33,56,50,27,0,177,488
35016,"Cambridge/Cambridge"," 50","Cambridge",5,26,62,51,12,0,156,431
35016,"Cambridge/Cambridge"," 51","Cambridge",5,51,63,93,18,0,230,536
35016,"Cambridge/Cambridge"," 52","Cambridge",1,36,58,88,5,2,190,537
35016,"Cambridge/Cambridge"," 53","Cambridge",5,31,44,69,16,0,165,509
35016,"Cambridge/Cambridge"," 54","Cambridge",7,30,56,61,12,1,167,504
35016,"Cambridge/Cambridge"," 55","Cambridge",3,50,50,50,19,1,173,459
35016,"Cambridge/Cambridge"," 56","Cambridge",10,56,64,67,11,1,209,570
35016,"Cambridge/Cambridge"," 57","Cambridge",8,40,65,51,11,3,178,409
35016,"Cambridge/Cambridge"," 58","Cambridge",14,60,70,130,32,3,309,695
35016,"Cambridge/Cambridge"," 59","Cambridge",14,61,71,45,10,1,202,475
35016,"Cambridge/Cambridge"," 60","Cambridge",7,55,45,54,13,0,174,447
35016,"Cambridge/Cambridge"," 61","Cambridge",9,47,80,88,8,0,232,551
35016,"Cambridge/Cambridge"," 62","Cambridge",9,52,69,68,7,1,206,468
35016,"Cambridge/Cambridge"," 63","Cambridge",10,37,62,73,9,0,191,395
35016,"Cambridge/Cambridge"," 64","Cambridge",12,51,46,52,20,1,182,496
35016,"Cambridge/Cambridge"," 65","Cambridge",6,49,51,59,16,0,181,471
35016,"Cambridge/Cambridge"," 66","Cambridge",21,51,70,68,20,0,230,534
35016,"Cambridge/Cambridge"," 67","Cambridge",9,44,64,109,18,7,251,771
35016,"Cambridge/Cambridge"," 68","Cambridge",2,20,68,69,10,5,174,540
35016,"Cambridge/Cambridge"," 69","Cambridge",1,24,20,29,7,0,81,380
35016,"Cambridge/Cambridge"," 70","Cambridge",6,24,44,74,15,2,165,459
35016,"Cambridge/Cambridge"," 71","Cambridge",10,36,62,90,12,0,210,564
35016,"Cambridge/Cambridge"," 72","Cambridge",2,26,43,36,12,0,119,457
35016,"Cambridge/Cambridge"," 73","Cambridge",4,25,43,72,25,2,171,475
35016,"Cambridge/Cambridge"," 74","Cambridge",7,21,32,84,11,0,155,464
35016,"Cambridge/Cambridge"," 75","Cambridge",10,56,67,53,23,2,211,488
35016,"Cambridge/Cambridge"," 76","Cambridge",1,30,63,45,19,0,158,483
35016,"Cambridge/Cambridge"," 77","Cambridge",6,37,49,42,29,2,165,464
35016,"Cambridge/Cambridge"," 78","Cambridge",2,23,23,93,10,6,157,468
35016,"Cambridge/Cambridge"," 79","Cambridge",8,39,44,58,26,0,175,434
35016,"Cambridge/Cambridge"," 80","North Dumfries",5,21,129,66,8,0,229,443
35016,"Cambridge/Cambridge"," 81","North Dumfries",3,36,129,63,34,0,265,497
35016,"Cambridge/Cambridge"," 82","Cambridge",2,48,84,42,5,0,181,585
35016,"Cambridge/Cambridge"," 83","Cambridge",9,26,38,68,18,4,163,415
35016,"Cambridge/Cambridge"," 84","Cambridge",8,14,66,46,1,0,135,330
35016,"Cambridge/Cambridge"," 85","Cambridge",10,39,49,42,23,1,164,569
35016,"Cambridge/Cambridge"," 86","Cambridge",6,31,21,52,23,0,133,399
35016,"Cambridge/Cambridge"," 87","Cambridge",9,33,70,54,7,1,174,432
35016,"Cambridge/Cambridge"," 88","Cambridge",2,18,73,63,6,0,162,475
35016,"Cambridge/Cambridge"," 89","Cambridge",4,29,37,29,6,2,107,463
35016,"Cambridge/Cambridge"," 90","Cambridge",9,27,30,41,15,2,124,472
35016,"Cambridge/Cambridge"," 91","Cambridge",4,33,58,41,14,2,152,493
35016,"Cambridge/Cambridge"," 92","Cambridge",10,50,52,61,19,0,192,564
35016,"Cambridge/Cambridge"," 93","Cambridge",5,31,39,43,7,0,125,392
35016,"Cambridge/Cambridge"," 94","Cambridge",5,39,106,79,20,2,251,638
35016,"Cambridge/Cambridge"," 95","Cambridge",3,19,64,72,10,1,169,522
35016,"Cambridge/Cambridge"," 96","Cambridge",6,36,106,75,16,1,240,651
35016,"Cambridge/Cambridge"," 97","Cambridge",8,33,80,76,19,3,219,574
35016,"Cambridge/Cambridge"," 98","Cambridge",4,26,60,78,8,2,178,474
35016,"Cambridge/Cambridge"," 99","Cambridge",9,52,65,56,15,0,197,528
35016,"Cambridge/Cambridge"," 100","Cambridge",7,34,47,52,17,2,159,415
35016,"Cambridge/Cambridge"," 101","Cambridge",8,36,69,74,8,1,196,454
35016,"Cambridge/Cambridge"," 102","Cambridge",13,38,67,92,13,1,224,461
35016,"Cambridge/Cambridge"," 103","Cambridge",2,25,26,38,6,0,97,352
35016,"Cambridge/Cambridge"," 104","Cambridge",9,51,41,53,14,0,168,441
35016,"Cambridge/Cambridge"," 105","Cambridge",8,44,56,57,24,0,189,491
35016,"Cambridge/Cambridge"," 106","Cambridge",5,23,37,37,3,0,105,379
35016,"Cambridge/Cambridge"," 107","Cambridge",3,40,60,82,18,1,204,494
35016,"Cambridge/Cambridge"," 108","Cambridge",10,40,71,99,5,2,227,486
35016,"Cambridge/Cambridge"," 109","Cambridge",5,19,43,99,6,2,174,438
35016,"Cambridge/Cambridge"," 110","Cambridge",13,41,59,89,10,3,215,502
35016,"Cambridge/Cambridge"," 111","Cambridge",6,40,26,47,8,0,127,391
35016,"Cambridge/Cambridge"," 112","Cambridge",9,28,50,50,4,0,141,376
35016,"Cambridge/Cambridge"," 113","Cambridge",12,32,40,48,9,4,145,432
35016,"Cambridge/Cambridge"," 114","Cambridge",8,48,49,50,19,1,175,410
35016,"Cambridge/Cambridge"," 115","Cambridge",6,36,46,64,22,1,175,614
35016,"Cambridge/Cambridge"," 116","Cambridge",10,55,44,40,25,3,177,504
35016,"Cambridge/Cambridge"," 117","Cambridge",11,39,55,40,22,0,167,351
35016,"Cambridge/Cambridge"," 118","Cambridge",12,34,52,36,11,3,148,389
35016,"Cambridge/Cambridge"," 119","Cambridge",8,40,63,60,28,0,199,519
35016,"Cambridge/Cambridge"," 120","Cambridge",15,51,53,79,23,0,221,529
35016,"Cambridge/Cambridge"," 121","Cambridge",16,44,99,193,12,0,364,840
35016,"Cambridge/Cambridge"," 122","Cambridge",6,33,57,83,7,2,188,496
35016,"Cambridge/Cambridge"," 123","Cambridge",3,36,35,37,20,0,131,421
35016,"Cambridge/Cambridge"," 124","Cambridge",8,34,31,52,11,2,138,505
35016,"Cambridge/Cambridge"," 125","Cambridge",6,31,56,58,15,2,168,549
35016,"Cambridge/Cambridge"," 126","Cambridge",9,42,56,72,14,2,195,501
35016,"Cambridge/Cambridge"," 127","North Dumfries",5,24,65,35,16,3,148,391
35016,"Cambridge/Cambridge"," 128","Cambridge",7,30,58,60,15,0,170,503
35016,"Cambridge/Cambridge"," 129","Cambridge",7,30,54,63,15,0,169,464
35016,"Cambridge/Cambridge"," 130","Cambridge",5,33,55,70,19,3,185,533
35016,"Cambridge/Cambridge"," 131","Cambridge",10,33,30,51,9,1,134,385
35016,"Cambridge/Cambridge"," 132","Cambridge",4,21,62,45,23,0,155,445
35016,"Cambridge/Cambridge"," 133","Cambridge",8,23,63,77,13,0,184,448
35016,"Cambridge/Cambridge"," 134","Cambridge",6,31,53,80,8,1,179,429
35016,"Cambridge/Cambridge"," 135","Cambridge",8,39,127,82,18,2,276,617
35016,"Cambridge/Cambridge"," 136","Cambridge",6,34,77,88,14,6,225,535
35016,"Cambridge/Cambridge"," 137","Cambridge",4,27,64,46,11,0,152,366
35016,"Cambridge/Cambridge"," 138","Cambridge",10,39,74,86,20,1,230,561
35016,"Cambridge/Cambridge"," 139","Cambridge",4,37,93,66,21,3,224,494
35016,"Cambridge/Cambridge"," 140","Cambridge",9,41,115,96,11,0,272,593
35016,"Cambridge/Cambridge"," 141","Cambridge",7,44,69,58,28,3,209,505
35016,"Cambridge/Cambridge"," 142","Cambridge",5,28,40,42,21,0,136,462
35016,"Cambridge/Cambridge"," 143","Cambridge",11,50,26,31,20,0,138,513
35016,"Cambridge/Cambridge"," 144","Cambridge",11,29,83,94,11,0,228,562
35016,"Cambridge/Cambridge"," 145","Cambridge",4,28,39,71,12,0,154,449
35016,"Cambridge/Cambridge"," 146","Cambridge",8,17,70,61,7,1,164,445
35016,"Cambridge/Cambridge"," 147","Cambridge",8,49,53,93,19,1,223,494
35016,"Cambridge/Cambridge"," 148","Cambridge",7,51,85,72,13,4,232,631
35016,"Cambridge/Cambridge"," 149","Cambridge",10,49,93,72,27,0,251,637
35016,"Cambridge/Cambridge"," 150","Cambridge",10,35,98,84,17,0,244,613
35016,"Cambridge/Cambridge"," 151","Cambridge",10,49,80,76,16,0,231,587
35016,"Cambridge/Cambridge"," 152","Cambridge",8,54,68,92,24,1,247,565
35016,"Cambridge/Cambridge"," 153","Cambridge",4,31,47,53,18,1,154,411
35016,"Cambridge/Cambridge"," 154","Cambridge",4,26,40,47,9,1,127,354
35016,"Cambridge/Cambridge"," 155","Cambridge",4,12,46,37,7,1,107,342
35016,"Cambridge/Cambridge"," 156","Cambridge",3,22,34,23,2,0,84,385
35016,"Cambridge/Cambridge"," 157","Cambridge",6,24,26,54,10,0,120,365
35016,"Cambridge/Cambridge"," 158","Cambridge",4,19,36,25,12,0,96,345
35016,"Cambridge/Cambridge"," 159","Cambridge",4,19,34,57,13,1,128,415
35016,"Cambridge/Cambridge"," 160","Cambridge",1,15,36,48,7,1,108,373
35016,"Cambridge/Cambridge"," 161","Cambridge",2,20,51,54,6,0,133,400
35016,"Cambridge/Cambridge"," 162","Cambridge",6,56,56,74,18,1,211,501
35016,"Cambridge/Cambridge"," 163","Cambridge",7,34,76,84,15,0,216,520
35016,"Cambridge/Cambridge"," 164","Cambridge",11,33,51,65,11,0,171,429
35016,"Cambridge/Cambridge"," 165","Cambridge",1,27,31,40,6,0,105,365
35016,"Cambridge/Cambridge"," 166","Cambridge",8,34,71,46,8,2,169,523
35016,"Cambridge/Cambridge"," 167","North Dumfries",8,28,103,61,19,0,219,476
35016,"Cambridge/Cambridge"," 168","North Dumfries",6,27,105,57,12,1,208,462
35016,"Cambridge/Cambridge"," 169","North Dumfries",13,23,95,42,12,0,185,345
35016,"Cambridge/Cambridge"," 170","Brant",1,19,85,22,25,0,152,416
35016,"Cambridge/Cambridge"," 171","North Dumfries",5,20,75,44,9,1,154,345
35016,"Cambridge/Cambridge"," 172","North Dumfries",4,27,78,42,15,3,169,386
35016,"Cambridge/Cambridge"," 173","North Dumfries",8,22,64,52,10,2,158,340
35016,"Cambridge/Cambridge"," 174","North Dumfries",13,37,103,65,11,1,230,498
35016,"Cambridge/Cambridge"," 175","North Dumfries",6,18,57,49,4,0,134,358
35016,"Cambridge/Cambridge"," 176","North Dumfries",5,40,54,47,11,1,158,351
35016,"Cambridge/Cambridge"," 177","North Dumfries",12,31,42,44,10,0,139,288
35016,"Cambridge/Cambridge"," 178","North Dumfries",8,28,94,84,16,1,231,488
35016,"Cambridge/Cambridge"," 179","Brant",13,32,92,62,17,1,217,526
35016,"Cambridge/Cambridge"," 180","Brant",4,16,62,44,8,0,134,404
35016,"Cambridge/Cambridge"," 181","North Dumfries",17,62,118,110,18,2,327,740
35016,"Cambridge/Cambridge"," 182","North Dumfries",8,32,92,62,12,1,207,486
35016,"Cambridge/Cambridge"," 183","North Dumfries",10,28,66,82,15,0,201,508
35016,"Cambridge/Cambridge"," 184","North Dumfries",3,30,50,31,4,0,118,293
35016,"Cambridge/Cambridge"," 185","North Dumfries",4,15,39,48,7,0,113,262
35016,"Cambridge/Cambridge"," 186","North Dumfries",8,16,77,37,6,0,144,320
35016,"Cambridge/Cambridge"," 400","Cambridge",Merged with No./Fusionné avec le n°19,,,,,,,185
35016,"Cambridge/Cambridge"," 401","Cambridge",4,18,38,63,5,1,129,204
35016,"Cambridge/Cambridge"," 402","Cambridge",2,23,25,32,5,0,87,166
35016,"Cambridge/Cambridge"," 403","Cambridge",2,23,15,51,2,1,94,187
35016,"Cambridge/Cambridge"," 404","Cambridge",1,11,33,60,2,4,111,162
35016,"Cambridge/Cambridge"," 405","Cambridge",Merged with No./Fusionné avec le n°406,,,,,,,127
35016,"Cambridge/Cambridge"," 406","Cambridge",4,23,56,57,3,1,144,124
35016,"Cambridge/Cambridge"," 500","Mobile poll/Bureau itinérant",3,2,3,11,0,0,19,23
35016,"Cambridge/Cambridge"," 501","Mobile poll/Bureau itinérant",0,0,5,5,2,8,20,39
35016,"Cambridge/Cambridge"," 502","Mobile poll/Bureau itinérant",2,3,4,7,1,0,17,18
35016,"Cambridge/Cambridge"," 503","Mobile poll/Bureau itinérant",0,6,8,17,0,1,32,58
35016,"Cambridge/Cambridge"," 504","Cambridge",Merged with No./Fusionné avec le n°91,,,,,,,26
35016,"Cambridge/Cambridge"," 505","Mobile poll/Bureau itinérant",2,2,8,25,3,0,40,67
35016,"Cambridge/Cambridge"," 506","Mobile poll/Bureau itinérant",5,10,16,31,0,1,63,171
35016,"Cambridge/Cambridge"," 507","Mobile poll/Bureau itinérant",0,4,12,8,3,0,27,118
35016,"Cambridge/Cambridge"," 508","Mobile poll/Bureau itinérant",1,0,12,17,1,0,31,80
35016,"Cambridge/Cambridge"," 509","Mobile poll/Bureau itinérant",4,6,9,19,2,0,40,46
35016,"Cambridge/Cambridge"," 510","Mobile poll/Bureau itinérant",7,17,64,73,3,0,164,201
35016,"Cambridge/Cambridge"," 600","Cambridge",25,134,280,461,58,0,958,
35016,"Cambridge/Cambridge"," 601","Cambridge",38,146,380,461,92,4,1121,
