Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Sidney Coles,Phil De Luna,Stephanie Osadchuk,Peter Remedios,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 54","Toronto",72,12,8,117,8,1,218,464
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 55","Toronto",123,29,17,66,6,1,242,481
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 56","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,351
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 57","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,339
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 58","Toronto",71,29,14,91,6,0,211,490
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 59","Toronto",Merged with No./Fusionné avec le n°60,,,,,,,353
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 60","Toronto",96,30,12,88,4,1,231,411
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 61","Toronto",Merged with No./Fusionné avec le n°64,,,,,,,383
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 62","Toronto",Merged with No./Fusionné avec le n°80,,,,,,,441
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 63","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,356
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 64","Toronto",112,29,15,122,1,4,283,421
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 65","Toronto",164,67,17,84,13,2,347,300
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 66","Toronto",157,30,13,85,8,3,296,367
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 67","Toronto",81,11,13,32,4,0,141,400
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 68","Toronto",87,24,6,28,6,0,151,393
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 69","Toronto",160,30,18,81,9,4,302,392
