Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Medha Joshi,Ruby Sahota,Teresa Yeh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Brampton North/Brampton-Nord"," 1","Brampton",41,66,19,2,128,345
35010,"Brampton North/Brampton-Nord"," 2","Brampton",31,92,20,3,146,341
35010,"Brampton North/Brampton-Nord"," 3","Brampton",29,82,24,2,137,367
35010,"Brampton North/Brampton-Nord"," 4","Brampton",56,102,17,1,176,428
35010,"Brampton North/Brampton-Nord"," 5","Brampton",49,100,29,3,181,435
35010,"Brampton North/Brampton-Nord"," 6","Brampton",31,111,21,2,165,420
35010,"Brampton North/Brampton-Nord"," 7","Brampton",34,101,27,3,165,359
35010,"Brampton North/Brampton-Nord"," 8","Brampton",42,117,25,2,186,427
35010,"Brampton North/Brampton-Nord"," 9","Brampton",50,119,36,2,207,486
35010,"Brampton North/Brampton-Nord"," 10","Brampton",66,134,20,2,222,515
35010,"Brampton North/Brampton-Nord"," 11A","Brampton",47,100,15,3,165,443
35010,"Brampton North/Brampton-Nord"," 11B","Brampton",28,76,14,3,121,367
35010,"Brampton North/Brampton-Nord"," 11C","Brampton",65,78,9,1,153,468
35010,"Brampton North/Brampton-Nord"," 12","Brampton",83,144,27,0,254,496
35010,"Brampton North/Brampton-Nord"," 13","Brampton",54,135,27,2,218,572
35010,"Brampton North/Brampton-Nord"," 14","Brampton",50,142,32,2,226,616
35010,"Brampton North/Brampton-Nord"," 15","Brampton",45,82,28,2,157,376
35010,"Brampton North/Brampton-Nord"," 16","Brampton",51,110,38,0,199,406
35010,"Brampton North/Brampton-Nord"," 17","Brampton",59,97,20,0,176,421
35010,"Brampton North/Brampton-Nord"," 18","Brampton",41,84,37,2,164,400
35010,"Brampton North/Brampton-Nord"," 19","Brampton",41,101,42,0,184,380
35010,"Brampton North/Brampton-Nord"," 20","Brampton",43,98,35,1,177,453
35010,"Brampton North/Brampton-Nord"," 21","Brampton",23,96,21,0,140,334
35010,"Brampton North/Brampton-Nord"," 22","Brampton",22,82,21,4,129,373
35010,"Brampton North/Brampton-Nord"," 23","Brampton",34,109,21,4,168,386
35010,"Brampton North/Brampton-Nord"," 24","Brampton",50,132,24,4,210,405
35010,"Brampton North/Brampton-Nord"," 25","Brampton",26,69,22,0,117,364
35010,"Brampton North/Brampton-Nord"," 26","Brampton",28,81,17,4,130,381
35010,"Brampton North/Brampton-Nord"," 27","Brampton",51,95,21,3,170,568
35010,"Brampton North/Brampton-Nord"," 28","Brampton",39,96,32,0,167,384
35010,"Brampton North/Brampton-Nord"," 29","Brampton",25,67,18,1,111,363
35010,"Brampton North/Brampton-Nord"," 30","Brampton",23,104,18,4,149,432
35010,"Brampton North/Brampton-Nord"," 31","Brampton",24,49,20,0,93,324
35010,"Brampton North/Brampton-Nord"," 32","Brampton",43,116,24,2,185,385
35010,"Brampton North/Brampton-Nord"," 33","Brampton",32,102,38,0,172,422
35010,"Brampton North/Brampton-Nord"," 34","Brampton",46,80,33,0,159,382
35010,"Brampton North/Brampton-Nord"," 35","Brampton",32,126,21,0,179,419
35010,"Brampton North/Brampton-Nord"," 36","Brampton",56,100,23,2,181,417
35010,"Brampton North/Brampton-Nord"," 37","Brampton",48,91,35,1,175,421
35010,"Brampton North/Brampton-Nord"," 38","Brampton",38,88,9,1,136,412
35010,"Brampton North/Brampton-Nord"," 39","Brampton",38,70,13,3,124,289
35010,"Brampton North/Brampton-Nord"," 40","Brampton",38,80,19,3,140,403
35010,"Brampton North/Brampton-Nord"," 41","Brampton",68,61,25,3,157,368
35010,"Brampton North/Brampton-Nord"," 42","Brampton",43,91,26,0,160,354
35010,"Brampton North/Brampton-Nord"," 43","Brampton",62,92,35,0,189,417
35010,"Brampton North/Brampton-Nord"," 44","Brampton",44,92,18,0,154,336
35010,"Brampton North/Brampton-Nord"," 45","Brampton",37,90,23,0,150,393
35010,"Brampton North/Brampton-Nord"," 46","Brampton",58,139,27,0,224,430
35010,"Brampton North/Brampton-Nord"," 47","Brampton",59,87,42,0,188,383
35010,"Brampton North/Brampton-Nord"," 48","Brampton",42,68,21,1,132,388
35010,"Brampton North/Brampton-Nord"," 49","Brampton",21,58,33,1,113,337
35010,"Brampton North/Brampton-Nord"," 50","Brampton",63,94,27,4,188,499
35010,"Brampton North/Brampton-Nord"," 51","Brampton",29,95,23,3,150,422
35010,"Brampton North/Brampton-Nord"," 52","Brampton",49,131,40,9,229,489
35010,"Brampton North/Brampton-Nord"," 53","Brampton",26,114,25,5,170,425
35010,"Brampton North/Brampton-Nord"," 54","Brampton",50,84,22,5,161,499
35010,"Brampton North/Brampton-Nord"," 55","Brampton",30,50,13,3,96,326
35010,"Brampton North/Brampton-Nord"," 56","Brampton",34,87,30,3,154,383
35010,"Brampton North/Brampton-Nord"," 57","Brampton",58,108,31,0,197,441
35010,"Brampton North/Brampton-Nord"," 58","Brampton",62,67,37,0,166,383
35010,"Brampton North/Brampton-Nord"," 59","Brampton",81,92,32,1,206,445
35010,"Brampton North/Brampton-Nord"," 60","Brampton",58,88,39,0,185,393
35010,"Brampton North/Brampton-Nord"," 61","Brampton",64,74,28,0,166,346
35010,"Brampton North/Brampton-Nord"," 62","Brampton",42,95,30,2,169,423
35010,"Brampton North/Brampton-Nord"," 63","Brampton",19,62,18,2,101,318
35010,"Brampton North/Brampton-Nord"," 64","Brampton",21,65,14,1,101,340
35010,"Brampton North/Brampton-Nord"," 65","Brampton",31,68,18,3,120,371
35010,"Brampton North/Brampton-Nord"," 66","Brampton",29,72,9,0,110,336
35010,"Brampton North/Brampton-Nord"," 67","Brampton",49,111,28,1,189,516
35010,"Brampton North/Brampton-Nord"," 68","Brampton",19,56,19,2,96,281
35010,"Brampton North/Brampton-Nord"," 69","Brampton",35,58,19,0,112,548
35010,"Brampton North/Brampton-Nord"," 70","Brampton",31,40,10,0,81,449
35010,"Brampton North/Brampton-Nord"," 71A","Brampton",38,75,14,4,131,572
35010,"Brampton North/Brampton-Nord"," 71B","Brampton",35,53,18,0,106,519
35010,"Brampton North/Brampton-Nord"," 72","Brampton",41,96,29,0,166,434
35010,"Brampton North/Brampton-Nord"," 73","Brampton",62,127,36,5,230,464
35010,"Brampton North/Brampton-Nord"," 74","Brampton",39,75,18,2,134,337
35010,"Brampton North/Brampton-Nord"," 75","Brampton",27,86,15,2,130,354
35010,"Brampton North/Brampton-Nord"," 76","Brampton",65,110,26,1,202,463
35010,"Brampton North/Brampton-Nord"," 77","Brampton",39,92,25,3,159,460
35010,"Brampton North/Brampton-Nord"," 78","Brampton",44,91,23,0,158,393
35010,"Brampton North/Brampton-Nord"," 79","Brampton",68,91,40,2,201,433
35010,"Brampton North/Brampton-Nord"," 80","Brampton",53,85,31,1,170,390
35010,"Brampton North/Brampton-Nord"," 81","Brampton",91,75,38,5,209,477
35010,"Brampton North/Brampton-Nord"," 82","Brampton",57,77,39,2,175,391
35010,"Brampton North/Brampton-Nord"," 83","Brampton",37,68,16,1,122,353
35010,"Brampton North/Brampton-Nord"," 84","Brampton",42,79,32,3,156,353
35010,"Brampton North/Brampton-Nord"," 85","Brampton",31,39,16,0,86,290
35010,"Brampton North/Brampton-Nord"," 86","Brampton",105,79,32,0,216,503
35010,"Brampton North/Brampton-Nord"," 87","Brampton",79,46,21,3,149,406
35010,"Brampton North/Brampton-Nord"," 88","Brampton",64,80,18,0,162,426
35010,"Brampton North/Brampton-Nord"," 89","Brampton",96,103,26,0,225,468
35010,"Brampton North/Brampton-Nord"," 90","Brampton",82,89,28,1,200,552
35010,"Brampton North/Brampton-Nord"," 91","Brampton",56,66,12,1,135,422
35010,"Brampton North/Brampton-Nord"," 92","Brampton",60,83,28,6,177,448
35010,"Brampton North/Brampton-Nord"," 93","Brampton",53,68,43,1,165,358
35010,"Brampton North/Brampton-Nord"," 94","Brampton",55,114,49,1,219,509
35010,"Brampton North/Brampton-Nord"," 95","Brampton",62,80,32,1,175,420
35010,"Brampton North/Brampton-Nord"," 96","Brampton",70,107,36,0,213,481
35010,"Brampton North/Brampton-Nord"," 97","Brampton",35,76,27,0,138,306
35010,"Brampton North/Brampton-Nord"," 98","Brampton",82,69,33,1,185,431
35010,"Brampton North/Brampton-Nord"," 99","Brampton",69,82,24,0,175,411
35010,"Brampton North/Brampton-Nord"," 100","Brampton",40,78,18,5,141,463
35010,"Brampton North/Brampton-Nord"," 101","Brampton",28,107,15,0,150,488
35010,"Brampton North/Brampton-Nord"," 102","Brampton",41,76,16,0,133,335
35010,"Brampton North/Brampton-Nord"," 103","Brampton",42,102,21,0,165,410
35010,"Brampton North/Brampton-Nord"," 104","Brampton",58,125,33,3,219,472
35010,"Brampton North/Brampton-Nord"," 105","Brampton",31,106,29,2,168,379
35010,"Brampton North/Brampton-Nord"," 106","Brampton",26,76,12,0,114,341
35010,"Brampton North/Brampton-Nord"," 107A","Brampton",21,145,23,0,189,437
35010,"Brampton North/Brampton-Nord"," 107B","Brampton",32,122,20,1,175,421
35010,"Brampton North/Brampton-Nord"," 108","Brampton",35,94,17,1,147,424
35010,"Brampton North/Brampton-Nord"," 109","Brampton",49,116,41,2,208,456
35010,"Brampton North/Brampton-Nord"," 110","Brampton",46,83,33,0,162,377
35010,"Brampton North/Brampton-Nord"," 111","Brampton",36,65,24,2,127,304
35010,"Brampton North/Brampton-Nord"," 112","Brampton",69,105,43,2,219,527
35010,"Brampton North/Brampton-Nord"," 113","Brampton",49,97,25,9,180,419
35010,"Brampton North/Brampton-Nord"," 114","Brampton",48,63,36,1,148,371
35010,"Brampton North/Brampton-Nord"," 115","Brampton",68,63,28,2,161,435
35010,"Brampton North/Brampton-Nord"," 116","Brampton",64,60,31,0,155,334
35010,"Brampton North/Brampton-Nord"," 117","Brampton",63,62,39,0,164,346
35010,"Brampton North/Brampton-Nord"," 118","Brampton",16,67,17,0,100,300
35010,"Brampton North/Brampton-Nord"," 119","Brampton",54,49,26,1,130,397
35010,"Brampton North/Brampton-Nord"," 120","Brampton",28,55,21,2,106,293
35010,"Brampton North/Brampton-Nord"," 121","Brampton",42,60,17,2,121,373
35010,"Brampton North/Brampton-Nord"," 122","Brampton",45,61,22,1,129,305
35010,"Brampton North/Brampton-Nord"," 123","Brampton",62,70,39,2,173,392
35010,"Brampton North/Brampton-Nord"," 124","Brampton",45,94,26,0,165,525
35010,"Brampton North/Brampton-Nord"," 125","Brampton",70,65,22,1,158,395
35010,"Brampton North/Brampton-Nord"," 126","Brampton",35,100,35,5,175,427
35010,"Brampton North/Brampton-Nord"," 127","Brampton",56,117,46,1,220,516
35010,"Brampton North/Brampton-Nord"," 128","Brampton",79,123,26,2,230,457
35010,"Brampton North/Brampton-Nord"," 129","Brampton",55,88,31,0,174,423
35010,"Brampton North/Brampton-Nord"," 130","Brampton",68,112,50,7,237,499
35010,"Brampton North/Brampton-Nord"," 131","Brampton",50,57,27,1,135,336
35010,"Brampton North/Brampton-Nord"," 132","Brampton",59,63,32,3,157,339
35010,"Brampton North/Brampton-Nord"," 133","Brampton",50,50,18,1,119,332
35010,"Brampton North/Brampton-Nord"," 134","Brampton",50,61,49,2,162,402
35010,"Brampton North/Brampton-Nord"," 135","Brampton",55,49,36,0,140,368
35010,"Brampton North/Brampton-Nord"," 136","Brampton",56,64,16,1,137,374
35010,"Brampton North/Brampton-Nord"," 137","Brampton",94,112,28,0,234,488
35010,"Brampton North/Brampton-Nord"," 138","Brampton",79,99,21,1,200,422
35010,"Brampton North/Brampton-Nord"," 139","Brampton",78,145,39,3,265,575
35010,"Brampton North/Brampton-Nord"," 140","Brampton",61,58,22,0,141,397
35010,"Brampton North/Brampton-Nord"," 141","Brampton",58,56,32,0,146,405
35010,"Brampton North/Brampton-Nord"," 142","Brampton",72,67,23,1,163,390
35010,"Brampton North/Brampton-Nord"," 143","Brampton",97,104,29,1,231,568
35010,"Brampton North/Brampton-Nord"," 144","Brampton",83,75,21,1,180,460
35010,"Brampton North/Brampton-Nord"," 145","Brampton",89,101,47,0,237,550
35010,"Brampton North/Brampton-Nord"," 146","Brampton",102,108,29,1,240,507
35010,"Brampton North/Brampton-Nord"," 147","Brampton",61,80,35,1,177,429
35010,"Brampton North/Brampton-Nord"," 148","Brampton",73,90,26,0,189,441
35010,"Brampton North/Brampton-Nord"," 149","Brampton",62,148,41,5,256,559
35010,"Brampton North/Brampton-Nord"," 150","Brampton",37,52,30,0,119,309
35010,"Brampton North/Brampton-Nord"," 151","Brampton",74,115,38,3,230,632
35010,"Brampton North/Brampton-Nord"," 152","Brampton",56,56,34,0,146,369
35010,"Brampton North/Brampton-Nord"," 153","Brampton",41,77,27,5,150,454
35010,"Brampton North/Brampton-Nord"," 154","Brampton",82,131,35,2,250,563
35010,"Brampton North/Brampton-Nord"," 155","Brampton",43,83,20,4,150,342
35010,"Brampton North/Brampton-Nord"," 156","Brampton",56,115,43,2,216,492
35010,"Brampton North/Brampton-Nord"," 157","Brampton",43,73,25,1,142,381
35010,"Brampton North/Brampton-Nord"," 158","Brampton",32,90,22,2,146,362
35010,"Brampton North/Brampton-Nord"," 159","Brampton",31,37,25,0,93,337
35010,"Brampton North/Brampton-Nord"," 160","Brampton",38,51,32,0,121,406
35010,"Brampton North/Brampton-Nord"," 161","Brampton",45,55,19,1,120,391
35010,"Brampton North/Brampton-Nord"," 162","Brampton",36,47,25,0,108,386
35010,"Brampton North/Brampton-Nord"," 163","Brampton",21,64,20,1,106,359
35010,"Brampton North/Brampton-Nord"," 164","Brampton",46,78,24,3,151,446
35010,"Brampton North/Brampton-Nord"," 165","Brampton",47,67,26,1,141,360
35010,"Brampton North/Brampton-Nord"," 166","Brampton",43,92,44,0,179,443
35010,"Brampton North/Brampton-Nord"," 167","Brampton",20,102,23,0,145,462
35010,"Brampton North/Brampton-Nord"," 168","Brampton",37,84,33,3,157,477
35010,"Brampton North/Brampton-Nord"," 169","Brampton",62,106,18,0,186,536
35010,"Brampton North/Brampton-Nord"," 170","Brampton",31,69,21,0,121,394
35010,"Brampton North/Brampton-Nord"," 171","Brampton",40,66,26,0,132,413
35010,"Brampton North/Brampton-Nord"," 172","Brampton",57,63,20,1,141,401
