Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sitara Chiu,Ahmed Hussen,Hawa Mire,Sajanth Mohan,Nicki Ward,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35120,"York South--Weston/York-Sud--Weston"," 1","Toronto",9,103,26,53,1,2,194,398
35120,"York South--Weston/York-Sud--Weston"," 2","Toronto",19,139,22,3,78,0,261,484
35120,"York South--Weston/York-Sud--Weston"," 3","Toronto",8,90,23,47,2,0,170,449
35120,"York South--Weston/York-Sud--Weston"," 4","Toronto",10,103,19,98,5,3,238,482
35120,"York South--Weston/York-Sud--Weston"," 5","Toronto",3,54,9,32,3,0,101,298
35120,"York South--Weston/York-Sud--Weston"," 6","Toronto",5,81,20,31,3,4,144,424
35120,"York South--Weston/York-Sud--Weston"," 7","Toronto",6,103,20,51,4,1,185,520
35120,"York South--Weston/York-Sud--Weston"," 8","Toronto",4,40,7,35,3,2,91,350
35120,"York South--Weston/York-Sud--Weston"," 9","Toronto",3,54,13,42,2,3,117,373
35120,"York South--Weston/York-Sud--Weston"," 10","Toronto",11,41,14,28,1,0,95,313
35120,"York South--Weston/York-Sud--Weston"," 11","Toronto",6,68,12,51,2,1,140,487
35120,"York South--Weston/York-Sud--Weston"," 12","Toronto",5,53,9,22,1,2,92,274
35120,"York South--Weston/York-Sud--Weston"," 13","Toronto",22,71,14,45,7,3,162,500
35120,"York South--Weston/York-Sud--Weston"," 14","Toronto",7,74,12,48,1,1,143,459
35120,"York South--Weston/York-Sud--Weston"," 15","Toronto",2,67,5,36,1,2,113,351
35120,"York South--Weston/York-Sud--Weston"," 16","Toronto",4,64,9,43,3,0,123,396
35120,"York South--Weston/York-Sud--Weston"," 17","Toronto",3,45,13,22,1,1,85,280
35120,"York South--Weston/York-Sud--Weston"," 18","Toronto",4,58,8,24,2,1,97,372
35120,"York South--Weston/York-Sud--Weston"," 19","Toronto",6,74,30,39,4,0,153,428
35120,"York South--Weston/York-Sud--Weston"," 20","Toronto",3,91,13,35,3,1,146,415
35120,"York South--Weston/York-Sud--Weston"," 21","Toronto",3,73,14,26,0,0,116,393
35120,"York South--Weston/York-Sud--Weston"," 22","Toronto",5,71,23,28,6,0,133,497
35120,"York South--Weston/York-Sud--Weston"," 23","Toronto",1,46,5,33,3,1,89,332
35120,"York South--Weston/York-Sud--Weston"," 24","Toronto",14,114,30,64,14,0,236,518
35120,"York South--Weston/York-Sud--Weston"," 25","Toronto",10,94,25,42,6,1,178,393
35120,"York South--Weston/York-Sud--Weston"," 26","Toronto",10,82,25,69,4,0,190,426
35120,"York South--Weston/York-Sud--Weston"," 27","Toronto",14,76,23,66,4,0,183,461
35120,"York South--Weston/York-Sud--Weston"," 28","Toronto",14,87,36,72,7,0,216,421
35120,"York South--Weston/York-Sud--Weston"," 29","Toronto",10,140,34,42,2,0,228,577
35120,"York South--Weston/York-Sud--Weston"," 30","Toronto",7,92,29,56,0,0,184,453
