Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Androvic,Brian Dias,Johannes Kotilainen,Maleeha Shahid,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 45","Whitby",Merged with No./Fusionné avec le n°44,,,,,,,588
35114,"Whitby/Whitby"," 46","Whitby",8,61,4,91,171,0,335,558
35114,"Whitby/Whitby"," 47","Whitby",Merged with No./Fusionné avec le n°46,,,,,,,322
35114,"Whitby/Whitby"," 48","Whitby",11,38,5,77,135,1,267,493
35114,"Whitby/Whitby"," 49","Whitby",Merged with No./Fusionné avec le n°48,,,,,,,413
35114,"Whitby/Whitby"," 50","Whitby",13,49,11,83,104,0,260,524
35114,"Whitby/Whitby"," 51","Whitby",Merged with No./Fusionné avec le n°50,,,,,,,468
35114,"Whitby/Whitby"," 52","Whitby",7,20,4,67,81,1,180,568
35114,"Whitby/Whitby"," 53","Whitby",13,31,4,38,50,1,137,290
35114,"Whitby/Whitby"," 54","Whitby",Merged with No./Fusionné avec le n°43,,,,,,,404
35114,"Whitby/Whitby"," 55","Whitby",11,31,3,92,129,2,268,371
35114,"Whitby/Whitby"," 56","Whitby",12,24,4,65,118,1,224,763
35114,"Whitby/Whitby"," 57","Whitby",Merged with No./Fusionné avec le n°59,,,,,,,452
35114,"Whitby/Whitby"," 58","Whitby",5,16,3,27,47,0,98,357
35114,"Whitby/Whitby"," 59","Whitby",20,51,4,106,138,3,322,528
35114,"Whitby/Whitby"," 60","Whitby",16,54,4,73,135,2,284,499
35114,"Whitby/Whitby"," 61","Whitby",17,35,7,89,134,0,282,554
35114,"Whitby/Whitby"," 62","Whitby",Merged with No./Fusionné avec le n°61,,,,,,,503
35114,"Whitby/Whitby"," 63A","Whitby",8,44,1,108,124,0,285,839
35114,"Whitby/Whitby"," 63B","Whitby",9,31,4,84,175,1,304,829
35114,"Whitby/Whitby"," 64","Whitby",5,29,7,97,107,0,245,428
35114,"Whitby/Whitby"," 65","Whitby",Merged with No./Fusionné avec le n°64,,,,,,,405
35114,"Whitby/Whitby"," 66","Whitby",Merged with No./Fusionné avec le n°67,,,,,,,428
35114,"Whitby/Whitby"," 67","Whitby",9,46,5,110,141,2,313,477
35114,"Whitby/Whitby"," 68","Whitby",Merged with No./Fusionné avec le n°92,,,,,,,411
35114,"Whitby/Whitby"," 69","Whitby",Merged with No./Fusionné avec le n°70,,,,,,,420
35114,"Whitby/Whitby"," 70","Whitby",19,60,5,86,136,2,308,453
35114,"Whitby/Whitby"," 71","Whitby",11,49,0,97,121,2,280,511
35114,"Whitby/Whitby"," 72","Whitby",Merged with No./Fusionné avec le n°71,,,,,,,345
35114,"Whitby/Whitby"," 73","Whitby",Merged with No./Fusionné avec le n°74,,,,,,,387
35114,"Whitby/Whitby"," 74","Whitby",10,48,6,95,79,3,241,415
35114,"Whitby/Whitby"," 75","Whitby",7,55,5,152,170,2,391,585
35114,"Whitby/Whitby"," 76","Whitby",Merged with No./Fusionné avec le n°78,,,,,,,439
35114,"Whitby/Whitby"," 77","Whitby",Merged with No./Fusionné avec le n°75,,,,,,,406
35114,"Whitby/Whitby"," 78","Whitby",10,61,6,136,143,2,358,521
35114,"Whitby/Whitby"," 79A","Whitby",Merged with No./Fusionné avec le n°55,,,,,,,292
35114,"Whitby/Whitby"," 79B","Mobile poll/Bureau itinérant",1,10,2,9,24,1,47,78
35114,"Whitby/Whitby"," 80","Whitby",9,29,3,67,93,2,203,429
35114,"Whitby/Whitby"," 81","Whitby",Merged with No./Fusionné avec le n°80,,,,,,,300
35114,"Whitby/Whitby"," 82","Whitby",5,46,5,97,120,0,273,529
35114,"Whitby/Whitby"," 83","Whitby",Merged with No./Fusionné avec le n°82,,,,,,,422
35114,"Whitby/Whitby"," 84","Whitby",17,40,5,105,78,0,245,451
35114,"Whitby/Whitby"," 85","Whitby",Merged with No./Fusionné avec le n°84,,,,,,,445
35114,"Whitby/Whitby"," 86","Whitby",12,51,9,101,107,0,280,455
35114,"Whitby/Whitby"," 87","Whitby",15,61,9,105,131,1,322,485
35114,"Whitby/Whitby"," 88","Whitby",8,65,8,143,166,3,393,698
35114,"Whitby/Whitby"," 89","Whitby",Merged with No./Fusionné avec le n°88,,,,,,,382
35114,"Whitby/Whitby"," 90","Whitby",Merged with No./Fusionné avec le n°91,,,,,,,324
35114,"Whitby/Whitby"," 91","Whitby",10,58,10,129,148,3,358,553
35114,"Whitby/Whitby"," 92","Whitby",10,50,7,90,142,1,300,528
35114,"Whitby/Whitby"," 93","Whitby",Merged with No./Fusionné avec le n°94,,,,,,,240
35114,"Whitby/Whitby"," 94","Whitby",14,36,5,86,104,0,245,512
35114,"Whitby/Whitby"," 95","Whitby",11,51,12,104,182,1,361,625
35114,"Whitby/Whitby"," 96","Whitby",Merged with No./Fusionné avec le n°102,,,,,,,495
35114,"Whitby/Whitby"," 97","Whitby",11,26,1,111,125,5,279,478
35114,"Whitby/Whitby"," 98","Whitby",Merged with No./Fusionné avec le n°97,,,,,,,294
35114,"Whitby/Whitby"," 99","Whitby",15,53,8,85,151,4,316,516
35114,"Whitby/Whitby"," 100","Whitby",Merged with No./Fusionné avec le n°99,,,,,,,424
35114,"Whitby/Whitby"," 101","Whitby",9,41,1,37,85,0,173,515
35114,"Whitby/Whitby"," 102","Whitby",13,55,4,111,117,1,301,548
35114,"Whitby/Whitby"," 103","Whitby",Merged with No./Fusionné avec le n°120,,,,,,,362
35114,"Whitby/Whitby"," 104","Whitby",Merged with No./Fusionné avec le n°136,,,,,,,331
35114,"Whitby/Whitby"," 105","Whitby",Merged with No./Fusionné avec le n°120,,,,,,,317
35114,"Whitby/Whitby"," 106","Whitby",7,42,3,69,111,0,232,475
35114,"Whitby/Whitby"," 107","Whitby",16,49,6,101,176,4,352,705
35114,"Whitby/Whitby"," 108","Whitby",Merged with No./Fusionné avec le n°86,,,,,,,441
35114,"Whitby/Whitby"," 109","Whitby",16,46,3,77,142,1,285,440
35114,"Whitby/Whitby"," 110","Whitby",Merged with No./Fusionné avec le n°109,,,,,,,429
35114,"Whitby/Whitby"," 111","Whitby",6,26,2,101,91,0,226,431
35114,"Whitby/Whitby"," 112A","Whitby",4,28,4,63,152,0,251,781
