Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles-Eugène Bergeron,Carl Brochu,Ghislain Daigle,Guylaine Dumont,Jacques Gourde,Samuel Lamarche,Mariève Lemay,Benoit Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 53","Lévis",3,0,15,12,107,21,1,0,4,163,413
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 54","Lévis",2,0,30,21,122,38,1,11,1,226,470
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 55","Lévis",1,0,25,15,55,34,0,1,5,136,343
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 56","Lévis",2,0,33,15,112,50,1,5,5,223,490
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 57","Lévis",2,0,22,11,102,45,0,2,8,192,412
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 58","Lévis",0,0,7,9,85,28,0,8,0,137,371
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 59","Lévis",1,1,19,11,84,38,0,4,4,162,412
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 60","Lévis",2,0,20,4,46,26,2,3,1,104,379
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 61","Lévis",1,0,25,13,106,22,0,1,5,173,409
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 62A","Lévis",5,0,68,44,153,55,2,3,3,333,620
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 62B","Lévis",8,0,68,38,129,54,1,9,2,309,566
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 63A","Lévis",1,0,30,6,50,28,2,3,3,123,326
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 63B","Lévis",3,1,44,11,74,38,0,3,0,174,358
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 64","Lévis",2,0,28,13,38,23,0,8,2,114,311
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 65","Lévis",6,2,25,24,70,40,2,3,4,176,526
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 66","Lévis",3,0,20,7,74,30,2,1,1,138,345
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 67","Lévis",3,0,25,11,40,23,0,5,1,108,343
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 68","Lévis",0,0,15,10,32,26,0,4,1,88,377
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 69","Lévis",4,0,17,13,46,26,2,5,1,114,339
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 70","Lévis",2,1,51,10,99,38,0,3,3,207,533
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 71A","Lévis",3,0,35,14,48,25,0,3,2,130,307
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 71B","Lévis",0,0,19,15,46,20,1,4,2,107,280
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 72A","Lévis",3,0,28,13,59,29,0,2,0,134,286
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 72B","Lévis",1,0,32,19,62,28,0,0,1,143,283
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 73","Lévis",1,0,30,29,66,39,0,4,0,169,379
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 74A","Lévis",3,0,37,17,76,40,0,4,4,181,481
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 74B","Lévis",3,0,36,24,97,41,2,3,4,210,481
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 75A","Lévis",1,0,25,12,53,35,1,3,4,134,302
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 75B","Lévis",4,0,14,9,58,21,0,0,0,106,266
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 76","Lévis",5,0,15,11,43,26,2,4,5,111,320
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 77","Lévis",3,0,14,24,82,49,1,1,5,179,366
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 78","Lévis",2,0,38,14,86,35,0,4,4,183,437
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 79","Lévis",1,0,53,14,75,49,1,1,4,198,462
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 80","Lévis",0,0,27,11,68,24,0,6,4,140,331
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 81","Lévis",2,1,35,22,47,36,2,3,4,152,333
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 82","Lévis",2,0,32,10,83,45,2,3,3,180,427
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 83","Lévis",3,0,27,8,72,53,0,1,4,168,420
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 84","Lévis",1,0,36,18,86,36,1,1,3,182,404
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 85","Lévis",6,0,35,25,49,39,2,3,3,162,427
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 86","Lévis",3,0,23,15,96,42,0,4,2,185,393
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 87","Lévis",2,0,35,12,54,30,2,4,2,141,438
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 88","Lévis",5,0,25,8,49,45,1,1,1,135,324
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 89","Lévis",1,0,25,20,85,34,3,7,1,176,430
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 90","Lévis",2,0,23,25,62,44,1,1,2,160,369
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 91","Lévis",2,0,26,15,85,35,0,1,3,167,395
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 92","Lévis",3,0,33,9,88,44,0,1,3,181,428
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 93A","Lévis",3,0,16,12,85,27,0,2,0,145,299
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 93B","Lévis",2,0,23,11,81,28,0,2,0,147,289
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 94","Lévis",0,0,27,17,66,27,3,3,1,144,376
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 95","Lévis",2,0,27,14,83,31,1,4,1,163,459
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 96","Lévis",0,0,15,17,115,35,0,0,1,183,448
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 97A","Lévis",0,0,19,9,57,26,0,1,3,115,285
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 97B","Lévis",1,0,23,10,46,25,1,1,2,109,282
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 98","Lévis",2,1,21,20,83,34,1,8,3,173,436
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 99","Lévis",3,0,25,12,121,42,2,5,2,212,564
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 100","Lévis",2,1,19,16,106,35,1,7,7,194,466
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 101","Lévis",4,1,22,21,100,45,1,5,5,204,455
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 102","Lévis",1,0,24,10,96,27,1,5,0,164,343
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 103","Lévis",2,0,14,12,70,32,0,4,0,134,334
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 104","Lévis",3,1,27,25,87,36,1,7,2,189,504
