Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alejandra Bravo,Adrian Currie,Tara Dos Remedios,Julie Dzerowicz,Chai Kalevar,Jenny Kalimbet,Troy Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Davenport/Davenport"," 1","Toronto",42,3,8,66,0,22,0,0,141,466
35018,"Davenport/Davenport"," 2","Toronto",32,1,3,72,0,38,0,1,147,457
35018,"Davenport/Davenport"," 3","Toronto",21,4,6,83,0,44,0,0,158,508
35018,"Davenport/Davenport"," 4","Toronto",46,0,6,57,0,32,0,0,141,459
35018,"Davenport/Davenport"," 5","Toronto",40,5,2,96,0,29,2,0,174,480
35018,"Davenport/Davenport"," 6","Toronto",38,4,7,56,1,23,1,0,130,478
35018,"Davenport/Davenport"," 7","Toronto",34,6,8,77,0,18,0,6,149,539
35018,"Davenport/Davenport"," 8","Toronto",52,2,13,82,0,32,0,3,184,503
35018,"Davenport/Davenport"," 9","Toronto",43,2,6,59,0,21,0,0,131,473
35018,"Davenport/Davenport"," 10","Toronto",33,2,7,68,1,18,0,2,131,464
35018,"Davenport/Davenport"," 11","Toronto",95,4,21,181,3,45,1,3,353,508
35018,"Davenport/Davenport"," 12","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,,,473
35018,"Davenport/Davenport"," 13","Toronto",52,5,5,60,0,15,0,1,138,425
35018,"Davenport/Davenport"," 14","Toronto",47,4,3,52,1,22,0,2,131,453
35018,"Davenport/Davenport"," 15","Toronto",68,7,4,89,1,25,0,3,197,472
35018,"Davenport/Davenport"," 16","Toronto",58,5,4,82,1,27,0,1,178,465
35018,"Davenport/Davenport"," 17","Toronto",41,3,5,73,0,18,0,0,140,448
35018,"Davenport/Davenport"," 18","Toronto",46,3,4,67,2,11,0,0,133,396
35018,"Davenport/Davenport"," 19","Toronto",87,1,8,93,1,15,0,0,205,483
35018,"Davenport/Davenport"," 20","Toronto",43,5,8,74,1,12,1,1,145,495
35018,"Davenport/Davenport"," 21","Toronto",41,3,10,59,1,30,1,0,145,450
35018,"Davenport/Davenport"," 22","Toronto",58,4,6,75,1,24,0,0,168,501
35018,"Davenport/Davenport"," 23","Toronto",69,3,10,56,1,24,0,1,164,426
35018,"Davenport/Davenport"," 24","Toronto",45,4,8,116,1,41,0,5,220,447
35018,"Davenport/Davenport"," 25","Toronto",58,9,8,111,0,47,0,9,242,482
35018,"Davenport/Davenport"," 26","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,,,445
35018,"Davenport/Davenport"," 27","Toronto",83,7,10,133,0,37,0,13,283,509
35018,"Davenport/Davenport"," 28","Toronto",50,1,7,81,0,25,0,4,168,428
35018,"Davenport/Davenport"," 29","Toronto",Merged with No./Fusionné avec le n°27,,,,,,,,,429
35018,"Davenport/Davenport"," 30","Toronto",88,10,7,86,0,51,0,0,242,474
