Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Orrin Bliss,Jonathan Bridges,Tom Lipp,Michael MacLean,Getu Shawile,Martin Shields,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 32","Chestermere",2,18,2,27,42,156,4,251,719
48003,"Bow River/Bow River"," 33","Chestermere",0,13,1,47,48,73,5,187,512
48003,"Bow River/Bow River"," 34","Chestermere",4,14,3,31,30,91,3,176,586
48003,"Bow River/Bow River"," 35","Chestermere",0,10,0,24,18,88,1,141,364
48003,"Bow River/Bow River"," 36","Chestermere",3,9,0,16,8,85,0,121,425
48003,"Bow River/Bow River"," 37","Chestermere",1,3,0,13,14,83,0,114,414
48003,"Bow River/Bow River"," 38","Chestermere",2,6,1,22,30,58,1,120,421
48003,"Bow River/Bow River"," 39","Chestermere",3,5,2,19,17,78,0,124,444
48003,"Bow River/Bow River"," 40","Chestermere",3,14,2,28,15,93,1,156,490
48003,"Bow River/Bow River"," 41","Chestermere",1,9,1,16,11,99,0,137,443
48003,"Bow River/Bow River"," 42","Chestermere",4,13,0,12,25,83,2,139,515
48003,"Bow River/Bow River"," 43","Chestermere",3,2,1,9,7,88,0,110,409
48003,"Bow River/Bow River"," 44","Chestermere",4,8,1,13,14,78,0,118,351
48003,"Bow River/Bow River"," 45","Chestermere",0,8,1,38,36,97,1,181,590
48003,"Bow River/Bow River"," 46","Chestermere",0,6,1,11,17,83,1,119,343
48003,"Bow River/Bow River"," 47","Chestermere",4,5,1,39,34,97,1,181,646
48003,"Bow River/Bow River"," 48","Chestermere",1,9,2,20,44,118,1,195,596
48003,"Bow River/Bow River"," 49","Chestermere",1,11,2,17,17,98,0,146,450
48003,"Bow River/Bow River"," 50","Chestermere",0,4,0,7,7,20,0,38,141
48003,"Bow River/Bow River"," 51","Chestermere",0,16,1,15,21,89,2,144,503
48003,"Bow River/Bow River"," 52","Chestermere",6,18,3,21,70,140,0,258,632
48003,"Bow River/Bow River"," 53","Chestermere",3,7,0,25,16,120,0,171,524
48003,"Bow River/Bow River"," 54A","Chestermere",1,20,0,35,84,109,4,253,582
48003,"Bow River/Bow River"," 54B","Chestermere",1,11,0,14,70,91,1,188,524
48003,"Bow River/Bow River"," 55","Chestermere--Langdon",9,10,1,9,11,97,0,137,416
48003,"Bow River/Bow River"," 56","Nightingale",2,7,2,9,5,68,0,93,182
48003,"Bow River/Bow River"," 57","Strathmore",4,15,1,40,9,112,0,181,472
48003,"Bow River/Bow River"," 58","Strathmore",4,22,0,30,9,124,0,189,464
48003,"Bow River/Bow River"," 59","Strathmore",3,24,6,35,14,88,1,171,489
48003,"Bow River/Bow River"," 60","Strathmore",1,19,2,21,3,75,1,122,417
48003,"Bow River/Bow River"," 61","Strathmore",4,25,1,26,14,219,0,289,763
48003,"Bow River/Bow River"," 62","Strathmore",13,13,0,27,16,147,0,216,618
48003,"Bow River/Bow River"," 63","Strathmore",4,17,1,25,4,101,0,152,457
48003,"Bow River/Bow River"," 64","Strathmore",0,6,1,20,5,139,0,171,470
48003,"Bow River/Bow River"," 65","Strathmore",5,22,2,20,8,56,3,116,364
48003,"Bow River/Bow River"," 66","Strathmore",0,9,0,10,7,115,0,141,364
48003,"Bow River/Bow River"," 67","Strathmore",4,17,2,30,12,81,0,146,417
48003,"Bow River/Bow River"," 68","Strathmore",4,15,2,17,7,70,1,116,405
48003,"Bow River/Bow River"," 69","Strathmore",5,20,3,11,7,159,0,205,631
48003,"Bow River/Bow River"," 70","Strathmore",5,42,2,21,17,241,3,331,713
48003,"Bow River/Bow River"," 71","Lyalta",16,25,2,31,11,183,0,268,708
48003,"Bow River/Bow River"," 72","Strathmore",1,21,1,21,7,85,0,136,355
48003,"Bow River/Bow River"," 73","Strathmore",0,9,1,17,11,78,0,116,402
48003,"Bow River/Bow River"," 74","Strathmore",2,25,0,12,13,80,0,132,420
48003,"Bow River/Bow River"," 75","Strathmore",0,11,0,10,2,92,1,116,369
48003,"Bow River/Bow River"," 76","Strathmore",1,21,2,14,7,75,0,120,387
48003,"Bow River/Bow River"," 77","Strathmore",4,10,1,17,5,94,0,131,458
48003,"Bow River/Bow River"," 78","Strathmore",3,8,0,24,14,124,2,175,480
48003,"Bow River/Bow River"," 79","Strathmore",4,13,0,17,13,75,0,122,478
48003,"Bow River/Bow River"," 80","Strathmore",2,13,5,17,22,109,1,169,473
48003,"Bow River/Bow River"," 81","Strathmore",3,32,2,27,18,138,0,220,646
48003,"Bow River/Bow River"," 82","Strathmore",4,21,3,33,18,95,1,175,500
48003,"Bow River/Bow River"," 83","Namaka",14,47,1,18,14,263,1,358,651
48003,"Bow River/Bow River"," 84","Standard",4,29,0,15,12,158,0,218,308
48003,"Bow River/Bow River"," 85","Chancellor",3,17,1,2,6,118,0,147,267
48003,"Bow River/Bow River"," 86","Langdon",9,16,3,8,19,94,0,149,396
48003,"Bow River/Bow River"," 87","Bennett",5,24,4,18,11,141,0,203,522
48003,"Bow River/Bow River"," 88","Langdon",3,23,2,36,28,168,1,261,541
48003,"Bow River/Bow River"," 89","Langdon",2,14,1,41,11,143,0,212,399
48003,"Bow River/Bow River"," 90","Langdon",6,32,5,31,7,188,1,270,548
48003,"Bow River/Bow River"," 91","Langdon",5,29,2,44,17,253,0,350,649
48003,"Bow River/Bow River"," 92","Langdon",0,10,3,21,4,81,0,119,215
