Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Felian,Mimi Lee,Mary Ng,Ilia Pashaev,Paul Sahbaz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Markham--Thornhill/Markham--Thornhill"," 1","Markham",44,2,105,3,9,1,164,405
35055,"Markham--Thornhill/Markham--Thornhill"," 2","Markham",38,2,93,1,13,0,147,358
35055,"Markham--Thornhill/Markham--Thornhill"," 3","Markham",39,1,99,0,18,1,158,418
35055,"Markham--Thornhill/Markham--Thornhill"," 4","Markham",71,3,137,7,11,1,230,485
35055,"Markham--Thornhill/Markham--Thornhill"," 5","Markham",63,5,129,2,11,6,216,576
35055,"Markham--Thornhill/Markham--Thornhill"," 6","Markham",55,1,115,1,21,0,193,522
35055,"Markham--Thornhill/Markham--Thornhill"," 7","Markham",60,1,160,3,25,4,253,618
35055,"Markham--Thornhill/Markham--Thornhill"," 8","Markham",22,3,93,1,10,2,131,442
35055,"Markham--Thornhill/Markham--Thornhill"," 9","Markham",42,3,142,0,26,2,215,565
35055,"Markham--Thornhill/Markham--Thornhill"," 10","Markham",13,5,123,1,6,0,148,431
35055,"Markham--Thornhill/Markham--Thornhill"," 11","Markham",28,3,126,0,28,1,186,473
35055,"Markham--Thornhill/Markham--Thornhill"," 12","Markham",34,6,116,4,22,8,190,511
35055,"Markham--Thornhill/Markham--Thornhill"," 13","Markham",27,2,140,0,11,1,181,538
35055,"Markham--Thornhill/Markham--Thornhill"," 14","Markham",13,2,140,0,15,2,172,461
35055,"Markham--Thornhill/Markham--Thornhill"," 15","Markham",30,2,165,4,28,1,230,609
35055,"Markham--Thornhill/Markham--Thornhill"," 16","Markham",18,2,143,1,22,3,189,550
35055,"Markham--Thornhill/Markham--Thornhill"," 17A","Markham",31,4,153,1,18,0,207,471
35055,"Markham--Thornhill/Markham--Thornhill"," 17B","Markham",47,9,138,4,17,2,217,527
35055,"Markham--Thornhill/Markham--Thornhill"," 18","Markham",25,6,128,1,18,0,178,413
35055,"Markham--Thornhill/Markham--Thornhill"," 19A","Markham",28,4,134,1,10,1,178,443
35055,"Markham--Thornhill/Markham--Thornhill"," 19B","Markham",38,2,139,0,25,2,206,502
35055,"Markham--Thornhill/Markham--Thornhill"," 20","Markham",44,5,177,1,22,2,251,527
35055,"Markham--Thornhill/Markham--Thornhill"," 21","Markham",23,1,85,1,9,2,121,294
35055,"Markham--Thornhill/Markham--Thornhill"," 22","Markham",45,8,174,3,26,12,268,562
35055,"Markham--Thornhill/Markham--Thornhill"," 23","Markham",18,0,95,0,8,0,121,358
35055,"Markham--Thornhill/Markham--Thornhill"," 24","Markham",38,1,106,2,13,0,160,455
35055,"Markham--Thornhill/Markham--Thornhill"," 25","Markham",48,4,110,2,18,3,185,586
35055,"Markham--Thornhill/Markham--Thornhill"," 26","Markham",21,3,90,0,11,1,126,384
35055,"Markham--Thornhill/Markham--Thornhill"," 27","Markham",36,3,135,2,36,0,212,578
35055,"Markham--Thornhill/Markham--Thornhill"," 28","Markham",15,0,70,2,3,1,91,325
35055,"Markham--Thornhill/Markham--Thornhill"," 29","Markham",42,4,55,1,11,3,116,365
35055,"Markham--Thornhill/Markham--Thornhill"," 30","Markham",37,2,83,0,17,0,139,442
35055,"Markham--Thornhill/Markham--Thornhill"," 31","Markham",Merged with No./Fusionné avec le n°35,,,,,,,357
35055,"Markham--Thornhill/Markham--Thornhill"," 32","Markham",Merged with No./Fusionné avec le n°33,,,,,,,354
35055,"Markham--Thornhill/Markham--Thornhill"," 33","Markham",41,2,155,5,27,2,232,391
35055,"Markham--Thornhill/Markham--Thornhill"," 34","Markham",8,3,85,0,15,2,113,443
35055,"Markham--Thornhill/Markham--Thornhill"," 35","Markham",52,2,196,2,17,1,270,376
35055,"Markham--Thornhill/Markham--Thornhill"," 36","Markham",30,1,101,3,26,1,162,432
35055,"Markham--Thornhill/Markham--Thornhill"," 37","Markham",32,2,115,3,19,0,171,451
35055,"Markham--Thornhill/Markham--Thornhill"," 38","Markham",37,2,100,3,10,6,158,508
35055,"Markham--Thornhill/Markham--Thornhill"," 39","Markham",37,6,131,0,11,2,187,546
35055,"Markham--Thornhill/Markham--Thornhill"," 40","Markham",16,3,113,4,16,2,154,513
35055,"Markham--Thornhill/Markham--Thornhill"," 41","Markham",66,1,168,6,30,1,272,348
35055,"Markham--Thornhill/Markham--Thornhill"," 42","Markham",54,3,94,2,14,2,169,496
35055,"Markham--Thornhill/Markham--Thornhill"," 43","Markham",60,3,149,5,27,0,244,395
35055,"Markham--Thornhill/Markham--Thornhill"," 44","Markham",28,1,96,1,13,2,141,494
35055,"Markham--Thornhill/Markham--Thornhill"," 45","Markham",Merged with No./Fusionné avec le n°43,,,,,,,357
35055,"Markham--Thornhill/Markham--Thornhill"," 46","Markham",Merged with No./Fusionné avec le n°53,,,,,,,346
35055,"Markham--Thornhill/Markham--Thornhill"," 47","Markham",19,1,148,6,13,1,188,505
35055,"Markham--Thornhill/Markham--Thornhill"," 48","Markham",23,3,108,1,13,0,148,454
35055,"Markham--Thornhill/Markham--Thornhill"," 49","Markham",Merged with No./Fusionné avec le n°52,,,,,,,374
35055,"Markham--Thornhill/Markham--Thornhill"," 50","Markham",35,5,85,5,19,1,150,542
35055,"Markham--Thornhill/Markham--Thornhill"," 51","Markham",28,4,90,4,20,0,146,495
35055,"Markham--Thornhill/Markham--Thornhill"," 52","Markham",45,5,146,5,17,1,219,426
35055,"Markham--Thornhill/Markham--Thornhill"," 53","Markham",49,7,110,2,20,3,191,439
35055,"Markham--Thornhill/Markham--Thornhill"," 54","Markham",27,7,108,0,24,1,167,453
35055,"Markham--Thornhill/Markham--Thornhill"," 55","Markham",45,6,126,7,21,1,206,482
35055,"Markham--Thornhill/Markham--Thornhill"," 56","Markham",46,4,146,2,15,4,217,578
35055,"Markham--Thornhill/Markham--Thornhill"," 57","Markham",Merged with No./Fusionné avec le n°41,,,,,,,315
35055,"Markham--Thornhill/Markham--Thornhill"," 58","Markham",36,5,155,3,17,1,217,514
35055,"Markham--Thornhill/Markham--Thornhill"," 59","Markham",40,2,128,1,22,1,194,491
35055,"Markham--Thornhill/Markham--Thornhill"," 60","Markham",26,1,136,1,22,0,186,542
35055,"Markham--Thornhill/Markham--Thornhill"," 61","Markham",50,5,188,0,26,2,271,441
35055,"Markham--Thornhill/Markham--Thornhill"," 62","Markham",37,2,146,2,20,0,207,514
35055,"Markham--Thornhill/Markham--Thornhill"," 63","Markham",Merged with No./Fusionné avec le n°73,,,,,,,327
35055,"Markham--Thornhill/Markham--Thornhill"," 64","Markham",Merged with No./Fusionné avec le n°69,,,,,,,358
35055,"Markham--Thornhill/Markham--Thornhill"," 65","Markham",28,1,86,0,15,2,132,332
35055,"Markham--Thornhill/Markham--Thornhill"," 66","Markham",30,4,103,5,23,5,170,469
35055,"Markham--Thornhill/Markham--Thornhill"," 67","Markham",41,3,100,5,22,0,171,492
35055,"Markham--Thornhill/Markham--Thornhill"," 68","Markham",43,3,144,2,22,4,218,542
35055,"Markham--Thornhill/Markham--Thornhill"," 69","Markham",69,7,214,11,31,1,333,383
35055,"Markham--Thornhill/Markham--Thornhill"," 70","Markham",34,0,80,1,6,1,122,421
35055,"Markham--Thornhill/Markham--Thornhill"," 71","Markham",Merged with No./Fusionné avec le n°61,,,,,,,316
35055,"Markham--Thornhill/Markham--Thornhill"," 72","Markham",38,6,104,6,18,1,173,480
35055,"Markham--Thornhill/Markham--Thornhill"," 73","Markham",47,5,172,3,33,2,262,406
35055,"Markham--Thornhill/Markham--Thornhill"," 74","Markham",16,1,55,0,16,0,88,411
35055,"Markham--Thornhill/Markham--Thornhill"," 75","Markham",Merged with No./Fusionné avec le n°81,,,,,,,374
35055,"Markham--Thornhill/Markham--Thornhill"," 76","Markham",Merged with No./Fusionné avec le n°78,,,,,,,356
35055,"Markham--Thornhill/Markham--Thornhill"," 77","Markham",22,3,95,2,22,1,145,452
