Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roberta L Abbott,Michael Barrett,Alex Cassell,Lorraine Rekmans,Michelle Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 49","Merrickville-Wolford",53,51,8,7,35,1,155,406
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 50","Merrickville-Wolford",60,91,12,7,26,1,197,494
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 51","Merrickville-Wolford",24,56,2,4,13,1,100,316
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 52","Merrickville-Wolford",26,78,8,4,30,1,147,351
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 53","Merrickville-Wolford",30,69,13,0,33,0,145,354
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 54","Augusta",19,111,25,7,32,0,194,347
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 55","Augusta",22,103,7,1,13,0,146,255
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 56","Augusta",7,137,17,6,28,1,196,444
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 57","Edwardsburgh/Cardinal",58,155,22,6,30,0,271,482
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 58","Edwardsburgh/Cardinal",28,82,6,1,10,4,131,352
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 59","Edwardsburgh/Cardinal",35,124,14,4,31,1,209,402
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 60","Rideau Lakes",30,98,9,8,31,0,176,476
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 61","Rideau Lakes",24,74,10,1,19,0,128,363
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 62","Rideau Lakes",15,61,10,1,13,1,101,357
