Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Long,Ann McAllister,Mel Norton,Don Paulin,Nicholas Pereira,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--Rothesay/Saint John--Rothesay"," 1","Rothesay",75,1,35,10,5,2,128,350
13009,"Saint John--Rothesay/Saint John--Rothesay"," 2","Rothesay",65,1,58,18,0,1,143,397
13009,"Saint John--Rothesay/Saint John--Rothesay"," 3","Rothesay",91,5,80,29,21,0,226,632
13009,"Saint John--Rothesay/Saint John--Rothesay"," 4","Rothesay",73,9,37,29,11,1,160,386
13009,"Saint John--Rothesay/Saint John--Rothesay"," 5","Rothesay",57,5,40,11,2,1,116,328
13009,"Saint John--Rothesay/Saint John--Rothesay"," 6","Rothesay",34,6,29,16,5,1,91,330
13009,"Saint John--Rothesay/Saint John--Rothesay"," 7","Rothesay",50,4,29,13,9,2,107,333
13009,"Saint John--Rothesay/Saint John--Rothesay"," 8","Rothesay",59,4,58,34,19,1,175,411
13009,"Saint John--Rothesay/Saint John--Rothesay"," 9","Rothesay",70,3,77,30,8,0,188,460
13009,"Saint John--Rothesay/Saint John--Rothesay"," 10","Rothesay",92,4,54,27,6,0,183,419
13009,"Saint John--Rothesay/Saint John--Rothesay"," 11","Rothesay",82,9,68,30,11,2,202,461
13009,"Saint John--Rothesay/Saint John--Rothesay"," 12","Rothesay",99,5,52,15,8,0,179,598
13009,"Saint John--Rothesay/Saint John--Rothesay"," 13","Rothesay",57,1,28,17,3,0,106,374
13009,"Saint John--Rothesay/Saint John--Rothesay"," 14","Rothesay",78,10,57,22,9,1,177,511
13009,"Saint John--Rothesay/Saint John--Rothesay"," 15","Rothesay",78,1,39,14,3,1,136,460
13009,"Saint John--Rothesay/Saint John--Rothesay"," 16","Rothesay",71,2,63,17,7,0,160,445
13009,"Saint John--Rothesay/Saint John--Rothesay"," 17","Rothesay",73,7,62,8,3,1,154,459
13009,"Saint John--Rothesay/Saint John--Rothesay"," 18","Saint John",61,3,53,26,10,1,154,373
13009,"Saint John--Rothesay/Saint John--Rothesay"," 19","Saint John",59,8,70,25,3,2,167,425
13009,"Saint John--Rothesay/Saint John--Rothesay"," 20","Saint John",61,2,33,27,6,0,129,367
13009,"Saint John--Rothesay/Saint John--Rothesay"," 21","Saint John",52,4,56,26,19,2,159,405
13009,"Saint John--Rothesay/Saint John--Rothesay"," 22","Rothesay",89,2,50,11,4,1,157,435
13009,"Saint John--Rothesay/Saint John--Rothesay"," 23","Rothesay",62,2,38,14,3,0,119,338
13009,"Saint John--Rothesay/Saint John--Rothesay"," 24","Rothesay",109,5,70,19,5,0,208,504
13009,"Saint John--Rothesay/Saint John--Rothesay"," 25","Rothesay",66,8,50,8,1,3,136,301
13009,"Saint John--Rothesay/Saint John--Rothesay"," 26","Rothesay",117,0,74,18,4,0,213,416
13009,"Saint John--Rothesay/Saint John--Rothesay"," 27","Saint John",80,8,61,32,20,0,201,586
13009,"Saint John--Rothesay/Saint John--Rothesay"," 28","Saint John",65,4,42,29,13,0,153,509
13009,"Saint John--Rothesay/Saint John--Rothesay"," 29","Saint John",77,9,75,32,20,2,215,564
13009,"Saint John--Rothesay/Saint John--Rothesay"," 30","Saint John",61,1,32,18,0,0,112,359
13009,"Saint John--Rothesay/Saint John--Rothesay"," 31","Saint John",55,4,42,44,22,0,167,580
13009,"Saint John--Rothesay/Saint John--Rothesay"," 32","Saint John",40,0,24,20,7,1,92,367
13009,"Saint John--Rothesay/Saint John--Rothesay"," 33","Saint John",40,1,23,23,12,0,99,366
13009,"Saint John--Rothesay/Saint John--Rothesay"," 34","Saint John",57,3,58,32,11,0,161,477
13009,"Saint John--Rothesay/Saint John--Rothesay"," 35","Saint John",51,5,34,21,12,0,123,436
13009,"Saint John--Rothesay/Saint John--Rothesay"," 36","Saint John",46,2,40,23,12,0,123,349
13009,"Saint John--Rothesay/Saint John--Rothesay"," 37","Saint John",41,5,34,7,1,1,89,354
13009,"Saint John--Rothesay/Saint John--Rothesay"," 38","Saint John",69,4,51,19,15,1,159,519
13009,"Saint John--Rothesay/Saint John--Rothesay"," 39","Saint John",69,3,29,13,8,0,122,456
13009,"Saint John--Rothesay/Saint John--Rothesay"," 40","Saint John",57,3,36,26,11,2,135,420
13009,"Saint John--Rothesay/Saint John--Rothesay"," 41","Saint John",43,1,34,12,2,0,92,338
