Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Clarisse Berger,Maxime Boivin,Élisabeth Brière,Ensaf Haidar,Marika Lalime,Marcela Niculescu,Andrea Winters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Sherbrooke/Sherbrooke"," 1","Sherbrooke",4,0,45,37,26,6,28,0,146,486
24073,"Sherbrooke/Sherbrooke"," 2","Sherbrooke",5,1,58,36,33,4,32,1,170,452
24073,"Sherbrooke/Sherbrooke"," 3","Sherbrooke",3,1,59,63,23,5,22,1,177,430
24073,"Sherbrooke/Sherbrooke"," 4","Sherbrooke",4,1,38,67,20,2,29,1,162,459
24073,"Sherbrooke/Sherbrooke"," 5","Sherbrooke",5,0,65,57,19,4,21,5,176,471
24073,"Sherbrooke/Sherbrooke"," 6","Sherbrooke",3,4,21,31,26,5,11,4,105,414
24073,"Sherbrooke/Sherbrooke"," 7","Sherbrooke",2,1,43,44,17,1,26,4,138,428
24073,"Sherbrooke/Sherbrooke"," 8","Sherbrooke",6,0,62,53,28,3,23,3,178,454
24073,"Sherbrooke/Sherbrooke"," 9A","Sherbrooke",2,3,28,37,23,6,16,7,122,291
24073,"Sherbrooke/Sherbrooke"," 9B","Sherbrooke",5,1,31,35,10,1,20,5,108,289
24073,"Sherbrooke/Sherbrooke"," 10","Sherbrooke",1,3,28,34,33,6,17,4,126,422
24073,"Sherbrooke/Sherbrooke"," 11","Sherbrooke",3,1,36,56,17,4,38,6,161,445
24073,"Sherbrooke/Sherbrooke"," 12","Sherbrooke",3,8,45,62,29,3,24,4,178,462
24073,"Sherbrooke/Sherbrooke"," 13A","Sherbrooke",3,2,30,34,16,6,27,2,120,342
24073,"Sherbrooke/Sherbrooke"," 13B","Sherbrooke",2,3,45,35,12,6,12,0,115,345
24073,"Sherbrooke/Sherbrooke"," 14","Sherbrooke",2,1,29,31,12,3,16,4,98,349
24073,"Sherbrooke/Sherbrooke"," 15","Sherbrooke",3,2,31,29,23,7,20,4,119,474
24073,"Sherbrooke/Sherbrooke"," 16","Sherbrooke",5,3,42,68,21,3,23,9,174,476
24073,"Sherbrooke/Sherbrooke"," 17","Sherbrooke",4,0,30,44,13,4,8,1,104,433
24073,"Sherbrooke/Sherbrooke"," 18A","Sherbrooke",8,5,35,37,26,5,16,5,137,408
24073,"Sherbrooke/Sherbrooke"," 18B","Sherbrooke",2,5,59,36,43,8,23,6,182,394
24073,"Sherbrooke/Sherbrooke"," 19A","Sherbrooke",2,2,30,23,12,4,16,1,90,332
24073,"Sherbrooke/Sherbrooke"," 19B","Sherbrooke",1,1,45,38,28,2,28,3,146,326
24073,"Sherbrooke/Sherbrooke"," 20","Sherbrooke",5,0,41,32,18,4,24,3,127,393
24073,"Sherbrooke/Sherbrooke"," 21","Sherbrooke",2,5,49,35,18,3,18,4,134,377
24073,"Sherbrooke/Sherbrooke"," 22","Sherbrooke",2,5,23,22,5,3,16,2,78,406
24073,"Sherbrooke/Sherbrooke"," 23","Sherbrooke",4,3,41,21,20,7,7,3,106,397
24073,"Sherbrooke/Sherbrooke"," 24A","Sherbrooke",1,4,31,23,18,8,16,2,103,296
24073,"Sherbrooke/Sherbrooke"," 24B","Sherbrooke",2,0,35,30,15,3,16,2,103,299
24073,"Sherbrooke/Sherbrooke"," 25","Sherbrooke",1,3,40,29,13,7,21,0,114,394
24073,"Sherbrooke/Sherbrooke"," 26","Sherbrooke",4,3,39,25,10,5,13,2,101,451
24073,"Sherbrooke/Sherbrooke"," 27","Sherbrooke",3,3,57,77,18,9,21,0,188,421
24073,"Sherbrooke/Sherbrooke"," 28","Sherbrooke",3,4,39,43,24,6,18,8,145,437
24073,"Sherbrooke/Sherbrooke"," 29","Sherbrooke",1,3,44,42,23,7,17,6,143,380
24073,"Sherbrooke/Sherbrooke"," 30","Sherbrooke",3,1,33,29,23,4,10,2,105,368
24073,"Sherbrooke/Sherbrooke"," 31","Sherbrooke",4,3,34,24,22,11,15,5,118,379
24073,"Sherbrooke/Sherbrooke"," 32","Sherbrooke",5,3,28,16,22,6,10,3,93,370
24073,"Sherbrooke/Sherbrooke"," 33","Sherbrooke",6,0,46,24,35,6,25,1,143,437
24073,"Sherbrooke/Sherbrooke"," 34","Sherbrooke",2,6,33,18,33,8,12,2,114,412
24073,"Sherbrooke/Sherbrooke"," 35","Sherbrooke",3,4,25,24,18,4,14,3,95,356
24073,"Sherbrooke/Sherbrooke"," 36","Sherbrooke",7,4,28,20,17,3,7,3,89,398
24073,"Sherbrooke/Sherbrooke"," 37","Sherbrooke",4,2,34,29,16,6,13,3,107,357
24073,"Sherbrooke/Sherbrooke"," 38","Sherbrooke",2,1,27,37,31,2,8,5,113,353
24073,"Sherbrooke/Sherbrooke"," 39","Sherbrooke",4,3,34,31,17,5,20,1,115,431
24073,"Sherbrooke/Sherbrooke"," 40","Sherbrooke",4,3,23,25,16,4,9,0,84,370
24073,"Sherbrooke/Sherbrooke"," 41","Sherbrooke",7,4,26,30,26,8,16,5,122,370
24073,"Sherbrooke/Sherbrooke"," 42","Sherbrooke",11,2,93,47,38,9,23,2,225,454
24073,"Sherbrooke/Sherbrooke"," 43","Sherbrooke",14,0,66,38,22,1,4,1,146,392
24073,"Sherbrooke/Sherbrooke"," 44","Sherbrooke",6,1,39,37,39,2,17,2,143,347
24073,"Sherbrooke/Sherbrooke"," 45","Sherbrooke",8,0,91,35,26,2,22,2,186,418
24073,"Sherbrooke/Sherbrooke"," 46","Sherbrooke",5,4,49,42,34,2,10,1,147,393
24073,"Sherbrooke/Sherbrooke"," 47","Sherbrooke",7,1,79,58,22,4,59,6,236,479
24073,"Sherbrooke/Sherbrooke"," 48","Sherbrooke",5,1,49,53,22,3,18,5,156,426
24073,"Sherbrooke/Sherbrooke"," 49","Sherbrooke",1,2,73,85,25,2,14,4,206,436
24073,"Sherbrooke/Sherbrooke"," 50","Sherbrooke",2,1,48,44,15,2,24,2,138,386
24073,"Sherbrooke/Sherbrooke"," 51","Sherbrooke",1,2,36,45,11,7,21,6,129,386
24073,"Sherbrooke/Sherbrooke"," 52","Sherbrooke",3,0,62,58,16,8,20,3,170,439
24073,"Sherbrooke/Sherbrooke"," 53","Sherbrooke",5,0,61,71,19,3,21,6,186,431
24073,"Sherbrooke/Sherbrooke"," 54","Sherbrooke",1,1,47,36,12,5,15,5,122,398
24073,"Sherbrooke/Sherbrooke"," 55","Sherbrooke",1,2,85,47,18,3,28,1,185,419
24073,"Sherbrooke/Sherbrooke"," 56","Sherbrooke",4,1,61,60,22,5,32,2,187,430
24073,"Sherbrooke/Sherbrooke"," 57","Sherbrooke",7,0,58,62,29,3,28,2,189,530
24073,"Sherbrooke/Sherbrooke"," 58","Sherbrooke",6,0,43,45,40,8,15,6,163,416
24073,"Sherbrooke/Sherbrooke"," 59","Sherbrooke",9,1,29,28,22,7,7,2,105,386
