Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadia Bourque,Terry Roberts,Mark Sibthorpe,Maninderjit Kaur Tumbar,Sameer Zuberi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 1","Montréal",31,54,6,36,128,3,258,515
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 2","Montréal",34,36,3,8,70,2,153,392
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 3","Montréal",29,30,10,27,99,2,197,435
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4","Montréal",19,30,10,26,69,1,155,328
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 5","Montréal",2,25,3,13,104,3,150,339
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 6","Montréal",4,25,4,15,88,2,138,383
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 7","Montréal",17,38,6,17,97,1,176,445
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8","Montréal",22,36,6,27,86,0,177,373
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 9","Montréal",14,8,11,18,115,3,169,429
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 10","Montréal",11,27,8,17,73,4,140,375
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 11","Montréal",1,7,2,16,113,6,145,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12","Montréal",6,15,6,21,96,1,145,394
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 13","Montréal",0,1,7,6,106,4,124,319
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 14","Montréal",6,14,6,9,43,1,79,260
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 15","Montréal",6,11,2,14,62,0,95,248
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 16","Montréal",8,20,4,16,52,1,101,331
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 17","Montréal",19,36,19,20,60,0,154,438
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 18","Montréal",13,21,10,8,55,1,108,403
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 19","Montréal",16,17,7,21,54,2,117,387
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 20","Montréal",15,13,8,20,49,3,108,538
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 21","Montréal",11,26,3,15,33,1,89,315
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 22","Montréal",5,8,4,17,48,0,82,337
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 23","Montréal",20,21,18,22,57,2,140,426
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 24","Montréal",17,23,15,19,99,3,176,491
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 25","Montréal",9,26,6,14,89,4,148,414
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 26","Montréal",13,44,7,34,161,1,260,566
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 27","Montréal",9,22,7,15,74,2,129,301
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 28","Montréal",11,28,12,24,141,6,222,465
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 29","Montréal",11,23,8,16,78,0,136,390
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 30","Montréal",12,28,7,36,93,1,177,461
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 31","Montréal",8,23,7,27,103,1,169,403
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 32","Montréal",9,26,9,21,174,0,239,517
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 33","Montréal",10,27,4,25,96,1,163,402
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 34","Montréal",29,45,14,21,71,4,184,383
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 35","Montréal",11,22,5,12,62,0,112,411
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 36","Montréal",12,31,8,26,106,1,184,369
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 37","Montréal",5,25,3,25,102,4,164,476
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 38","Montréal",10,58,12,30,100,4,214,515
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 39","Montréal",11,28,2,17,59,4,121,341
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 40","Montréal",25,40,10,37,72,2,186,371
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 41","Montréal",19,27,7,24,80,0,157,358
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 42","Montréal",17,36,9,32,92,0,186,357
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 43","Dollard-Des Ormeaux",9,32,6,30,95,0,172,402
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 44","Dollard-Des Ormeaux",9,33,6,30,143,2,223,415
