Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Damoff,Lenaee Dupuis,Gilbert Jubinville,Hanan Rizkalla,Bruno Sousa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 114","Burlington",94,23,6,88,6,0,217,556
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 115","Burlington",84,17,9,51,4,0,165,479
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 116A","Burlington",80,16,6,82,1,1,186,421
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 116B","Burlington",74,8,6,55,2,0,145,365
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 117","Burlington",133,32,5,94,6,1,271,497
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 118","Burlington",102,28,15,93,3,1,242,536
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 119","Burlington",118,35,8,91,6,0,258,535
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 120","Burlington",111,43,13,79,5,1,252,564
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 121","Burlington",92,19,7,81,3,0,202,421
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 122","Burlington",93,26,12,83,5,0,219,482
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 123","Burlington",101,22,6,122,11,1,263,540
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 124","Burlington",124,23,1,72,6,1,227,467
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 125","Burlington",94,33,3,104,4,0,238,502
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 126","Burlington",118,35,9,70,8,1,241,540
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 127","Burlington",85,34,5,102,4,0,230,542
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 128","Burlington",160,48,9,137,9,2,365,525
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 129","Burlington",134,37,6,113,3,1,294,518
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 130","Burlington",Merged with No./Fusionné avec le n°128,,,,,,,414
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 131","Burlington",130,24,10,104,9,0,277,605
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 132","Burlington",109,34,10,74,3,2,232,520
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 133","Burlington",91,21,7,73,5,1,198,498
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 134","Burlington",120,37,9,124,4,1,295,517
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 135","Burlington",Merged with No./Fusionné avec le n°134,,,,,,,401
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 136","Burlington",Merged with No./Fusionné avec le n°138,,,,,,,462
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 137","Burlington",Merged with No./Fusionné avec le n°141,,,,,,,476
